# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:51 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6724 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 190113'          /                                                
# SPTYPE  = 'G5 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807828 / Minimum wavelength (um)                        
# MAXWAVE =              4.10977 / Maximum wavelength (um)                        
# V       =        7.87000000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =        1.50000000000 / B-V color                                      
# (B-V)ERR=      0.0200000000000 / B-V color error                                
# J       =        5.30100000000 / 2MASS J magnitude                              
# JERR    =      0.0290000000000 / 2MASS J magnitude error                        
# H       =        4.77700000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.55700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0140760000000 / Relative error in the absolute flux calibration
# RV      =        48.4907080000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.00000000000 / Intrinsic Color                                
# E(B-V)  =       0.500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807828                3.90217e-11         1.14979e-13
             0.808030                3.98168e-11         1.15492e-13
             0.808233                3.86981e-11         1.14470e-13
             0.808435                3.79335e-11         1.13181e-13
             0.808638                3.84684e-11         1.14437e-13
             0.808841                3.91333e-11         1.15433e-13
             0.809043                3.93201e-11         1.15981e-13
             0.809246                3.73939e-11         1.12744e-13
             0.809448                3.62653e-11         1.11295e-13
             0.809651                3.73373e-11         1.12442e-13
             0.809853                3.83330e-11         1.15914e-13
             0.810055                3.83122e-11         1.15640e-13
             0.810258                3.86707e-11         1.15872e-13
             0.810460                3.82731e-11         1.15407e-13
             0.810663                3.78591e-11         1.15002e-13
             0.810787                3.76911e-11         1.00995e-13
             0.811020                3.78359e-11         9.69131e-14
             0.811253                3.81026e-11         9.40911e-14
             0.811486                3.83739e-11         9.49255e-14
             0.811719                3.76826e-11         9.62654e-14
             0.811952                3.77509e-11         1.00134e-13
             0.812186                3.79501e-11         1.04583e-13
             0.812419                3.86668e-11         1.00629e-13
             0.812652                3.86695e-11         1.01666e-13
             0.812885                3.80353e-11         9.29813e-14
             0.813118                3.82248e-11         9.46724e-14
             0.813351                3.80646e-11         9.76007e-14
             0.813584                3.84623e-11         1.03054e-13
             0.813817                3.86259e-11         1.02644e-13
             0.814050                3.83954e-11         9.74233e-14
             0.814283                3.76535e-11         9.32325e-14
             0.814516                3.79179e-11         9.25657e-14
             0.814749                3.83155e-11         9.50144e-14
             0.814981                3.81029e-11         9.86278e-14
             0.815214                3.78416e-11         1.02582e-13
             0.815447                3.83491e-11         1.00102e-13
             0.815680                3.85709e-11         9.58839e-14
             0.815913                3.95989e-11         9.51069e-14
             0.816146                3.93753e-11         9.50024e-14
             0.816379                3.75424e-11         9.59752e-14
             0.816612                3.79213e-11         9.97717e-14
             0.816845                3.87252e-11         1.03170e-13
             0.817078                3.87571e-11         9.89860e-14
             0.817311                3.88992e-11         9.45171e-14
             0.817544                3.82775e-11         9.20710e-14
             0.817777                3.82361e-11         9.36061e-14
             0.818009                3.87264e-11         9.86856e-14
             0.818242                3.80428e-11         1.01116e-13
             0.818475                3.63961e-11         9.58366e-14
             0.818708                3.66180e-11         9.29707e-14
             0.818941                3.78092e-11         9.21968e-14
             0.819174                3.92552e-11         9.38360e-14
             0.819407                3.89268e-11         9.46141e-14
             0.819639                3.59875e-11         9.35344e-14
             0.819872                3.64258e-11         9.77707e-14
             0.820105                3.77621e-11         9.57659e-14
             0.820338                3.75422e-11         9.13175e-14
             0.820571                3.74004e-11         8.94033e-14
             0.820804                3.74057e-11         8.98005e-14
             0.821036                3.77347e-11         9.23032e-14
