# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4133 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 193896'          /                                                
# SPTYPE  = 'G5 IIIa '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.811062 / Minimum wavelength (um)                        
# MAXWAVE =              2.41770 / Maximum wavelength (um)                        
# V       =        6.29000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.910000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.39300000000 / 2MASS J magnitude                              
# JERR    =       0.278000000000 / 2MASS J magnitude error                        
# H       =        3.93800000000 / 2MASS H magnitude                              
# HERR    =       0.270000000000 / 2MASS H magnitude error                        
# KS      =        4.13900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0353938000000 / Relative error in the absolute flux calibration
# RV      =        10.6110390000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.900000000000 / Intrinsic Color                                
# E(B-V)  =      0.0100001000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811062                7.21737e-11         1.18305e-13
             0.811264                7.26804e-11         1.18899e-13
             0.811466                7.25471e-11         1.19360e-13
             0.811668                7.19263e-11         1.18206e-13
             0.811871                7.21848e-11         1.19166e-13
             0.812073                7.23263e-11         1.18796e-13
             0.812275                7.26379e-11         1.20611e-13
             0.812478                7.31256e-11         1.21272e-13
             0.812680                7.27730e-11         1.20889e-13
             0.812882                7.23227e-11         1.19998e-13
             0.813084                7.27046e-11         1.21507e-13
             0.813287                7.25258e-11         1.21398e-13
             0.813489                7.28441e-11         1.23446e-13
             0.813691                7.28347e-11         1.22588e-13
             0.813894                7.27199e-11         1.22869e-13
             0.813956                7.26243e-11         1.02233e-13
             0.814190                7.24682e-11         1.07452e-13
             0.814423                7.21162e-11         1.03979e-13
             0.814657                7.24935e-11         1.00658e-13
             0.814890                7.22481e-11         9.76272e-14
             0.815124                7.16053e-11         9.68383e-14
             0.815358                7.22589e-11         9.99850e-14
             0.815591                7.23202e-11         1.05333e-13
             0.815825                7.27290e-11         1.07373e-13
             0.816058                7.31706e-11         1.02662e-13
             0.816292                7.20038e-11         9.94644e-14
             0.816525                7.19425e-11         9.90363e-14
             0.816759                7.26523e-11         9.94343e-14
             0.816992                7.22871e-11         1.02380e-13
             0.817226                7.22591e-11         1.07695e-13
             0.817459                7.23711e-11         1.02206e-13
             0.817692                7.24382e-11         9.95140e-14
             0.817926                7.26159e-11         9.93182e-14
             0.818159                7.19184e-11         9.76664e-14
             0.818393                6.99645e-11         9.71332e-14
             0.818626                6.94165e-11         9.93894e-14
             0.818860                7.08579e-11         1.04880e-13
             0.819093                7.20797e-11         1.01208e-13
             0.819326                7.29935e-11         9.84109e-14
             0.819560                6.94784e-11         9.43410e-14
             0.819793                6.84910e-11         9.31929e-14
             0.820026                7.05032e-11         9.98043e-14
             0.820260                7.13381e-11         1.04334e-13
             0.820493                7.17994e-11         1.00048e-13
             0.820727                7.20863e-11         9.70307e-14
             0.820960                7.14588e-11         9.34300e-14
             0.821193                7.18072e-11         9.42768e-14
             0.821426                7.10515e-11         9.62211e-14
             0.821660                7.07008e-11         9.89284e-14
             0.821893                7.20088e-11         1.02472e-13
             0.822126                7.05850e-11         9.62537e-14
             0.822360                7.03673e-11         9.36137e-14
             0.822593                7.26694e-11         9.58286e-14
             0.822826                7.35165e-11         1.01185e-13
             0.823059                7.27383e-11         1.05328e-13
             0.823293                7.15122e-11         1.06316e-13
