# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7616 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 165185'          /                                                
# SPTYPE  = 'G5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809152 / Minimum wavelength (um)                        
# MAXWAVE =              5.02382 / Maximum wavelength (um)                        
# V       =        5.94400000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =       0.618000000000 / B-V color                                      
# (B-V)ERR=     0.00400000000000 / B-V color error                                
# J       =        4.83500000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.61400000000 / 2MASS H magnitude                              
# HERR    =      0.0160000000000 / 2MASS H magnitude error                        
# KS      =        4.46900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0108192000000 / Relative error in the absolute flux calibration
# RV      =        46.0475000000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.680000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0620000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809152                9.93532e-11         1.65635e-13
             0.809355                9.83902e-11         1.64093e-13
             0.809557                9.75693e-11         1.62978e-13
             0.809759                9.77090e-11         1.64006e-13
             0.809962                9.70262e-11         1.62217e-13
             0.810164                9.72647e-11         1.62956e-13
             0.810366                9.89726e-11         1.66657e-13
             0.810569                9.94183e-11         1.66282e-13
             0.810771                9.94398e-11         1.67503e-13
             0.810973                9.92919e-11         1.67390e-13
             0.811176                9.93203e-11         1.67527e-13
             0.811378                9.91496e-11         1.67130e-13
             0.811580                9.90146e-11         1.67126e-13
             0.811783                9.92214e-11         1.67318e-13
             0.811985                9.90374e-11         1.68315e-13
             0.812187                9.90375e-11         1.67872e-13
             0.812264                9.88348e-11         1.46820e-13
             0.812497                9.86788e-11         1.51317e-13
             0.812730                9.86636e-11         1.43494e-13
             0.812964                9.88882e-11         1.38162e-13
             0.813197                9.86305e-11         1.35769e-13
             0.813430                9.85084e-11         1.37802e-13
             0.813664                9.84808e-11         1.43161e-13
             0.813897                9.86569e-11         1.49774e-13
             0.814130                9.83468e-11         1.47501e-13
             0.814363                9.79646e-11         1.39865e-13
             0.814597                9.80966e-11         1.35955e-13
             0.814830                9.79190e-11         1.36174e-13
             0.815063                9.76397e-11         1.41124e-13
             0.815296                9.76779e-11         1.44991e-13
             0.815530                9.78400e-11         1.51387e-13
             0.815763                9.77407e-11         1.42850e-13
             0.815996                9.81123e-11         1.38253e-13
             0.816229                9.80529e-11         1.36716e-13
             0.816462                9.73892e-11         1.38219e-13
             0.816696                9.75911e-11         1.41084e-13
             0.816929                9.79799e-11         1.48680e-13
             0.817162                9.71358e-11         1.45756e-13
             0.817395                9.71959e-11         1.38220e-13
             0.817628                9.77563e-11         1.36240e-13
             0.817861                9.73171e-11         1.36281e-13
             0.818094                9.71874e-11         1.37699e-13
             0.818328                9.54751e-11         1.40506e-13
             0.818561                9.33294e-11         1.43308e-13
             0.818794                9.51685e-11         1.39830e-13
             0.819027                9.63044e-11         1.35687e-13
             0.819260                9.71470e-11         1.33996e-13
             0.819493                9.48523e-11         1.32509e-13
             0.819726                9.18756e-11         1.33187e-13
             0.819959                9.31293e-11         1.39204e-13
             0.820192                9.41058e-11         1.39689e-13
             0.820425                9.58514e-11         1.37702e-13
             0.820658                9.68568e-11         1.32245e-13
             0.820891                9.56109e-11         1.29987e-13
             0.821125                9.50755e-11         1.31107e-13
             0.821358                9.39809e-11         1.34368e-13
             0.821591                9.30783e-11         1.39321e-13
             0.821824                9.51081e-11         1.37318e-13
             0.822057                9.41077e-11         1.30618e-13
             0.822290                9.23599e-11         1.26553e-13
             0.822523                9.52857e-11         1.30667e-13
             0.822756                9.69001e-11         1.38426e-13
             0.822989                9.62322e-11         1.43851e-13
             0.823222                9.52523e-11         1.41650e-13
             0.823455                9.45520e-11         1.33436e-13
             0.823688                9.57992e-11         1.30603e-13
             0.823920                9.59753e-11         1.28852e-13
             0.824153                9.57638e-11         1.30134e-13
             0.824386                9.59499e-11         1.35240e-13
             0.824619                9.60361e-11         1.41020e-13
             0.824852                9.48914e-11         1.35694e-13
             0.825085                9.37088e-11         1.28355e-13
             0.825318                9.45283e-11         1.27148e-13
             0.825551                9.57610e-11         1.28665e-13
             0.825784                9.53485e-11         1.31330e-13
             0.826017                9.51156e-11         1.35177e-13
             0.826250                9.55959e-11         1.42305e-13
             0.826483                9.51074e-11         1.32133e-13
             0.826715                9.50241e-11         1.27545e-13
             0.826948                9.52158e-11         1.26603e-13
             0.827181                9.54257e-11         1.30117e-13
             0.827414                9.53090e-11         1.33187e-13
             0.827647                9.43643e-11         1.36525e-13
             0.827880                9.44727e-11         1.34078e-13
             0.828113                9.51636e-11         1.31007e-13
             0.828345                9.51300e-11         1.27386e-13
             0.828578                9.53295e-11         1.27065e-13
             0.828811                9.50401e-11         1.30275e-13
             0.829044                9.45671e-11         1.33189e-13
             0.829277                9.46567e-11         1.35399e-13
             0.829509                9.38318e-11         1.30481e-13
             0.829742                9.37140e-11         1.26343e-13
             0.829975                9.45031e-11         1.27288e-13
             0.830208                9.43939e-11         1.25631e-13
             0.830441                9.43926e-11         1.30085e-13
             0.830673                9.32754e-11         1.31183e-13
             0.830906                9.32462e-11         1.30506e-13
             0.831139                9.30242e-11         1.25870e-13
             0.831371                9.29273e-11         1.24600e-13
             0.831604                9.40449e-11         1.23766e-13
             0.831837                9.41631e-11         1.25729e-13
             0.832070                9.43594e-11         1.29269e-13
             0.832302                9.39384e-11         1.32735e-13
             0.832535                9.37487e-11         1.28234e-13
             0.832768                9.17573e-11         1.23742e-13
             0.833000                9.05571e-11         1.19837e-13
             0.833233                9.12527e-11         1.20560e-13
             0.833466                9.03644e-11         1.21856e-13
             0.833698                9.05374e-11         1.25023e-13
             0.833931                9.10860e-11         1.27014e-13
             0.834164                9.10398e-11         1.23489e-13
             0.834396                9.22636e-11         1.21065e-13
             0.834629                9.19228e-11         1.19972e-13
             0.834862                9.09524e-11         1.20025e-13
             0.835094                9.22348e-11         1.24534e-13
             0.835327                9.34887e-11         1.28591e-13
             0.835560                9.35418e-11         1.27115e-13
             0.835792                9.32693e-11         1.23333e-13
             0.836025                9.29386e-11         1.21488e-13
             0.836257                9.24991e-11         1.20352e-13
             0.836490                9.22919e-11         1.21340e-13
             0.836723                9.17884e-11         1.23034e-13
             0.836955                9.19068e-11         1.26135e-13
             0.837188                9.28502e-11         1.24844e-13
             0.837420                9.29850e-11         1.21811e-13
             0.837653                9.28755e-11         1.20241e-13
             0.837885                9.26232e-11         1.20838e-13
             0.838118                9.26987e-11         1.21993e-13
             0.838351                9.23441e-11         1.24128e-13
             0.838583                9.19771e-11         1.24853e-13
             0.838816                9.03569e-11         1.19892e-13
             0.839048                8.90750e-11         1.15861e-13
             0.839281                9.12312e-11         1.17138e-13
             0.839513                9.26355e-11         1.21169e-13
             0.839746                9.23665e-11         1.21614e-13
             0.839978                9.18612e-11         1.23291e-13
             0.840211                9.16067e-11         1.21461e-13
             0.840443                9.15068e-11         1.18400e-13
             0.840676                9.17828e-11         1.18124e-13
             0.840908                9.18128e-11         1.17557e-13
             0.841141                9.19478e-11         1.19167e-13
             0.841373                9.16751e-11         1.21401e-13
             0.841605                9.15012e-11         1.23560e-13
             0.841838                9.14165e-11         1.20208e-13
             0.842070                9.11437e-11         1.21434e-13
             0.842303                9.07459e-11         1.15652e-13
             0.842535                9.01514e-11         1.15566e-13
             0.842768                8.96486e-11         1.16394e-13
             0.843000                9.02533e-11         1.19019e-13
             0.843232                9.11295e-11         1.20274e-13
             0.843465                9.07656e-11         1.17999e-13
             0.843697                8.92112e-11         1.15587e-13
             0.843930                8.94683e-11         1.15730e-13
             0.844162                9.01164e-11         1.19002e-13
             0.844394                9.02195e-11         1.18656e-13
             0.844627                9.01416e-11         1.21204e-13
             0.844859                9.08421e-11         1.22751e-13
             0.845092                9.12016e-11         1.17772e-13
             0.845324                9.02640e-11         1.13784e-13
             0.845556                9.00975e-11         1.13346e-13
             0.845789                9.00618e-11         1.14501e-13
             0.846021                9.02768e-11         1.16718e-13
             0.846253                9.00162e-11         1.18872e-13
             0.846485                9.02784e-11         1.17341e-13
             0.846718                8.97090e-11         1.15320e-13
             0.846950                8.78230e-11         1.12877e-13
             0.847183                8.76759e-11         1.12718e-13
             0.847415                8.87239e-11         1.14207e-13
             0.847647                8.92467e-11         1.16235e-13
             0.847879                8.93810e-11         1.15429e-13
             0.848112                8.90563e-11         1.12906e-13
             0.848344                8.82413e-11         1.10468e-13
             0.848576                8.82401e-11         1.09465e-13
             0.848808                8.84297e-11         1.10451e-13
             0.849041                8.84285e-11         1.12461e-13
             0.849273                8.85059e-11         1.14123e-13
             0.849505                8.77173e-11         1.14427e-13
             0.849737                8.25084e-11         1.06973e-13
             0.849970                7.34363e-11         9.87956e-14
             0.850202                7.56635e-11         1.01064e-13
             0.850434                8.31034e-11         1.09252e-13
             0.850666                8.65870e-11         1.13662e-13
             0.850899                8.77556e-11         1.15271e-13
             0.851131                8.77613e-11         1.12338e-13
             0.851363                8.68763e-11         1.09225e-13
             0.851595                8.42923e-11         1.05037e-13
             0.851827                8.42891e-11         1.04929e-13
             0.852059                8.62317e-11         1.07482e-13
             0.852292                8.66744e-11         1.09229e-13
             0.852524                8.69412e-11         1.09666e-13
             0.852756                8.56777e-11         1.06774e-13
             0.852988                8.53434e-11         1.05523e-13
             0.853220                8.57496e-11         1.06401e-13
             0.853452                8.55863e-11         1.07233e-13
             0.853685                8.37793e-11         1.07182e-13
             0.853917                7.93429e-11         1.04777e-13
             0.854149                6.93078e-11         9.43696e-14
             0.854381                5.83229e-11         8.47572e-14
             0.854613                6.12421e-11         8.69935e-14
             0.854845                7.29555e-11         9.74186e-14
             0.855077                7.98348e-11         1.04283e-13
             0.855309                8.30955e-11         1.07847e-13
             0.855541                8.47609e-11         1.10310e-13
             0.855774                8.36718e-11         1.07896e-13
             0.856006                8.32518e-11         1.03627e-13
             0.856238                8.45789e-11         1.03149e-13
             0.856470                8.49292e-11         1.03179e-13
             0.856702                8.54826e-11         1.04372e-13
             0.856934                8.56645e-11         1.05622e-13
             0.857166                8.53838e-11         1.05515e-13
             0.857398                8.48964e-11         1.03736e-13
             0.857630                8.51494e-11         1.03050e-13
             0.857862                8.56069e-11         1.03561e-13
             0.858094                8.57557e-11         1.04230e-13
             0.858326                8.49517e-11         1.04694e-13
             0.858558                8.46632e-11         1.05959e-13
             0.858790                8.54738e-11         1.07553e-13
             0.859022                8.58033e-11         1.06679e-13
             0.859254                8.53595e-11         1.05460e-13
             0.859486                8.44945e-11         1.04375e-13
             0.859718                8.39109e-11         1.03979e-13
             0.859950                8.33414e-11         1.04168e-13
             0.860182                8.38456e-11         1.05447e-13
             0.860414                8.47119e-11         1.05498e-13
             0.860646                8.47172e-11         1.04826e-13
             0.860878                8.47992e-11         1.04122e-13
             0.861110                8.39965e-11         1.03031e-13
             0.861342                8.30949e-11         1.02018e-13
             0.861574                8.30532e-11         1.02456e-13
             0.861806                8.40662e-11         1.03195e-13
             0.862038                8.45243e-11         1.02284e-13
             0.862270                8.39389e-11         1.00212e-13
             0.862502                8.34281e-11         9.93414e-14
             0.862734                8.36014e-11         9.86806e-14
             0.862966                8.36133e-11         9.96902e-14
             0.863197                8.37008e-11         1.00858e-13
             0.863429                8.33310e-11         9.99709e-14
             0.863661                8.36188e-11         9.95738e-14
             0.863893                8.39491e-11         9.93187e-14
             0.864125                8.41922e-11         9.94116e-14
             0.864357                8.44167e-11         1.00579e-13
             0.864589                8.44624e-11         1.00562e-13
             0.864821                8.34827e-11         1.01908e-13
             0.865052                8.19567e-11         1.00411e-13
             0.865284                8.21359e-11         1.00234e-13
             0.865516                8.30818e-11         1.00974e-13
             0.865748                8.18830e-11         9.99303e-14
             0.865980                7.83100e-11         9.71829e-14
             0.866212                6.79454e-11         8.76959e-14
             0.866444                5.88340e-11         7.90616e-14
             0.866675                6.49906e-11         8.51122e-14
             0.866907                7.56407e-11         9.46028e-14
             0.867139                7.96765e-11         9.78812e-14
             0.867371                8.12066e-11         9.93107e-14
             0.867603                8.03747e-11         9.88788e-14
             0.867835                8.09134e-11         1.00096e-13
             0.868066                8.23434e-11         1.02397e-13
             0.868298                8.34867e-11         1.01665e-13
             0.868530                8.43709e-11         1.01696e-13
             0.868762                8.38196e-11         9.99047e-14
             0.868993                8.00633e-11         9.53370e-14
             0.869225                7.95652e-11         9.45142e-14
