# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7520 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 115617'          /                                                
# SPTYPE  = 'G6.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 May 29'        / UT date of SXD observations                    
# LXDUT   = '2002 May 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.814988 / Minimum wavelength (um)                        
# MAXWAVE =              4.94323 / Maximum wavelength (um)                        
# V       =        4.73900000000 / V magnitude                                    
# VERR    =     0.00800000000000 / V magnitude error                              
# (B-V)   =       0.709000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        3.33400000000 / 2MASS J magnitude                              
# JERR    =       0.200000000000 / 2MASS J magnitude error                        
# H       =        2.97400000000 / 2MASS H magnitude                              
# HERR    =       0.176000000000 / 2MASS H magnitude error                        
# KS      =        2.95600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.236000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.115288000000 / Relative error in the absolute flux calibration
# RV      =        6.12371910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.730000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0210000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.814988                3.87612e-10         5.59689e-13
             0.815191                3.87160e-10         5.53380e-13
             0.815393                3.89201e-10         5.62731e-13
             0.815595                3.88423e-10         5.68625e-13
             0.815797                3.89717e-10         5.61288e-13
             0.816000                3.90066e-10         5.57988e-13
             0.816202                3.89793e-10         5.73886e-13
             0.816404                3.87334e-10         5.83316e-13
             0.816606                3.85035e-10         5.82056e-13
             0.816808                3.88360e-10         5.66675e-13
             0.817011                3.88731e-10         5.74448e-13
             0.817213                3.86569e-10         5.77099e-13
             0.817415                3.85578e-10         5.58916e-13
             0.817565                3.87982e-10         4.40618e-13
             0.817798                3.88534e-10         4.42261e-13
             0.818031                3.85392e-10         4.46455e-13
             0.818264                3.81647e-10         4.42665e-13
             0.818497                3.69721e-10         4.37715e-13
             0.818731                3.70205e-10         4.55892e-13
             0.818964                3.81092e-10         4.55767e-13
             0.819197                3.85074e-10         4.45877e-13
             0.819430                3.80916e-10         4.24850e-13
             0.819663                3.60035e-10         4.04229e-13
             0.819896                3.62039e-10         4.22064e-13
             0.820129                3.73436e-10         4.53477e-13
             0.820362                3.79379e-10         4.49409e-13
             0.820595                3.84877e-10         4.30637e-13
             0.820828                3.82221e-10         4.12290e-13
             0.821061                3.79475e-10         4.07967e-13
             0.821294                3.76013e-10         4.16563e-13
             0.821527                3.69569e-10         4.23739e-13
             0.821760                3.72683e-10         4.41333e-13
             0.821993                3.76378e-10         4.33639e-13
             0.822226                3.66908e-10         4.10458e-13
             0.822459                3.72456e-10         4.09315e-13
             0.822692                3.85590e-10         4.32328e-13
             0.822925                3.84961e-10         4.68361e-13
             0.823158                3.78425e-10         4.86931e-13
             0.823390                3.74555e-10         4.60126e-13
             0.823623                3.76619e-10         4.31600e-13
             0.823856                3.82188e-10         4.17595e-13
             0.824089                3.81173e-10         4.09359e-13
             0.824322                3.81860e-10         4.16972e-13
             0.824555                3.82267e-10         4.33325e-13
             0.824788                3.81222e-10         4.43564e-13
             0.825021                3.75505e-10         4.21705e-13
             0.825254                3.77370e-10         4.12634e-13
             0.825487                3.81898e-10         4.11216e-13
             0.825719                3.81158e-10         4.14046e-13
             0.825952                3.79780e-10         4.32589e-13
             0.826185                3.81081e-10         4.33180e-13
             0.826418                3.81887e-10         4.51349e-13
             0.826651                3.80273e-10         4.21811e-13
             0.826884                3.80441e-10         4.09186e-13
             0.827117                3.80201e-10         4.02696e-13
             0.827349                3.79928e-10         4.15517e-13
             0.827582                3.76537e-10         4.27985e-13
             0.827815                3.74523e-10         4.50014e-13
             0.828048                3.77432e-10         4.32312e-13
