# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:08 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7680 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 202314'          /                                                
# SPTYPE  = 'G6 Ib-IIa Ca1 Ba0.5' / Spectral Type                                 
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804791 / Minimum wavelength (um)                        
# MAXWAVE =              5.06988 / Maximum wavelength (um)                        
# V       =        6.16900000000 / V magnitude                                    
# VERR    =     0.00100000000000 / V magnitude error                              
# (B-V)   =        1.10200000000 / B-V color                                      
# (B-V)ERR=      0.0160000000000 / B-V color error                                
# J       =        4.70100000000 / 2MASS J magnitude                              
# JERR    =       0.222000000000 / 2MASS J magnitude error                        
# H       =        4.09800000000 / 2MASS H magnitude                              
# HERR    =       0.250000000000 / 2MASS H magnitude error                        
# KS      =        4.02000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.270000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.141410000000 / Relative error in the absolute flux calibration
# RV      =        15.6177310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.980000000000 / Intrinsic Color                                
# E(B-V)  =       0.122000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804791                7.59547e-11         1.32591e-13
             0.804993                7.56858e-11         1.32645e-13
             0.805196                7.73088e-11         1.34371e-13
             0.805398                7.84583e-11         1.35899e-13
             0.805601                7.92602e-11         1.37130e-13
             0.805803                8.07879e-11         1.39846e-13
             0.806005                8.13673e-11         1.39566e-13
             0.806208                8.02808e-11         1.39419e-13
             0.806410                7.96737e-11         1.38538e-13
             0.806612                8.02246e-11         1.39290e-13
             0.806815                7.98244e-11         1.38821e-13
             0.807017                7.82056e-11         1.36727e-13
             0.807219                7.66281e-11         1.35042e-13
             0.807421                7.59703e-11         1.34710e-13
             0.807624                7.58166e-11         1.33495e-13
             0.807826                7.75230e-11         1.37035e-13
             0.808028                7.91191e-11         1.39274e-13
             0.808231                7.74683e-11         1.36540e-13
             0.808363                7.63281e-11         1.22094e-13
             0.808596                7.61632e-11         1.16909e-13
             0.808830                7.72935e-11         1.17988e-13
             0.809063                7.77840e-11         1.18429e-13
             0.809297                7.44208e-11         1.17430e-13
             0.809530                7.31134e-11         1.21307e-13
             0.809763                7.50629e-11         1.24103e-13
             0.809997                7.59246e-11         1.18111e-13
             0.810230                7.69375e-11         1.14516e-13
             0.810464                7.66362e-11         1.13366e-13
             0.810697                7.50615e-11         1.15260e-13
             0.810931                7.53753e-11         1.19393e-13
             0.811164                7.63206e-11         1.28170e-13
             0.811398                7.65502e-11         1.21230e-13
             0.811631                7.54472e-11         1.14113e-13
             0.811864                7.52905e-11         1.11376e-13
             0.812098                7.62942e-11         1.13231e-13
             0.812331                7.68025e-11         1.17659e-13
             0.812564                7.73971e-11         1.25237e-13
             0.812798                7.57870e-11         1.22644e-13
             0.813031                7.61953e-11         1.17169e-13
             0.813265                7.63510e-11         1.13125e-13
             0.813498                7.70975e-11         1.15173e-13
             0.813731                7.71990e-11         1.16088e-13
             0.813965                7.64704e-11         1.19958e-13
             0.814198                7.61445e-11         1.25358e-13
             0.814431                7.57184e-11         1.19124e-13
             0.814664                7.67560e-11         1.17044e-13
             0.814898                7.63780e-11         1.12264e-13
             0.815131                7.57055e-11         1.12129e-13
             0.815364                7.62863e-11         1.16528e-13
             0.815598                7.63957e-11         1.25091e-13
             0.815831                7.72307e-11         1.25866e-13
             0.816064                7.82348e-11         1.18917e-13
             0.816297                7.59030e-11         1.12947e-13
             0.816531                7.56796e-11         1.12634e-13
             0.816764                7.68171e-11         1.15895e-13
             0.816997                7.62493e-11         1.18967e-13
             0.817230                7.69241e-11         1.26215e-13
             0.817464                7.68340e-11         1.19141e-13
             0.817697                7.63092e-11         1.14723e-13
             0.817930                7.70154e-11         1.13794e-13
             0.818163                7.60655e-11         1.13157e-13
             0.818396                7.40293e-11         1.13658e-13
             0.818629                7.38058e-11         1.18630e-13
             0.818863                7.47206e-11         1.19734e-13
             0.819096                7.65061e-11         1.17125e-13
             0.819329                7.80981e-11         1.16283e-13
             0.819562                7.38741e-11         1.09014e-13
             0.819795                7.32827e-11         1.10815e-13
             0.820028                7.52119e-11         1.16886e-13
             0.820261                7.49002e-11         1.21046e-13
             0.820495                7.51120e-11         1.15886e-13
             0.820728                7.55094e-11         1.11775e-13
             0.820961                7.46695e-11         1.10453e-13
             0.821194                7.55338e-11         1.09533e-13
             0.821427                7.55694e-11         1.15865e-13
             0.821660                7.51982e-11         1.16941e-13
             0.821893                7.71359e-11         1.20504e-13
             0.822126                7.51236e-11         1.13958e-13
             0.822359                7.36788e-11         1.08247e-13
             0.822592                7.72704e-11         1.11497e-13
             0.822825                7.78780e-11         1.14318e-13
             0.823058                7.72422e-11         1.18467e-13
             0.823291                7.61646e-11         1.21451e-13
             0.823524                7.60589e-11         1.17172e-13
             0.823757                7.70343e-11         1.12988e-13
             0.823990                7.64299e-11         1.09381e-13
             0.824223                7.70033e-11         1.10077e-13
             0.824456                7.71322e-11         1.16416e-13
             0.824689                7.72485e-11         1.17561e-13
             0.824922                7.61036e-11         1.16434e-13
             0.825155                7.58983e-11         1.14931e-13
             0.825388                7.63274e-11         1.09051e-13
             0.825621                7.66807e-11         1.09048e-13
             0.825854                7.63529e-11         1.11691e-13
             0.826087                7.73636e-11         1.15483e-13
             0.826320                7.91219e-11         1.24192e-13
             0.826553                7.77714e-11         1.15428e-13
             0.826786                7.64881e-11         1.10324e-13
             0.827019                7.67704e-11         1.08290e-13
             0.827252                7.77481e-11         1.09447e-13
             0.827485                7.60672e-11         1.10542e-13
             0.827717                7.49358e-11         1.12986e-13
             0.827950                7.66086e-11         1.17050e-13
             0.828183                7.79141e-11         1.13965e-13
             0.828416                7.75250e-11         1.10839e-13
             0.828649                7.68281e-11         1.08112e-13
             0.828882                7.63793e-11         1.09434e-13
             0.829115                7.60269e-11         1.12403e-13
             0.829347                7.65848e-11         1.17898e-13
             0.829580                7.54962e-11         1.13830e-13
             0.829813                7.45410e-11         1.08549e-13
             0.830046                7.37645e-11         1.05009e-13
             0.830279                7.57796e-11         1.07996e-13
             0.830512                7.60661e-11         1.09300e-13
             0.830744                7.46099e-11         1.11111e-13
             0.830977                7.43878e-11         1.13013e-13
             0.831210                7.37859e-11         1.08401e-13
             0.831443                7.44829e-11         1.06435e-13
             0.831675                7.57888e-11         1.07083e-13
             0.831908                7.67509e-11         1.11879e-13
             0.832141                7.55568e-11         1.09479e-13
             0.832374                7.43645e-11         1.11444e-13
             0.832606                7.46043e-11         1.11154e-13
             0.832839                7.22741e-11         1.04675e-13
             0.833072                7.31156e-11         1.08860e-13
             0.833305                7.25691e-11         1.02876e-13
             0.833537                7.07250e-11         1.01831e-13
             0.833770                7.21249e-11         1.06062e-13
             0.834003                7.20326e-11         1.09133e-13
             0.834235                7.39110e-11         1.09235e-13
             0.834468                7.50460e-11         1.07332e-13
             0.834701                7.32626e-11         1.08304e-13
             0.834933                7.28477e-11         1.02562e-13
             0.835166                7.41033e-11         1.05051e-13
             0.835399                7.62008e-11         1.10657e-13
             0.835631                7.58736e-11         1.11674e-13
             0.835864                7.48969e-11         1.07339e-13
             0.836097                7.50122e-11         1.04799e-13
             0.836329                7.52192e-11         1.04204e-13
             0.836562                7.38991e-11         1.03570e-13
             0.836795                7.38949e-11         1.05335e-13
             0.837027                7.60834e-11         1.23044e-13
             0.837260                7.52386e-11         1.08594e-13
             0.837492                7.52613e-11         1.05941e-13
             0.837725                7.59562e-11         1.04957e-13
             0.837958                7.50235e-11         1.04057e-13
             0.838190                7.58738e-11         1.06398e-13
             0.838423                7.39005e-11         1.06251e-13
             0.838655                7.24872e-11         1.06506e-13
             0.838888                7.20387e-11         1.02967e-13
             0.839120                7.15834e-11         1.00734e-13
             0.839353                7.48439e-11         1.02797e-13
             0.839585                7.66204e-11         1.05175e-13
             0.839818                7.58567e-11         1.06145e-13
             0.840051                7.53210e-11         1.07608e-13
             0.840283                7.53632e-11         1.07183e-13
             0.840515                7.50200e-11         1.04507e-13
             0.840748                7.58315e-11         1.03611e-13
             0.840981                7.62843e-11         1.04766e-13
             0.841213                7.54162e-11         1.05095e-13
             0.841446                7.36584e-11         1.04100e-13
             0.841678                7.49123e-11         1.07377e-13
             0.841910                7.56174e-11         1.13780e-13
             0.842143                7.46898e-11         1.03622e-13
             0.842375                7.44979e-11         1.01591e-13
             0.842608                7.37145e-11         1.00964e-13
             0.842840                7.22933e-11         1.00747e-13
             0.843073                7.49611e-11         1.05527e-13
             0.843305                7.73271e-11         1.08963e-13
             0.843538                7.38139e-11         1.02330e-13
             0.843770                7.02543e-11         9.72800e-14
             0.844002                7.11087e-11         9.80370e-14
             0.844235                7.19746e-11         9.93093e-14
             0.844467                7.39413e-11         1.03221e-13
             0.844700                7.37731e-11         1.05671e-13
             0.844932                7.44735e-11         1.07171e-13
             0.845164                7.48854e-11         1.03909e-13
             0.845397                7.68703e-11         1.03530e-13
             0.845629                7.72405e-11         1.13166e-13
             0.845861                7.51424e-11         1.02286e-13
             0.846094                7.52436e-11         1.04378e-13
