# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:32 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4146 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 95128'           /                                                
# SPTYPE  = 'G1- V Fe-0.5'       / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Jan 25'        / UT date of SXD observations                    
# LXDUT   = '2001 Jan 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803406 / Minimum wavelength (um)                        
# MAXWAVE =              2.41084 / Maximum wavelength (um)                        
# V       =        5.04900000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.606000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        3.96000000000 / 2MASS J magnitude                              
# JERR    =       0.296000000000 / 2MASS J magnitude error                        
# H       =        3.73600000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =        3.75000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.340000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.158126000000 / Relative error in the absolute flux calibration
# RV      =        20.4832090000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.620000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0140000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803406                1.93278e-10         3.03926e-13
             0.803608                1.93291e-10         3.05533e-13
             0.803811                1.92834e-10         3.02919e-13
             0.804013                1.93689e-10         3.05538e-13
             0.804216                1.93746e-10         3.05994e-13
             0.804419                1.92910e-10         3.05220e-13
             0.804621                1.90073e-10         3.03117e-13
             0.804824                1.85507e-10         2.99416e-13
             0.805026                1.85803e-10         2.98583e-13
             0.805229                1.88383e-10         3.02391e-13
             0.805431                1.90161e-10         3.01984e-13
             0.805634                1.90246e-10         3.03877e-13
             0.805836                1.91093e-10         3.07287e-13
             0.806039                1.91862e-10         3.07492e-13
             0.806241                1.92095e-10         3.08180e-13
             0.806444                1.92337e-10         3.09818e-13
             0.806646                1.92080e-10         3.07728e-13
             0.806849                1.92023e-10         3.10133e-13
             0.806865                1.91870e-10         2.60774e-13
             0.807098                1.90760e-10         2.66427e-13
             0.807331                1.89167e-10         2.78978e-13
             0.807564                1.88774e-10         2.89042e-13
             0.807798                1.89855e-10         2.72184e-13
             0.808031                1.90329e-10         2.67256e-13
             0.808264                1.90077e-10         2.56242e-13
             0.808497                1.88397e-10         2.58274e-13
             0.808731                1.87081e-10         2.65442e-13
             0.808964                1.88291e-10         2.82153e-13
             0.809197                1.88708e-10         2.76800e-13
             0.809430                1.86694e-10         2.61653e-13
             0.809664                1.86521e-10         2.54281e-13
             0.809897                1.85704e-10         2.50239e-13
             0.810130                1.85592e-10         2.57247e-13
             0.810363                1.88142e-10         2.70563e-13
             0.810597                1.89507e-10         2.86103e-13
             0.810830                1.89198e-10         2.71049e-13
             0.811063                1.89708e-10         2.59814e-13
             0.811296                1.89310e-10         2.54208e-13
             0.811529                1.89830e-10         2.56335e-13
             0.811762                1.89403e-10         2.64253e-13
             0.811996                1.89102e-10         2.76577e-13
             0.812229                1.89141e-10         2.78771e-13
             0.812462                1.89318e-10         2.64651e-13
             0.812695                1.88720e-10         2.54504e-13
             0.812928                1.89041e-10         2.52811e-13
             0.813161                1.88887e-10         2.56422e-13
             0.813394                1.88897e-10         2.67631e-13
             0.813627                1.88862e-10         2.80531e-13
             0.813861                1.89047e-10         2.69859e-13
             0.814094                1.88594e-10         2.57703e-13
             0.814327                1.88467e-10         2.52272e-13
             0.814560                1.87789e-10         2.52225e-13
             0.814793                1.87977e-10         2.57534e-13
             0.815026                1.87452e-10         2.69135e-13
             0.815259                1.87411e-10         2.74358e-13
             0.815492                1.87428e-10         2.61677e-13
             0.815725                1.87580e-10         2.52682e-13
             0.815958                1.88195e-10         2.49348e-13
             0.816191                1.87625e-10         2.53150e-13
