# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6968 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 161664'          /                                                
# SPTYPE  = 'G6 Ib H_delta1'     / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 05'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 05'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811435 / Minimum wavelength (um)                        
# MAXWAVE =              4.22611 / Maximum wavelength (um)                        
# V       =        6.18000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.49000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.52000000000 / 2MASS J magnitude                              
# JERR    =       0.282000000000 / 2MASS J magnitude error                        
# H       =        2.85000000000 / 2MASS H magnitude                              
# HERR    =       0.240000000000 / 2MASS H magnitude error                        
# KS      =        2.63600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.280000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.153049000000 / Relative error in the absolute flux calibration
# RV      =        5.28008870000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.04000000000 / Intrinsic Color                                
# E(B-V)  =       0.450000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811435                3.01551e-10         6.14076e-13
             0.811637                2.94166e-10         6.01953e-13
             0.811840                2.97078e-10         6.08261e-13
             0.812042                2.99499e-10         6.06882e-13
             0.812245                3.01165e-10         6.21555e-13
             0.812447                3.05196e-10         6.27200e-13
             0.812650                3.00937e-10         6.21184e-13
             0.812852                2.97338e-10         6.13364e-13
             0.813054                2.99776e-10         6.20971e-13
             0.813257                3.00926e-10         6.28252e-13
             0.813459                3.03862e-10         6.49299e-13
             0.813662                3.04532e-10         6.51280e-13
             0.813864                3.02835e-10         6.45513e-13
             0.814066                2.99524e-10         6.33869e-13
             0.814193                2.98716e-10         5.51474e-13
             0.814426                2.97043e-10         5.26836e-13
             0.814660                3.02113e-10         5.15596e-13
             0.814893                2.99557e-10         5.20918e-13
             0.815126                2.97451e-10         5.38338e-13
             0.815359                3.00500e-10         5.60381e-13
             0.815592                3.01614e-10         5.84996e-13
             0.815825                3.07772e-10         5.58860e-13
             0.816058                3.10992e-10         5.32917e-13
             0.816292                3.00691e-10         5.32806e-13
             0.816525                3.00202e-10         5.59273e-13
             0.816758                3.04163e-10         5.63095e-13
             0.816991                3.00023e-10         5.69452e-13
             0.817224                3.03869e-10         5.74299e-13
             0.817457                3.05154e-10         5.25308e-13
             0.817690                3.01802e-10         5.11479e-13
             0.817923                3.03669e-10         5.42755e-13
             0.818156                2.99641e-10         5.50400e-13
             0.818389                2.87746e-10         5.34734e-13
             0.818622                2.87459e-10         5.44445e-13
             0.818856                2.91782e-10         5.29850e-13
             0.819089                3.05485e-10         5.36908e-13
             0.819322                3.12264e-10         5.29671e-13
             0.819555                2.89221e-10         5.07968e-13
             0.819788                2.84987e-10         5.04282e-13
             0.820021                2.95948e-10         5.54114e-13
             0.820254                2.97537e-10         5.51648e-13
             0.820487                2.97083e-10         5.08203e-13
             0.820720                2.96844e-10         4.89372e-13
             0.820953                2.96010e-10         4.80234e-13
             0.821186                3.00308e-10         4.95526e-13
             0.821419                3.00390e-10         5.19780e-13
             0.821652                2.98287e-10         5.31461e-13
             0.821885                3.05511e-10         5.29527e-13
             0.822118                2.96152e-10         5.00282e-13
             0.822350                2.92013e-10         4.86199e-13
             0.822583                3.09321e-10         5.14402e-13
             0.822816                3.12678e-10         5.61748e-13
             0.823049                3.06913e-10         6.16845e-13
             0.823282                3.04232e-10         6.00137e-13
             0.823515                3.04838e-10         5.45324e-13
             0.823748                3.08150e-10         5.14748e-13
             0.823981                3.04975e-10         4.94104e-13
             0.824214                3.06746e-10         4.98614e-13
             0.824447                3.04219e-10         5.18029e-13
