# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:36 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8018 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 58367'           /                                                
# SPTYPE  = 'G6 IIb  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 14'        / UT date of SXD observations                    
# LXDUT   = '2004 Mar 09'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810489 / Minimum wavelength (um)                        
# MAXWAVE =              5.45311 / Maximum wavelength (um)                        
# V       =        4.98800000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =        1.00700000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        3.45700000000 / 2MASS J magnitude                              
# JERR    =       0.282000000000 / 2MASS J magnitude error                        
# H       =        2.96400000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =        2.82600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.242000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.142019000000 / Relative error in the absolute flux calibration
# RV      =      0.0647712020000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.910000000000 / Intrinsic Color                                
# E(B-V)  =      0.0969999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810489                2.57017e-10         4.39490e-13
             0.810691                2.53016e-10         4.30490e-13
             0.810893                2.54785e-10         4.70615e-13
             0.811096                2.55338e-10         4.45716e-13
             0.811298                2.56524e-10         4.39922e-13
             0.811501                2.54819e-10         4.37212e-13
             0.811703                2.51370e-10         4.32179e-13
             0.811905                2.54171e-10         4.44153e-13
             0.812108                2.56002e-10         4.42712e-13
             0.812310                2.58375e-10         4.44730e-13
             0.812513                2.61234e-10         4.54335e-13
             0.812715                2.54948e-10         4.43667e-13
             0.812917                2.53991e-10         4.41747e-13
             0.813120                2.56853e-10         4.46813e-13
             0.813322                2.56968e-10         4.50048e-13
             0.813524                2.58959e-10         4.53356e-13
             0.813543                2.58800e-10         3.66873e-13
             0.813777                2.56790e-10         3.74671e-13
             0.814010                2.55838e-10         3.91295e-13
             0.814243                2.53970e-10         3.96250e-13
             0.814477                2.53325e-10         3.75582e-13
             0.814710                2.55605e-10         3.63807e-13
             0.814944                2.54717e-10         3.59884e-13
             0.815177                2.52556e-10         3.66560e-13
             0.815410                2.55215e-10         3.80323e-13
             0.815644                2.54835e-10         3.98484e-13
             0.815877                2.58398e-10         3.91617e-13
             0.816110                2.59384e-10         3.75714e-13
             0.816343                2.53064e-10         3.60485e-13
             0.816577                2.53957e-10         3.62935e-13
             0.816810                2.56216e-10         3.72981e-13
             0.817043                2.55218e-10         3.88094e-13
             0.817277                2.56104e-10         3.97133e-13
             0.817510                2.54376e-10         3.76318e-13
             0.817743                2.54752e-10         3.63861e-13
             0.817976                2.55694e-10         3.61457e-13
             0.818210                2.51494e-10         3.62775e-13
             0.818443                2.43949e-10         3.60274e-13
             0.818676                2.44922e-10         3.78392e-13
             0.818909                2.48768e-10         3.77055e-13
             0.819143                2.55125e-10         3.69934e-13
             0.819376                2.56716e-10         3.61407e-13
             0.819609                2.41567e-10         3.42115e-13
             0.819842                2.44161e-10         3.56708e-13
             0.820075                2.49378e-10         3.73430e-13
             0.820308                2.47938e-10         3.79814e-13
             0.820542                2.50417e-10         3.68700e-13
             0.820775                2.50281e-10         3.51762e-13
             0.821008                2.48909e-10         3.48989e-13
             0.821241                2.52272e-10         3.52763e-13
             0.821474                2.48640e-10         3.58499e-13
             0.821707                2.49435e-10         3.73918e-13
             0.821940                2.53275e-10         3.85828e-13
             0.822174                2.45811e-10         3.52496e-13
             0.822407                2.47213e-10         3.44723e-13
             0.822640                2.58753e-10         3.58475e-13
             0.822873                2.60878e-10         3.88032e-13
             0.823106                2.55564e-10         3.82608e-13
             0.823339                2.51437e-10         3.84471e-13
             0.823572                2.52848e-10         3.68144e-13
             0.823805                2.54986e-10         3.57174e-13
             0.824038                2.52886e-10         3.48209e-13
             0.824271                2.55430e-10         3.53092e-13
             0.824504                2.54959e-10         3.61886e-13
             0.824737                2.55598e-10         3.76906e-13
             0.824970                2.51295e-10         3.73401e-13
             0.825203                2.52013e-10         3.56903e-13
             0.825436                2.55048e-10         3.52676e-13
             0.825669                2.55328e-10         3.51041e-13
             0.825902                2.53877e-10         3.55609e-13
             0.826135                2.57998e-10         3.71072e-13
             0.826368                2.61183e-10         3.94143e-13
             0.826601                2.56932e-10         3.69557e-13
             0.826834                2.54448e-10         3.81807e-13
             0.827067                2.56413e-10         3.50693e-13
             0.827300                2.57359e-10         3.57334e-13
             0.827533                2.51264e-10         3.59438e-13
             0.827766                2.49570e-10         3.64492e-13
             0.827999                2.55440e-10         3.74792e-13
             0.828232                2.58525e-10         3.66025e-13
             0.828465                2.56533e-10         3.52618e-13
             0.828698                2.55738e-10         3.50151e-13
             0.828931                2.52847e-10         3.57657e-13
             0.829163                2.52645e-10         3.61192e-13
             0.829396                2.53103e-10         3.69739e-13
             0.829629                2.49762e-10         3.59794e-13
             0.829862                2.48348e-10         3.46467e-13
             0.830095                2.49465e-10         3.42789e-13
             0.830328                2.54483e-10         3.61766e-13
