# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:40 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7630 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 27277'           /                                                
# SPTYPE  = 'G6 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 07'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808233 / Minimum wavelength (um)                        
# MAXWAVE =              5.03488 / Maximum wavelength (um)                        
# V       =        8.09000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.990000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.27800000000 / 2MASS J magnitude                              
# JERR    =      0.0300000000000 / 2MASS J magnitude error                        
# H       =        5.78500000000 / 2MASS H magnitude                              
# HERR    =      0.0290000000000 / 2MASS H magnitude error                        
# KS      =        5.68000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0136252000000 / Relative error in the absolute flux calibration
# RV      =       -22.5823510000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.920000000000 / Intrinsic Color                                
# E(B-V)  =      0.0700000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808233                1.81611e-11         6.93493e-14
             0.808467                1.79573e-11         6.86089e-14
             0.808700                1.80217e-11         6.87610e-14
             0.808934                1.82973e-11         6.91020e-14
             0.809168                1.79722e-11         6.78884e-14
             0.809402                1.77442e-11         6.70804e-14
             0.809635                1.76877e-11         6.65973e-14
             0.809869                1.78973e-11         6.64103e-14
             0.810103                1.80350e-11         6.60221e-14
             0.810336                1.82379e-11         6.59629e-14
             0.810570                1.82252e-11         6.56438e-14
             0.810804                1.81789e-11         6.70251e-14
             0.811037                1.80258e-11         6.44651e-14
             0.811271                1.81854e-11         6.45692e-14
             0.811505                1.82739e-11         6.50823e-14
             0.811738                1.81082e-11         6.35673e-14
             0.811972                1.81609e-11         6.34110e-14
             0.812205                1.82645e-11         6.30649e-14
             0.812439                1.83040e-11         6.30114e-14
             0.812673                1.80410e-11         6.22403e-14
             0.812906                1.79302e-11         6.13323e-14
             0.813140                1.80949e-11         6.17545e-14
             0.813373                1.82495e-11         6.20167e-14
             0.813607                1.82626e-11         6.14937e-14
             0.813840                1.81630e-11         6.08735e-14
             0.814074                1.82580e-11         6.15115e-14
             0.814307                1.80314e-11         6.00017e-14
             0.814541                1.80677e-11         6.01948e-14
             0.814774                1.79921e-11         6.29585e-14
             0.815008                1.79345e-11         5.92490e-14
             0.815241                1.80300e-11         5.90172e-14
             0.815475                1.81633e-11         5.90714e-14
             0.815708                1.81332e-11         5.88502e-14
             0.815942                1.81731e-11         5.85586e-14
             0.816175                1.82127e-11         5.82386e-14
             0.816409                1.79325e-11         5.81991e-14
             0.816642                1.80575e-11         5.94868e-14
             0.816875                1.82324e-11         5.81346e-14
             0.817109                1.81210e-11         5.76688e-14
             0.817342                1.81426e-11         5.73210e-14
             0.817576                1.81783e-11         5.67422e-14
             0.817809                1.80180e-11         5.64971e-14
             0.818042                1.79888e-11         5.68949e-14
             0.818276                1.75973e-11         5.59376e-14
             0.818509                1.72786e-11         5.44195e-14
             0.818742                1.75699e-11         5.48190e-14
             0.818976                1.80188e-11         5.54583e-14
             0.819209                1.83483e-11         5.57511e-14
             0.819442                1.77309e-11         5.40321e-14
             0.819676                1.69970e-11         5.25350e-14
             0.819909                1.73720e-11         5.28787e-14
             0.820142                1.76672e-11         5.34374e-14
             0.820376                1.80327e-11         5.33344e-14
             0.820609                1.81641e-11         5.30492e-14
             0.820842                1.78480e-11         5.21010e-14
             0.821075                1.78134e-11         5.37204e-14
             0.821309                1.78521e-11         5.14329e-14
             0.821542                1.76717e-11         5.11737e-14
             0.821775                1.79316e-11         5.12207e-14
