# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:12 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8001 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 16139'           /                                                
# SPTYPE  = 'G7.5 IIIa'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806600 / Minimum wavelength (um)                        
# MAXWAVE =              5.42393 / Maximum wavelength (um)                        
# V       =        8.05800000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.05200000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.18000000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        5.70700000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        5.58700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0138328000000 / Relative error in the absolute flux calibration
# RV      =        23.1178860000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.940000000000 / Intrinsic Color                                
# E(B-V)  =       0.112000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806600                2.33465e-11         5.23608e-14
             0.806803                2.33129e-11         5.24516e-14
             0.807005                2.30280e-11         5.19910e-14
             0.807208                2.27219e-11         5.17647e-14
             0.807410                2.25777e-11         5.18142e-14
             0.807613                2.26134e-11         5.17686e-14
             0.807815                2.29520e-11         5.23627e-14
             0.808018                2.31519e-11         5.24162e-14
             0.808221                2.29079e-11         5.23337e-14
             0.808423                2.27785e-11         5.22958e-14
             0.808626                2.27068e-11         5.22112e-14
             0.808828                2.27651e-11         5.26115e-14
             0.809031                2.29131e-11         5.30489e-14
             0.809233                2.24988e-11         5.21645e-14
             0.809436                2.20593e-11         5.17528e-14
             0.809638                2.20511e-11         5.17537e-14
             0.809841                2.24110e-11         5.25410e-14
             0.809855                2.24217e-11         4.28245e-14
             0.810088                2.24522e-11         4.38675e-14
             0.810322                2.27699e-11         4.61643e-14
             0.810555                2.26950e-11         4.78954e-14
             0.810788                2.25598e-11         4.52248e-14
             0.811021                2.26175e-11         4.34309e-14
             0.811254                2.27731e-11         4.28009e-14
             0.811487                2.27048e-11         4.34704e-14
             0.811720                2.25636e-11         4.44729e-14
             0.811953                2.26302e-11         4.67109e-14
             0.812187                2.27700e-11         4.65318e-14
             0.812420                2.28176e-11         4.43617e-14
             0.812653                2.27580e-11         4.30296e-14
             0.812886                2.26796e-11         4.23844e-14
             0.813119                2.26859e-11         4.33098e-14
             0.813352                2.27266e-11         4.51301e-14
             0.813585                2.28280e-11         4.76308e-14
             0.813818                2.28341e-11         4.54530e-14
             0.814051                2.27721e-11         4.34553e-14
             0.814284                2.26670e-11         4.25431e-14
             0.814517                2.26105e-11         4.24561e-14
             0.814750                2.26516e-11         4.36056e-14
             0.814983                2.25312e-11         4.55286e-14
             0.815216                2.24890e-11         4.61081e-14
             0.815450                2.26528e-11         4.44597e-14
             0.815683                2.26961e-11         4.29558e-14
             0.815916                2.27844e-11         4.23585e-14
             0.816149                2.28714e-11         4.43539e-14
             0.816382                2.25472e-11         4.47009e-14
             0.816615                2.26088e-11         4.64422e-14
             0.816848                2.27820e-11         4.62131e-14
             0.817080                2.25736e-11         4.37097e-14
             0.817313                2.27255e-11         4.29550e-14
             0.817546                2.26761e-11         4.18911e-14
             0.817779                2.26815e-11         4.29547e-14
             0.818012                2.26373e-11         4.48465e-14
             0.818245                2.23500e-11         4.57106e-14
             0.818478                2.18744e-11         4.30247e-14
             0.818711                2.19871e-11         4.18859e-14
             0.818944                2.22170e-11         4.12620e-14
             0.819177                2.27182e-11         4.21423e-14
             0.819410                2.24272e-11         4.28155e-14
             0.819643                2.16019e-11         4.35209e-14
