# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:51 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6758 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 333385'          /                                                
# SPTYPE  = 'G7 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jul 13'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 05'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.814430 / Minimum wavelength (um)                        
# MAXWAVE =              4.17884 / Maximum wavelength (um)                        
# V       =        8.70500000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.18700000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.76600000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.30500000000 / 2MASS H magnitude                              
# HERR    =       0.214000000000 / 2MASS H magnitude error                        
# KS      =        3.79300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ECE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0256166000000 / Relative error in the absolute flux calibration
# RV      =       -2.86545570000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.10000000000 / Intrinsic Color                                
# E(B-V)  =        1.08700000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.814430                1.82908e-10         4.19903e-13
             0.814632                1.84429e-10         4.18531e-13
             0.814834                1.86379e-10         4.24690e-13
             0.815036                1.84285e-10         4.26621e-13
             0.815238                1.82905e-10         4.21251e-13
             0.815440                1.86777e-10         4.31641e-13
             0.815643                1.85195e-10         4.29988e-13
             0.815845                1.85061e-10         4.30569e-13
             0.816047                1.86575e-10         4.31974e-13
             0.816249                1.86765e-10         4.36717e-13
             0.816451                1.83579e-10         4.46375e-13
             0.816653                1.82854e-10         4.45375e-13
             0.816855                1.83233e-10         4.29598e-13
             0.816894                1.83514e-10         3.41063e-13
             0.817127                1.84013e-10         3.59785e-13
             0.817361                1.84172e-10         3.69140e-13
             0.817594                1.84017e-10         3.45786e-13
             0.817828                1.84318e-10         3.46544e-13
             0.818061                1.83548e-10         3.44949e-13
             0.818294                1.72875e-10         3.25382e-13
             0.818528                1.47096e-10         2.95792e-13
             0.818761                1.56876e-10         3.15761e-13
             0.818994                1.74420e-10         3.50763e-13
             0.819228                1.81291e-10         3.45634e-13
             0.819461                1.69791e-10         3.13339e-13
             0.819694                1.42575e-10         2.77186e-13
             0.819927                1.57496e-10         3.01859e-13
             0.820161                1.67568e-10         3.30845e-13
             0.820394                1.65369e-10         3.32301e-13
             0.820627                1.78000e-10         3.29766e-13
             0.820861                1.82660e-10         3.20625e-13
             0.821094                1.79378e-10         3.10878e-13
             0.821327                1.77168e-10         3.13842e-13
             0.821560                1.72805e-10         3.16663e-13
             0.821793                1.71786e-10         3.27631e-13
             0.822027                1.71412e-10         3.27143e-13
             0.822260                1.62888e-10         3.04425e-13
             0.822493                1.69011e-10         3.06457e-13
             0.822726                1.83278e-10         3.28428e-13
             0.822959                1.85583e-10         3.59280e-13
             0.823193                1.82024e-10         3.69071e-13
             0.823426                1.78121e-10         3.55221e-13
             0.823659                1.80051e-10         3.33432e-13
             0.823892                1.82228e-10         3.17937e-13
             0.824125                1.82386e-10         3.12776e-13
             0.824358                1.77691e-10         3.11906e-13
             0.824591                1.77421e-10         3.20567e-13
             0.824824                1.77191e-10         3.28522e-13
             0.825058                1.63727e-10         3.05029e-13
             0.825291                1.68388e-10         3.01923e-13
             0.825524                1.77040e-10         3.05918e-13
             0.825757                1.78030e-10         3.10735e-13
             0.825990                1.80999e-10         3.20540e-13
             0.826223                1.84313e-10         3.29615e-13
             0.826456                1.83684e-10         3.45681e-13
             0.826689                1.81124e-10         3.27635e-13
             0.826922                1.83409e-10         3.18623e-13
             0.827155                1.85647e-10         3.10061e-13
             0.827388                1.85085e-10         3.17989e-13
