# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:53 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7651 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 25877'           /                                                
# SPTYPE  = 'G7 II   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804375 / Minimum wavelength (um)                        
# MAXWAVE =              5.03520 / Maximum wavelength (um)                        
# V       =        6.31600000000 / V magnitude                                    
# VERR    =      0.0350000000000 / V magnitude error                              
# (B-V)   =        1.16100000000 / B-V color                                      
# (B-V)ERR=      0.0200000000000 / B-V color error                                
# J       =        4.44400000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =        3.97300000000 / 2MASS H magnitude                              
# HERR    =       0.172000000000 / 2MASS H magnitude error                        
# KS      =        3.81900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.220000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.121971000000 / Relative error in the absolute flux calibration
# RV      =       -38.5798370000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.950000000000 / Intrinsic Color                                
# E(B-V)  =       0.211000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804375                1.15492e-10         1.71185e-13
             0.804577                1.12669e-10         1.70740e-13
             0.804779                1.09648e-10         1.67570e-13
             0.804982                1.09453e-10         1.67804e-13
             0.805184                1.11888e-10         1.69740e-13
             0.805386                1.13503e-10         1.71443e-13
             0.805588                1.15220e-10         1.72788e-13
             0.805790                1.16313e-10         1.74848e-13
             0.805992                1.16847e-10         1.74256e-13
             0.806194                1.16313e-10         1.75071e-13
             0.806396                1.15674e-10         1.74469e-13
             0.806598                1.16278e-10         1.75247e-13
             0.806800                1.15081e-10         1.74194e-13
             0.807002                1.13309e-10         1.72459e-13
             0.807205                1.11085e-10         1.71057e-13
             0.807407                1.09730e-10         1.70363e-13
             0.807609                1.10607e-10         1.70151e-13
             0.807811                1.12439e-10         1.73277e-13
             0.807856                1.12627e-10         1.52387e-13
             0.808090                1.12853e-10         1.62101e-13
             0.808324                1.10637e-10         1.64003e-13
             0.808557                1.10400e-10         1.54714e-13
             0.808791                1.11885e-10         1.48536e-13
             0.809025                1.12167e-10         1.49399e-13
             0.809259                1.08319e-10         1.46311e-13
             0.809493                1.06935e-10         1.52289e-13
             0.809727                1.08783e-10         1.62832e-13
             0.809961                1.10053e-10         1.56368e-13
             0.810194                1.11322e-10         1.48893e-13
             0.810428                1.11001e-10         1.44807e-13
             0.810662                1.09447e-10         1.46897e-13
             0.810896                1.09780e-10         1.52855e-13
             0.811130                1.10775e-10         1.59424e-13
             0.811363                1.10809e-10         1.59500e-13
             0.811597                1.10205e-10         1.49869e-13
             0.811831                1.09986e-10         1.44415e-13
             0.812065                1.10975e-10         1.44063e-13
             0.812298                1.12023e-10         1.48737e-13
             0.812532                1.11903e-10         1.55925e-13
             0.812766                1.10638e-10         1.60963e-13
             0.812999                1.10756e-10         1.52987e-13
             0.813233                1.11383e-10         1.46576e-13
             0.813467                1.11870e-10         1.43882e-13
             0.813701                1.12206e-10         1.46793e-13
             0.813934                1.11609e-10         1.52365e-13
             0.814168                1.10931e-10         1.58609e-13
             0.814401                1.10611e-10         1.55377e-13
             0.814635                1.11354e-10         1.49945e-13
             0.814869                1.10906e-10         1.43747e-13
             0.815102                1.10107e-10         1.43342e-13
             0.815336                1.11065e-10         1.48312e-13
             0.815570                1.11580e-10         1.56186e-13
             0.815803                1.12607e-10         1.62009e-13
             0.816037                1.13104e-10         1.51890e-13
             0.816270                1.10856e-10         1.45360e-13
             0.816504                1.10240e-10         1.44381e-13
             0.816737                1.11498e-10         1.48239e-13
             0.816971                1.11494e-10         1.53238e-13
             0.817204                1.11643e-10         1.61029e-13
