# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8008 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 20619'           /                                                
# SPTYPE  = 'G1.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Jan 25'        / UT date of SXD observations                    
# LXDUT   = '2001 Jan 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808042 / Minimum wavelength (um)                        
# MAXWAVE =              5.43879 / Maximum wavelength (um)                        
# V       =        7.04900000000 / V magnitude                                    
# VERR    =      0.0220000000000 / V magnitude error                              
# (B-V)   =       0.656000000000 / B-V color                                      
# (B-V)ERR=      0.0150000000000 / B-V color error                                
# J       =        5.87600000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        5.55200000000 / 2MASS H magnitude                              
# HERR    =      0.0400000000000 / 2MASS H magnitude error                        
# KS      =        5.46900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0132889000000 / Relative error in the absolute flux calibration
# RV      =        42.7755080000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.620000000000 / Intrinsic Color                                
# E(B-V)  =      0.0360000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808042                3.27285e-11         7.37698e-14
             0.808244                3.26627e-11         7.37029e-14
             0.808447                3.24231e-11         7.33078e-14
             0.808649                3.21948e-11         7.35549e-14
             0.808852                3.20758e-11         7.35387e-14
             0.809054                3.23763e-11         7.35718e-14
             0.809257                3.25315e-11         7.40976e-14
             0.809459                3.21535e-11         7.35326e-14
             0.809662                3.20890e-11         7.36833e-14
             0.809864                3.20151e-11         7.37301e-14
             0.810067                3.19395e-11         7.35761e-14
             0.810269                3.24174e-11         7.47560e-14
             0.810471                3.25511e-11         7.52783e-14
             0.810674                3.26098e-11         7.52826e-14
             0.810876                3.25115e-11         7.52243e-14
             0.811063                3.25048e-11         6.02449e-14
             0.811296                3.25794e-11         6.04641e-14
             0.811529                3.26141e-11         6.19650e-14
             0.811763                3.25883e-11         6.47199e-14
             0.811996                3.24591e-11         6.65924e-14
             0.812229                3.25380e-11         6.34920e-14
             0.812462                3.25881e-11         6.12106e-14
             0.812695                3.24806e-11         5.96005e-14
             0.812928                3.24438e-11         6.02113e-14
             0.813161                3.24951e-11         6.23552e-14
             0.813394                3.23274e-11         6.53222e-14
             0.813627                3.23440e-11         6.47986e-14
             0.813860                3.24427e-11         6.17494e-14
             0.814093                3.24936e-11         6.00911e-14
             0.814326                3.24184e-11         5.96427e-14
             0.814559                3.23354e-11         6.04161e-14
             0.814792                3.21748e-11         6.27207e-14
             0.815025                3.21358e-11         6.54603e-14
             0.815258                3.21580e-11         6.29337e-14
             0.815491                3.21153e-11         6.03844e-14
             0.815724                3.21309e-11         5.90963e-14
             0.815957                3.22837e-11         6.03038e-14
             0.816190                3.21413e-11         6.11625e-14
             0.816423                3.20310e-11         6.35247e-14
             0.816656                3.22229e-11         6.60824e-14
             0.816889                3.21912e-11         6.18525e-14
             0.817121                3.20732e-11         5.99551e-14
             0.817354                3.20593e-11         5.84918e-14
             0.817587                3.21148e-11         5.91655e-14
             0.817820                3.20429e-11         6.16368e-14
             0.818053                3.20419e-11         6.44693e-14
             0.818286                3.15644e-11         6.17468e-14
             0.818519                3.07643e-11         5.82918e-14
             0.818752                3.09705e-11         5.69271e-14
             0.818985                3.16885e-11         5.80952e-14
             0.819218                3.18132e-11         5.91390e-14
             0.819450                3.12692e-11         6.06706e-14
             0.819683                3.01012e-11         6.06922e-14
             0.819916                3.03781e-11         5.89838e-14
             0.820149                3.12029e-11         5.87657e-14
             0.820382                3.17071e-11         5.73762e-14
             0.820615                3.18925e-11         5.81101e-14
             0.820848                3.17069e-11         5.92265e-14
             0.821080                3.13664e-11         6.08157e-14
             0.821313                3.12748e-11         6.06940e-14
