# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:57 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6787 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 182694'          /                                                
# SPTYPE  = 'G7 IIIa '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 31'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803418 / Minimum wavelength (um)                        
# MAXWAVE =              4.08230 / Maximum wavelength (um)                        
# V       =        5.86200000000 / V magnitude                                    
# VERR    =      0.0230000000000 / V magnitude error                              
# (B-V)   =       0.924000000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        4.43700000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =        3.99400000000 / 2MASS H magnitude                              
# HERR    =       0.206000000000 / 2MASS H magnitude error                        
# KS      =        3.83500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.286000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.141226000000 / Relative error in the absolute flux calibration
# RV      =       -2.69630270000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.940000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0160000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803418                1.25063e-10         2.16968e-13
             0.803620                1.24690e-10         2.18334e-13
             0.803822                1.25248e-10         2.19482e-13
             0.804025                1.26070e-10         2.19505e-13
             0.804227                1.25388e-10         2.19937e-13
             0.804429                1.23154e-10         2.17191e-13
             0.804632                1.20242e-10         2.13307e-13
             0.804834                1.17723e-10         2.12639e-13
             0.805036                1.18446e-10         2.11661e-13
             0.805239                1.20778e-10         2.15847e-13
             0.805441                1.22067e-10         2.17664e-13
             0.805643                1.23072e-10         2.18654e-13
             0.805845                1.24340e-10         2.19578e-13
             0.806048                1.24551e-10         2.19037e-13
             0.806250                1.23916e-10         2.18824e-13
             0.806452                1.23627e-10         2.21076e-13
             0.806655                1.23965e-10         2.19961e-13
             0.806824                1.22588e-10         1.92258e-13
             0.807057                1.20655e-10         1.86584e-13
             0.807291                1.18782e-10         1.87561e-13
             0.807524                1.18774e-10         1.95187e-13
             0.807757                1.20463e-10         2.08481e-13
             0.807991                1.21453e-10         2.05143e-13
             0.808224                1.19765e-10         1.91904e-13
             0.808457                1.19069e-10         1.85521e-13
             0.808691                1.19313e-10         1.85173e-13
             0.808924                1.20972e-10         1.92250e-13
             0.809157                1.19384e-10         2.06179e-13
             0.809391                1.16066e-10         2.04169e-13
             0.809624                1.16448e-10         1.93838e-13
             0.809857                1.17718e-10         1.84653e-13
             0.810091                1.18387e-10         1.82730e-13
             0.810324                1.19923e-10         1.85869e-13
             0.810557                1.19028e-10         1.99345e-13
             0.810791                1.18508e-10         2.03367e-13
             0.811024                1.18849e-10         2.00026e-13
             0.811257                1.19458e-10         1.90453e-13
             0.811491                1.19192e-10         1.84498e-13
             0.811724                1.18127e-10         1.82660e-13
             0.811957                1.18958e-10         1.88414e-13
             0.812190                1.19733e-10         1.98408e-13
             0.812424                1.20470e-10         2.07131e-13
             0.812657                1.19611e-10         1.95463e-13
             0.812890                1.18667e-10         1.86436e-13
             0.813123                1.18766e-10         1.82369e-13
             0.813357                1.19010e-10         1.86204e-13
             0.813590                1.19959e-10         1.94928e-13
             0.813823                1.19628e-10         2.07473e-13
             0.814056                1.19238e-10         1.99218e-13
             0.814289                1.18445e-10         1.90348e-13
             0.814522                1.18606e-10         1.84201e-13
             0.814756                1.18642e-10         1.82723e-13
             0.814989                1.18074e-10         1.88731e-13
             0.815222                1.18355e-10         1.96478e-13
             0.815455                1.18975e-10         2.04982e-13
             0.815688                1.18977e-10         1.94850e-13
             0.815921                1.20552e-10         1.87985e-13
             0.816154                1.19628e-10         1.84913e-13
             0.816388                1.17642e-10         1.86343e-13
