# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:47:59 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7601 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 20618'           /                                                
# SPTYPE  = 'G7 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 15'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 15'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809747 / Minimum wavelength (um)                        
# MAXWAVE =              5.00889 / Maximum wavelength (um)                        
# V       =        5.90000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.860000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.44600000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        4.05000000000 / 2MASS H magnitude                              
# HERR    =       0.220000000000 / 2MASS H magnitude error                        
# KS      =        4.10600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.286000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.145834000000 / Relative error in the absolute flux calibration
# RV      =       -8.67074510000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.780000000000 / Intrinsic Color                                
# E(B-V)  =      0.0800000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809747                9.52951e-11         1.38972e-13
             0.809949                9.49146e-11         1.40099e-13
             0.810152                9.56217e-11         1.39471e-13
             0.810354                9.71199e-11         1.41269e-13
             0.810556                9.66189e-11         1.41517e-13
             0.810759                9.65592e-11         1.40725e-13
             0.810961                9.65395e-11         1.41817e-13
             0.811163                9.66570e-11         1.42048e-13
             0.811366                9.66292e-11         1.42290e-13
             0.811568                9.61037e-11         1.41662e-13
             0.811770                9.60751e-11         1.41976e-13
             0.811973                9.65393e-11         1.42257e-13
             0.812175                9.65996e-11         1.43141e-13
             0.812377                9.71967e-11         1.44002e-13
             0.812580                9.71352e-11         1.45348e-13
             0.812782                9.61931e-11         1.44236e-13
             0.812984                9.64644e-11         1.43840e-13
             0.813187                9.66635e-11         1.45264e-13
             0.813389                9.66946e-11         1.47097e-13
             0.813416                9.66959e-11         1.20610e-13
             0.813649                9.65883e-11         1.25002e-13
             0.813882                9.66513e-11         1.31854e-13
             0.814116                9.65940e-11         1.30527e-13
             0.814349                9.61238e-11         1.23957e-13
             0.814582                9.59462e-11         1.19307e-13
             0.814815                9.62133e-11         1.19014e-13
             0.815048                9.57510e-11         1.22658e-13
             0.815282                9.58340e-11         1.28281e-13
             0.815515                9.62776e-11         1.34735e-13
             0.815748                9.62261e-11         1.28605e-13
             0.815981                9.68102e-11         1.22611e-13
             0.816214                9.64180e-11         1.21281e-13
             0.816448                9.54562e-11         1.23487e-13
             0.816681                9.57132e-11         1.27331e-13
             0.816914                9.62905e-11         1.31762e-13
             0.817147                9.59695e-11         1.32195e-13
             0.817380                9.57497e-11         1.24078e-13
             0.817613                9.60318e-11         1.19203e-13
             0.817846                9.63529e-11         1.21411e-13
             0.818080                9.51518e-11         1.23989e-13
             0.818313                9.38250e-11         1.26032e-13
             0.818546                9.20338e-11         1.28371e-13
             0.818779                9.36927e-11         1.24653e-13
             0.819012                9.49656e-11         1.22004e-13
             0.819245                9.56791e-11         1.19767e-13
             0.819478                9.34380e-11         1.17982e-13
             0.819711                9.05512e-11         1.17673e-13
             0.819944                9.26836e-11         1.25932e-13
             0.820177                9.40752e-11         1.28413e-13
             0.820410                9.49744e-11         1.22596e-13
             0.820643                9.52409e-11         1.19290e-13
             0.820876                9.39159e-11         1.14464e-13
             0.821109                9.41952e-11         1.18207e-13
             0.821342                9.42446e-11         1.20999e-13
             0.821575                9.35358e-11         1.25203e-13
             0.821808                9.49211e-11         1.23965e-13
             0.822041                9.38930e-11         1.18042e-13
             0.822274                9.19174e-11         1.13702e-13
             0.822507                9.46377e-11         1.16081e-13
