# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7698 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 114946'          /                                                
# SPTYPE  = 'G7 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jun 24'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 24'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803662 / Minimum wavelength (um)                        
# MAXWAVE =              5.07832 / Maximum wavelength (um)                        
# V       =        5.31800000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.878000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        3.74200000000 / 2MASS J magnitude                              
# JERR    =       0.238000000000 / 2MASS J magnitude error                        
# H       =        3.16900000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        3.11400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.256000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.129057000000 / Relative error in the absolute flux calibration
# RV      =       -10.8478110000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.780000000000 / Intrinsic Color                                
# E(B-V)  =      0.0980000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803662                2.28550e-10         4.40747e-13
             0.803864                2.28981e-10         4.42575e-13
             0.804067                2.29614e-10         4.44322e-13
             0.804269                2.29408e-10         4.43203e-13
             0.804471                2.28037e-10         4.60579e-13
             0.804673                2.21862e-10         4.36152e-13
             0.804876                2.18636e-10         4.32114e-13
             0.805078                2.20628e-10         4.37787e-13
             0.805280                2.25018e-10         4.44008e-13
             0.805483                2.25974e-10         4.41896e-13
             0.805685                2.26054e-10         4.45776e-13
             0.805887                2.29096e-10         4.51657e-13
             0.806089                2.28746e-10         4.49662e-13
             0.806292                2.27308e-10         4.48716e-13
             0.806494                2.28198e-10         4.52515e-13
             0.806696                2.27547e-10         4.51368e-13
             0.806898                2.26869e-10         4.52454e-13
             0.807101                2.23832e-10         4.46506e-13
             0.807303                2.22783e-10         4.47047e-13
             0.807505                2.21512e-10         4.45585e-13
             0.807512                2.21263e-10         3.79329e-13
             0.807745                2.23114e-10         3.90314e-13
             0.807979                2.25200e-10         4.13875e-13
             0.808213                2.23883e-10         4.36937e-13
             0.808446                2.22098e-10         4.08623e-13
             0.808680                2.20251e-10         3.85197e-13
             0.808913                2.23002e-10         3.80422e-13
             0.809147                2.23867e-10         3.85853e-13
             0.809381                2.18924e-10         3.91363e-13
             0.809614                2.18772e-10         4.14372e-13
             0.809848                2.19623e-10         4.14141e-13
             0.810081                2.20548e-10         3.99710e-13
             0.810315                2.22912e-10         3.81239e-13
             0.810548                2.23556e-10         3.80349e-13
             0.810782                2.22406e-10         3.89689e-13
             0.811015                2.22043e-10         4.05740e-13
             0.811249                2.22417e-10         4.25167e-13
             0.811482                2.22103e-10         4.01041e-13
             0.811716                2.20572e-10         3.82044e-13
             0.811949                2.21562e-10         3.80024e-13
             0.812183                2.23184e-10         3.82777e-13
             0.812416                2.23385e-10         3.97811e-13
             0.812650                2.22007e-10         4.17311e-13
             0.812883                2.21859e-10         4.07836e-13
             0.813117                2.22743e-10         3.92100e-13
             0.813350                2.22698e-10         3.81098e-13
             0.813584                2.23482e-10         3.83514e-13
             0.813817                2.22850e-10         3.92967e-13
             0.814051                2.22508e-10         4.06977e-13
             0.814284                2.21358e-10         4.22346e-13
             0.814517                2.21117e-10         3.97701e-13
             0.814751                2.21240e-10         3.82375e-13
             0.814984                2.20849e-10         3.91424e-13
             0.815218                2.20470e-10         3.82484e-13
             0.815451                2.21867e-10         4.04106e-13
             0.815684                2.21922e-10         4.22560e-13
             0.815918                2.23040e-10         4.13472e-13
             0.816151                2.22561e-10         3.93874e-13
             0.816384                2.19514e-10         3.85916e-13
