# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:21 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7539 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 122563'          /                                                
# SPTYPE  = 'G8: III: Fe-5'      / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 May 31'        / UT date of SXD observations                    
# LXDUT   = '2003 May 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811689 / Minimum wavelength (um)                        
# MAXWAVE =              4.94273 / Maximum wavelength (um)                        
# V       =        6.19800000000 / V magnitude                                    
# VERR    =     0.00800000000000 / V magnitude error                              
# (B-V)   =       0.907000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        4.78600000000 / 2MASS J magnitude                              
# JERR    =       0.298000000000 / 2MASS J magnitude error                        
# H       =        4.03000000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        3.73100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0353304000000 / Relative error in the absolute flux calibration
# RV      =       -11.5836270000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.950000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0430000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811689                1.01635e-10         1.89036e-13
             0.811891                1.02167e-10         1.90283e-13
             0.812093                1.01926e-10         1.88701e-13
             0.812295                1.01848e-10         1.91701e-13
             0.812497                1.01257e-10         1.91646e-13
             0.812699                1.01530e-10         1.91830e-13
             0.812901                1.01573e-10         1.90886e-13
             0.813103                1.01820e-10         1.92514e-13
             0.813305                1.01551e-10         1.93456e-13
             0.813507                1.01437e-10         1.96369e-13
             0.813709                1.01230e-10         1.96484e-13
             0.813911                1.01915e-10         1.97653e-13
             0.814113                1.01555e-10         1.97190e-13
             0.814315                1.00952e-10         1.98027e-13
             0.814407                1.01112e-10         1.79594e-13
             0.814641                1.01672e-10         1.74424e-13
             0.814875                1.01240e-10         1.66875e-13
             0.815108                1.01261e-10         1.63468e-13
             0.815342                1.01258e-10         1.62137e-13
             0.815576                1.01024e-10         1.68806e-13
             0.815810                1.01319e-10         1.77153e-13
             0.816043                1.01352e-10         1.77981e-13
             0.816277                1.01168e-10         1.73555e-13
             0.816511                1.00690e-10         1.69563e-13
             0.816745                1.01687e-10         1.65217e-13
             0.816978                1.00951e-10         1.64612e-13
             0.817212                1.01027e-10         1.73454e-13
             0.817446                1.01678e-10         1.78119e-13
             0.817679                1.01159e-10         1.69722e-13
             0.817913                1.00415e-10         1.67669e-13
             0.818147                1.01023e-10         1.64379e-13
             0.818380                1.01162e-10         1.62494e-13
             0.818614                1.01181e-10         1.64575e-13
             0.818847                1.01055e-10         1.73800e-13
             0.819081                1.01201e-10         1.74111e-13
             0.819315                1.00864e-10         1.65270e-13
             0.819548                1.00071e-10         1.60990e-13
             0.819782                1.00206e-10         1.57106e-13
             0.820015                1.00240e-10         1.63519e-13
             0.820249                1.00980e-10         1.69430e-13
             0.820482                1.01426e-10         1.70125e-13
             0.820716                1.01210e-10         1.60660e-13
             0.820949                1.00891e-10         1.54757e-13
             0.821183                1.00583e-10         1.52846e-13
             0.821416                1.00522e-10         1.56117e-13
             0.821650                1.01052e-10         1.60960e-13
             0.821883                1.01211e-10         1.69001e-13
             0.822117                1.00616e-10         1.64253e-13
             0.822350                1.00698e-10         1.57987e-13
             0.822584                1.01516e-10         1.57316e-13
             0.822817                1.00583e-10         1.62282e-13
             0.823051                1.00353e-10         1.73546e-13
             0.823284                1.01301e-10         1.79058e-13
             0.823517                1.01275e-10         1.71085e-13
             0.823751                1.01182e-10         1.61134e-13
             0.823984                1.01067e-10         1.54253e-13
             0.824217                1.01060e-10         1.52363e-13
             0.824451                1.00435e-10         1.55469e-13
             0.824684                1.00367e-10         1.60541e-13
             0.824918                1.00204e-10         1.63767e-13
             0.825151                1.00400e-10         1.57124e-13
             0.825384                1.00499e-10         1.52861e-13
             0.825618                1.00601e-10         1.52278e-13
             0.825851                1.00200e-10         1.53945e-13
             0.826084                1.00364e-10         1.60735e-13
             0.826318                1.00080e-10         1.60866e-13
             0.826551                1.00151e-10         1.60292e-13
             0.826784                1.00219e-10         1.53217e-13
             0.827017                1.00313e-10         1.50189e-13
             0.827251                9.99973e-11         1.51420e-13
             0.827484                9.98588e-11         1.54271e-13
             0.827717                9.97962e-11         1.60018e-13
             0.827950                1.00297e-10         1.63911e-13
             0.828184                9.98333e-11         1.57368e-13
