# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:15 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6647 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 208606'          /                                                
# SPTYPE  = 'G8 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Sep 01'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805162 / Minimum wavelength (um)                        
# MAXWAVE =              4.05193 / Maximum wavelength (um)                        
# V       =        6.15700000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =        1.60000000000 / B-V color                                      
# (B-V)ERR=        0.00000000000 / B-V color error                                
# J       =        3.75100000000 / 2MASS J magnitude                              
# JERR    =       0.246000000000 / 2MASS J magnitude error                        
# H       =        3.12400000000 / 2MASS H magnitude                              
# HERR    =       0.188000000000 / 2MASS H magnitude error                        
# KS      =        2.81100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.280000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131792000000 / Relative error in the absolute flux calibration
# RV      =       -54.4561220000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.14000000000 / Intrinsic Color                                
# E(B-V)  =       0.460000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805162                1.21153e-10         1.76783e-13
             0.805364                1.25120e-10         1.79322e-13
             0.805567                1.28475e-10         1.83103e-13
             0.805770                1.32352e-10         1.86202e-13
             0.805972                1.32742e-10         1.86386e-13
             0.806175                1.28915e-10         1.83259e-13
             0.806377                1.27394e-10         1.81975e-13
             0.806580                1.29741e-10         1.84115e-13
             0.806782                1.28358e-10         1.85022e-13
             0.806985                1.23140e-10         1.79460e-13
             0.807187                1.19130e-10         1.77583e-13
             0.807390                1.17531e-10         1.76374e-13
             0.807592                1.16910e-10         1.75421e-13
             0.807795                1.21806e-10         1.79756e-13
             0.807997                1.26082e-10         1.82539e-13
             0.808200                1.21427e-10         1.79865e-13
             0.808338                1.19328e-10         1.58690e-13
             0.808571                1.19772e-10         1.52696e-13
             0.808805                1.23997e-10         1.52053e-13
             0.809038                1.22206e-10         1.53678e-13
             0.809272                1.13363e-10         1.53639e-13
             0.809505                1.12549e-10         1.60289e-13
             0.809738                1.17300e-10         1.61395e-13
             0.809972                1.18989e-10         1.54141e-13
             0.810205                1.20795e-10         1.49799e-13
             0.810439                1.18022e-10         1.48410e-13
             0.810672                1.14490e-10         1.49647e-13
             0.810905                1.16795e-10         1.57374e-13
             0.811139                1.19751e-10         1.67142e-13
             0.811372                1.19951e-10         1.57944e-13
             0.811605                1.16734e-10         1.49620e-13
             0.811839                1.17223e-10         1.46984e-13
             0.812072                1.18792e-10         1.49544e-13
             0.812306                1.20847e-10         1.56276e-13
             0.812539                1.21505e-10         1.64894e-13
             0.812772                1.18483e-10         1.60971e-13
             0.813005                1.19851e-10         1.57141e-13
             0.813239                1.20567e-10         1.50304e-13
             0.813472                1.22261e-10         1.50294e-13
             0.813705                1.22197e-10         1.54542e-13
             0.813939                1.21239e-10         1.59472e-13
             0.814172                1.20051e-10         1.66047e-13
             0.814405                1.18698e-10         1.57354e-13
             0.814638                1.21403e-10         1.52752e-13
             0.814872                1.20839e-10         1.48993e-13
             0.815105                1.18563e-10         1.48638e-13
             0.815338                1.20894e-10         1.55455e-13
             0.815571                1.21797e-10         1.62661e-13
             0.815805                1.25019e-10         1.65722e-13
             0.816038                1.26800e-10         1.58859e-13
             0.816271                1.20111e-10         1.49732e-13
             0.816504                1.19069e-10         1.49328e-13
             0.816738                1.22155e-10         1.54129e-13
             0.816971                1.22079e-10         1.58394e-13
             0.817204                1.23437e-10         1.66574e-13
             0.817437                1.22922e-10         1.59456e-13
             0.817670                1.23004e-10         1.51522e-13
             0.817903                1.23874e-10         1.50829e-13
             0.818137                1.21185e-10         1.50727e-13
