# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:24 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6700 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 104979'          /                                                
# SPTYPE  = 'G8 III Ba1 CN-1  CH1' / Spectral Type                                
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2002 May 31'        / UT date of SXD observations                    
# LXDUT   = '2003 May 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811033 / Minimum wavelength (um)                        
# MAXWAVE =              4.11498 / Maximum wavelength (um)                        
# V       =        4.11700000000 / V magnitude                                    
# VERR    =     0.00800000000000 / V magnitude error                              
# (B-V)   =       0.982000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        2.54300000000 / 2MASS J magnitude                              
# JERR    =       0.328000000000 / 2MASS J magnitude error                        
# H       =        2.12600000000 / 2MASS H magnitude                              
# HERR    =       0.270000000000 / 2MASS H magnitude error                        
# KS      =        2.01400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.270000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.165002000000 / Relative error in the absolute flux calibration
# RV      =       -17.2175170000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.950000000000 / Intrinsic Color                                
# E(B-V)  =      0.0320000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811033                5.67755e-10         1.71704e-12
             0.811236                5.72526e-10         1.74905e-12
             0.811438                5.72446e-10         1.75097e-12
             0.811641                5.67833e-10         1.74585e-12
             0.811843                5.67489e-10         1.73635e-12
             0.812046                5.67833e-10         1.74445e-12
             0.812248                5.70101e-10         1.73807e-12
             0.812451                5.78634e-10         1.81114e-12
             0.812653                5.72132e-10         1.77890e-12
             0.812856                5.68960e-10         1.76788e-12
             0.813058                5.72062e-10         1.77436e-12
             0.813260                5.66785e-10         1.76552e-12
             0.813463                5.67096e-10         1.76934e-12
             0.813665                5.72401e-10         1.83266e-12
             0.813739                5.71563e-10         1.58889e-12
             0.813972                5.72072e-10         1.65264e-12
             0.814205                5.67735e-10         1.55084e-12
             0.814438                5.64026e-10         1.48214e-12
             0.814671                5.70052e-10         1.45874e-12
             0.814904                5.68212e-10         1.46994e-12
             0.815137                5.64199e-10         1.52694e-12
             0.815369                5.68393e-10         1.60680e-12
             0.815602                5.67214e-10         1.62252e-12
             0.815835                5.72630e-10         1.54987e-12
             0.816068                5.79907e-10         1.51242e-12
             0.816301                5.65897e-10         1.49268e-12
             0.816534                5.61563e-10         1.52798e-12
             0.816767                5.70139e-10         1.58914e-12
             0.817000                5.67990e-10         1.63020e-12
             0.817232                5.68206e-10         1.60698e-12
             0.817465                5.69613e-10         1.49645e-12
             0.817698                5.65374e-10         1.43157e-12
             0.817931                5.60578e-10         1.46519e-12
             0.818164                5.63352e-10         1.53680e-12
             0.818397                5.51337e-10         1.53735e-12
             0.818629                5.46873e-10         1.53632e-12
             0.818862                5.55518e-10         1.50010e-12
             0.819095                5.65132e-10         1.49309e-12
             0.819328                5.70360e-10         1.47650e-12
             0.819561                5.45597e-10         1.41310e-12
             0.819793                5.38570e-10         1.45759e-12
             0.820026                5.48285e-10         1.51820e-12
             0.820259                5.53714e-10         1.54057e-12
             0.820492                5.59562e-10         1.46892e-12
             0.820724                5.60540e-10         1.40851e-12
             0.820957                5.56760e-10         1.39316e-12
             0.821190                5.59320e-10         1.41461e-12
             0.821423                5.54053e-10         1.45594e-12
             0.821655                5.54298e-10         1.52144e-12
             0.821888                5.65282e-10         1.50105e-12
             0.822121                5.54137e-10         1.42669e-12
             0.822354                5.49980e-10         1.37650e-12
             0.822586                5.68945e-10         1.44472e-12
             0.822819                5.69638e-10         1.49610e-12
             0.823052                5.60716e-10         1.60616e-12
             0.823284                5.58574e-10         1.63590e-12
             0.823517                5.62305e-10         1.53558e-12
             0.823750                5.66601e-10         1.44997e-12
             0.823983                5.62319e-10         1.40829e-12
             0.824215                5.65198e-10         1.41497e-12
