# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:27 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7598 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 135722'          /                                                
# SPTYPE  = 'G8 III  Fe-1'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2004 Jul 06'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805909 / Minimum wavelength (um)                        
# MAXWAVE =              5.03399 / Maximum wavelength (um)                        
# V       =        3.48200000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.951000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        1.65900000000 / 2MASS J magnitude                              
# JERR    =       0.238000000000 / 2MASS J magnitude error                        
# H       =       0.985000000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        1.22300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.196000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.118836000000 / Relative error in the absolute flux calibration
# RV      =        30.3098430000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.950000000000 / Intrinsic Color                                
# E(B-V)  =    0.000999987000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805909                1.37113e-09         1.63510e-12
             0.806111                1.37280e-09         1.63092e-12
             0.806313                1.36628e-09         1.62428e-12
             0.806516                1.36466e-09         1.63112e-12
             0.806718                1.37258e-09         1.64733e-12
             0.806920                1.36180e-09         1.62252e-12
             0.807123                1.34134e-09         1.61297e-12
             0.807325                1.32693e-09         1.60187e-12
             0.807527                1.32171e-09         1.58914e-12
             0.807729                1.32463e-09         1.60248e-12
             0.807931                1.34375e-09         1.62606e-12
             0.808134                1.35032e-09         1.61613e-12
             0.808336                1.32916e-09         1.62173e-12
             0.808538                1.32576e-09         1.60500e-12
             0.808740                1.32254e-09         1.61462e-12
             0.808943                1.33637e-09         1.62735e-12
             0.809145                1.34030e-09         1.63617e-12
             0.809206                1.32974e-09         1.44011e-12
             0.809439                1.29792e-09         1.49277e-12
             0.809672                1.29587e-09         1.45160e-12
             0.809906                1.31201e-09         1.39279e-12
             0.810139                1.31366e-09         1.34029e-12
             0.810372                1.33254e-09         1.36278e-12
             0.810605                1.33035e-09         1.40026e-12
             0.810839                1.32545e-09         1.45769e-12
             0.811072                1.32184e-09         1.50657e-12
             0.811305                1.32856e-09         1.43088e-12
             0.811539                1.32477e-09         1.37245e-12
             0.811772                1.31791e-09         1.33683e-12
             0.812005                1.32174e-09         1.35944e-12
             0.812238                1.32894e-09         1.41921e-12
             0.812471                1.33564e-09         1.50056e-12
             0.812705                1.33098e-09         1.46206e-12
             0.812938                1.32351e-09         1.39086e-12
             0.813171                1.32539e-09         1.35298e-12
             0.813404                1.32458e-09         1.34503e-12
             0.813637                1.33177e-09         1.38847e-12
             0.813871                1.33026e-09         1.45146e-12
             0.814104                1.32563e-09         1.49747e-12
             0.814337                1.32153e-09         1.41491e-12
             0.814570                1.31947e-09         1.35318e-12
             0.814803                1.32306e-09         1.34052e-12
             0.815036                1.31710e-09         1.35258e-12
             0.815269                1.31545e-09         1.40517e-12
             0.815503                1.31881e-09         1.47597e-12
             0.815736                1.32213e-09         1.45576e-12
             0.815969                1.33150e-09         1.40048e-12
             0.816202                1.32742e-09         1.35578e-12
             0.816435                1.30910e-09         1.34556e-12
             0.816668                1.31497e-09         1.36696e-12
             0.816901                1.31939e-09         1.43471e-12
             0.817134                1.31818e-09         1.49245e-12
             0.817367                1.31932e-09         1.41190e-12
             0.817600                1.31957e-09         1.35630e-12
             0.817833                1.31670e-09         1.34196e-12
             0.818066                1.31502e-09         1.34952e-12
             0.818300                1.29630e-09         1.36771e-12
             0.818533                1.26960e-09         1.40822e-12
             0.818766                1.27477e-09         1.40151e-12
             0.818999                1.29378e-09         1.35901e-12
             0.819232                1.31835e-09         1.34004e-12
             0.819465                1.30734e-09         1.32100e-12
             0.819698                1.25437e-09         1.31657e-12
             0.819931                1.26612e-09         1.35824e-12
             0.820164                1.28631e-09         1.44538e-12
             0.820396                1.29262e-09         1.37352e-12
             0.820629                1.30031e-09         1.32412e-12
             0.820862                1.28781e-09         1.28653e-12
             0.821095                1.28893e-09         1.29417e-12
             0.821328                1.29111e-09         1.33793e-12
             0.821561                1.28202e-09         1.38457e-12
             0.821794                1.29531e-09         1.40501e-12
             0.822027                1.30076e-09         1.34850e-12
             0.822260                1.27333e-09         1.28097e-12
             0.822493                1.28852e-09         1.29022e-12
             0.822726                1.32857e-09         1.35479e-12
             0.822959                1.31963e-09         1.41253e-12
             0.823192                1.30690e-09         1.44154e-12
             0.823424                1.29496e-09         1.37031e-12
             0.823657                1.30401e-09         1.32942e-12
             0.823890                1.31015e-09         1.30157e-12
             0.824123                1.30215e-09         1.29235e-12
             0.824356                1.31015e-09         1.33573e-12
             0.824589                1.31578e-09         1.38720e-12
             0.824822                1.30547e-09         1.38519e-12
             0.825054                1.29680e-09         1.34300e-12
             0.825287                1.30290e-09         1.32481e-12
             0.825520                1.30887e-09         1.35059e-12
             0.825753                1.30609e-09         1.31592e-12
             0.825986                1.30710e-09         1.34265e-12
             0.826218                1.32111e-09         1.40354e-12
             0.826451                1.32091e-09         1.36401e-12
             0.826684                1.30827e-09         1.31103e-12
             0.826917                1.30515e-09         1.28295e-12
             0.827150                1.31103e-09         1.28900e-12
             0.827382                1.30855e-09         1.31755e-12
             0.827615                1.29420e-09         1.35256e-12
             0.827848                1.29339e-09         1.37003e-12
             0.828081                1.30990e-09         1.34183e-12
             0.828313                1.31363e-09         1.31164e-12
             0.828546                1.31067e-09         1.29378e-12
             0.828779                1.30693e-09         1.29862e-12
             0.829011                1.29750e-09         1.33738e-12
             0.829244                1.29890e-09         1.36987e-12
             0.829477                1.29136e-09         1.34897e-12
             0.829710                1.28480e-09         1.29694e-12
             0.829942                1.28612e-09         1.26595e-12
             0.830175                1.28820e-09         1.26597e-12
             0.830408                1.29891e-09         1.29595e-12
             0.830640                1.28780e-09         1.32207e-12
             0.830873                1.27740e-09         1.34730e-12
             0.831106                1.27072e-09         1.29009e-12
