# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7991 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 75732'           /                                                
# SPTYPE  = 'G8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803720 / Minimum wavelength (um)                        
# MAXWAVE =              5.39915 / Maximum wavelength (um)                        
# V       =        5.94400000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =       0.860000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        4.76800000000 / 2MASS J magnitude                              
# JERR    =       0.244000000000 / 2MASS J magnitude error                        
# H       =        4.26500000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        4.01500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0352090000000 / Relative error in the absolute flux calibration
# RV      =        48.8383690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.740000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803720                1.35334e-10         2.36558e-13
             0.803922                1.36234e-10         2.38984e-13
             0.804125                1.35628e-10         2.38779e-13
             0.804327                1.35153e-10         2.38271e-13
             0.804530                1.32112e-10         2.34457e-13
             0.804732                1.27037e-10         2.28020e-13
             0.804935                1.25031e-10         2.24390e-13
             0.805138                1.27795e-10         2.29067e-13
             0.805340                1.30095e-10         2.30823e-13
             0.805543                1.30204e-10         2.32247e-13
             0.805745                1.31456e-10         2.36203e-13
             0.805948                1.33028e-10         2.36816e-13
             0.806150                1.34261e-10         2.39796e-13
             0.806353                1.34004e-10         2.40299e-13
             0.806555                1.34086e-10         2.39666e-13
             0.806758                1.33567e-10         2.40104e-13
             0.806960                1.31969e-10         2.36308e-13
             0.807163                1.29685e-10         2.34018e-13
             0.807365                1.28468e-10         2.33547e-13
             0.807465                1.28406e-10         2.20305e-13
             0.807698                1.29230e-10         2.08648e-13
             0.807931                1.31244e-10         2.02649e-13
             0.808165                1.30560e-10         1.95591e-13
             0.808398                1.28795e-10         1.94145e-13
             0.808631                1.27568e-10         1.97856e-13
             0.808865                1.28962e-10         2.22228e-13
             0.809098                1.29636e-10         2.14905e-13
             0.809331                1.26457e-10         1.99087e-13
             0.809564                1.24655e-10         1.90157e-13
             0.809797                1.25349e-10         1.87337e-13
             0.810031                1.23763e-10         1.89051e-13
             0.810264                1.25611e-10         1.98112e-13
             0.810497                1.28719e-10         2.14383e-13
             0.810730                1.28053e-10         2.07184e-13
             0.810964                1.28545e-10         1.98686e-13
             0.811197                1.29084e-10         1.93544e-13
             0.811430                1.30067e-10         1.94819e-13
             0.811663                1.28756e-10         1.98176e-13
             0.811896                1.27949e-10         2.05537e-13
             0.812129                1.29045e-10         2.15141e-13
             0.812362                1.30490e-10         2.05759e-13
             0.812596                1.30403e-10         1.97432e-13
             0.812829                1.28893e-10         1.92004e-13
             0.813062                1.28664e-10         1.93460e-13
             0.813295                1.28843e-10         2.00505e-13
             0.813528                1.29783e-10         2.11158e-13
             0.813761                1.29839e-10         2.08749e-13
             0.813994                1.29505e-10         1.99330e-13
             0.814228                1.28988e-10         1.93498e-13
             0.814461                1.28473e-10         1.91499e-13
             0.814694                1.28747e-10         1.94793e-13
             0.814927                1.28813e-10         2.03464e-13
             0.815160                1.27950e-10         2.11451e-13
             0.815393                1.28520e-10         2.02662e-13
             0.815626                1.29047e-10         1.95589e-13
             0.815859                1.29127e-10         1.90673e-13
             0.816092                1.29704e-10         1.93889e-13
             0.816325                1.27528e-10         1.96704e-13
             0.816558                1.27385e-10         2.04258e-13
             0.816791                1.28287e-10         2.07091e-13
             0.817024                1.28386e-10         1.98349e-13
             0.817257                1.28394e-10         1.91441e-13
             0.817490                1.27770e-10         1.89424e-13
             0.817723                1.28204e-10         1.92567e-13
             0.817956                1.27674e-10         1.98480e-13
             0.818189                1.25607e-10         2.03828e-13
             0.818422                1.19835e-10         1.88917e-13
             0.818655                1.18503e-10         1.81514e-13
             0.818888                1.23121e-10         1.83985e-13
             0.819121                1.26262e-10         1.86137e-13
             0.819354                1.25965e-10         1.92024e-13
             0.819587                1.16860e-10         1.85465e-13
             0.819820                1.14793e-10         1.88193e-13
             0.820053                1.20538e-10         1.87276e-13
             0.820286                1.24225e-10         1.84966e-13
             0.820519                1.26081e-10         1.84346e-13
             0.820752                1.26254e-10         1.88394e-13
             0.820984                1.24288e-10         1.89216e-13
             0.821217                1.23776e-10         1.95611e-13
             0.821450                1.21041e-10         1.92085e-13
             0.821683                1.21292e-10         1.85106e-13
             0.821916                1.24253e-10         1.83494e-13
             0.822149                1.20698e-10         1.77704e-13
             0.822382                1.20236e-10         1.79384e-13
             0.822615                1.26570e-10         1.95305e-13
             0.822847                1.28717e-10         2.09191e-13
             0.823080                1.27566e-10         1.98227e-13
             0.823313                1.25664e-10         1.88882e-13
             0.823546                1.25654e-10         1.84319e-13
             0.823779                1.26311e-10         1.84961e-13
             0.824012                1.26105e-10         1.90748e-13
             0.824244                1.27937e-10         2.08451e-13
             0.824477                1.27766e-10         2.00850e-13
             0.824710                1.27271e-10         1.94238e-13
             0.824943                1.25644e-10         1.83898e-13
             0.825176                1.25296e-10         1.82229e-13
             0.825408                1.26321e-10         1.85213e-13
             0.825641                1.26399e-10         1.90165e-13
             0.825874                1.25779e-10         1.96570e-13
             0.826107                1.27187e-10         1.95186e-13
             0.826340                1.28688e-10         1.89868e-13
             0.826572                1.27210e-10         1.85563e-13
             0.826805                1.26018e-10         1.82114e-13
             0.827038                1.26458e-10         1.86865e-13
             0.827271                1.26990e-10         1.92228e-13
             0.827503                1.25619e-10         1.95982e-13
             0.827736                1.24090e-10         1.87301e-13
             0.827969                1.25708e-10         1.84204e-13
             0.828201                1.27435e-10         1.84235e-13
             0.828434                1.27104e-10         1.85447e-13
             0.828667                1.25855e-10         1.86127e-13
             0.828899                1.24773e-10         1.91076e-13
             0.829132                1.24401e-10         1.90478e-13
             0.829365                1.24761e-10         1.86296e-13
             0.829597                1.23928e-10         1.80428e-13
             0.829830                1.23526e-10         1.78394e-13
             0.830063                1.23762e-10         1.80207e-13
             0.830295                1.24875e-10         1.85560e-13
             0.830528                1.23685e-10         1.90276e-13
             0.830761                1.21266e-10         1.82610e-13
             0.830993                1.20279e-10         1.76038e-13
             0.831226                1.19393e-10         1.71997e-13
             0.831459                1.21136e-10         1.74441e-13
             0.831691                1.23982e-10         1.80653e-13
             0.831924                1.25318e-10         1.88845e-13
             0.832156                1.24441e-10         1.92139e-13
             0.832389                1.23038e-10         1.85711e-13
             0.832622                1.21420e-10         1.78041e-13
             0.832854                1.17724e-10         1.69403e-13
             0.833087                1.17350e-10         1.69481e-13
             0.833319                1.16728e-10         1.72318e-13
             0.833552                1.15836e-10         1.75288e-13
             0.833784                1.17353e-10         1.76893e-13
             0.834017                1.17687e-10         1.72566e-13
             0.834250                1.19545e-10         1.73088e-13
             0.834482                1.20913e-10         1.72268e-13
             0.834715                1.17416e-10         1.72099e-13
             0.834947                1.16029e-10         1.71679e-13
             0.835180                1.20321e-10         1.81082e-13
             0.835412                1.23794e-10         1.82475e-13
             0.835645                1.23815e-10         1.86047e-13
             0.835877                1.22988e-10         1.78341e-13
             0.836110                1.22812e-10         1.74385e-13
             0.836342                1.22451e-10         1.76870e-13
             0.836575                1.20846e-10         1.79073e-13
             0.836807                1.20787e-10         1.80084e-13
             0.837040                1.23365e-10         1.79518e-13
             0.837272                1.22697e-10         1.78364e-13
             0.837505                1.22622e-10         1.74162e-13
             0.837737                1.23527e-10         1.76188e-13
             0.837969                1.22582e-10         1.77268e-13
             0.838202                1.22526e-10         1.80526e-13
             0.838434                1.20263e-10         1.81054e-13
             0.838667                1.18542e-10         1.74737e-13
             0.838899                1.15496e-10         1.64776e-13
             0.839132                1.15539e-10         1.66297e-13
             0.839364                1.21400e-10         1.73836e-13
             0.839596                1.23880e-10         1.80740e-13
             0.839829                1.22608e-10         1.82177e-13
             0.840061                1.22202e-10         1.90117e-13
             0.840294                1.22059e-10         1.73452e-13
             0.840526                1.22056e-10         1.71704e-13
             0.840758                1.22788e-10         1.76801e-13
             0.840991                1.23313e-10         1.76159e-13
             0.841223                1.22803e-10         1.80190e-13
             0.841456                1.20755e-10         1.77747e-13
             0.841688                1.21393e-10         1.76083e-13
             0.841920                1.21453e-10         1.71918e-13
             0.842153                1.20381e-10         1.69055e-13
             0.842385                1.19491e-10         1.68455e-13
             0.842617                1.18114e-10         1.69466e-13
             0.842850                1.17314e-10         1.71257e-13
             0.843082                1.21249e-10         1.76437e-13
             0.843314                1.23061e-10         1.74661e-13
             0.843547                1.19883e-10         1.70595e-13
             0.843779                1.16748e-10         1.65520e-13
             0.844011                1.16781e-10         1.67205e-13
             0.844243                1.17593e-10         1.69863e-13
             0.844476                1.20110e-10         1.77801e-13
             0.844708                1.21348e-10         1.77403e-13
             0.844940                1.21100e-10         1.74049e-13
             0.845173                1.20415e-10         1.68169e-13
             0.845405                1.21143e-10         1.68459e-13
             0.845637                1.21803e-10         1.71035e-13
             0.845869                1.21048e-10         1.81298e-13
             0.846102                1.21000e-10         1.74883e-13
             0.846334                1.22242e-10         1.73868e-13
             0.846566                1.21353e-10         1.70737e-13
             0.846798                1.17959e-10         1.67648e-13
             0.847031                1.15014e-10         1.63626e-13
             0.847263                1.16070e-10         1.66710e-13
             0.847495                1.18893e-10         1.71122e-13
             0.847727                1.20805e-10         1.72055e-13
             0.847959                1.21123e-10         1.69883e-13
             0.848191                1.19488e-10         1.64981e-13
             0.848424                1.17997e-10         1.62597e-13
