# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:29 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7527 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 101501'          /                                                
# SPTYPE  = 'G8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810754 / Minimum wavelength (um)                        
# MAXWAVE =              4.92745 / Maximum wavelength (um)                        
# V       =        5.32300000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.723000000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        3.98800000000 / 2MASS J magnitude                              
# JERR    =       0.242000000000 / 2MASS J magnitude error                        
# H       =        3.64800000000 / 2MASS H magnitude                              
# HERR    =       0.228000000000 / 2MASS H magnitude error                        
# KS      =        3.58800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0351817000000 / Relative error in the absolute flux calibration
# RV      =       -10.0631130000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.740000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0170000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810754                1.77542e-10         3.15578e-13
             0.810956                1.76724e-10         3.13499e-13
             0.811158                1.77213e-10         3.15590e-13
             0.811360                1.77662e-10         3.16387e-13
             0.811563                1.76940e-10         3.16716e-13
             0.811765                1.75917e-10         3.19103e-13
             0.811967                1.76438e-10         3.15611e-13
             0.812169                1.77464e-10         3.15997e-13
             0.812371                1.77654e-10         3.21404e-13
             0.812574                1.77702e-10         3.25339e-13
             0.812776                1.76199e-10         3.24355e-13
             0.812978                1.75634e-10         3.15908e-13
             0.813180                1.76375e-10         3.19591e-13
             0.813383                1.76125e-10         3.19755e-13
             0.813579                1.75835e-10         2.55833e-13
             0.813813                1.76102e-10         2.58014e-13
             0.814047                1.75907e-10         2.68471e-13
             0.814281                1.75302e-10         2.81497e-13
             0.814514                1.74819e-10         2.76747e-13
             0.814748                1.74733e-10         2.62309e-13
             0.814982                1.73956e-10         2.61847e-13
             0.815215                1.74546e-10         2.54646e-13
             0.815449                1.75066e-10         2.61021e-13
             0.815682                1.75017e-10         2.74707e-13
             0.815916                1.75844e-10         2.83829e-13
             0.816150                1.74752e-10         2.67038e-13
             0.816383                1.73666e-10         2.62580e-13
             0.816617                1.74750e-10         2.59214e-13
             0.816850                1.75160e-10         2.59769e-13
             0.817084                1.73923e-10         2.65563e-13
             0.817317                1.73622e-10         2.81263e-13
             0.817551                1.73916e-10         2.67800e-13
             0.817784                1.73571e-10         2.59011e-13
             0.818018                1.73526e-10         2.56742e-13
             0.818251                1.71912e-10         2.53290e-13
             0.818485                1.64961e-10         2.47579e-13
             0.818718                1.67826e-10         2.59024e-13
             0.818952                1.71422e-10         2.71864e-13
             0.819185                1.73817e-10         2.65085e-13
             0.819419                1.70137e-10         2.50031e-13
             0.819652                1.60893e-10         2.40946e-13
             0.819886                1.64144e-10         2.40904e-13
             0.820119                1.68236e-10         2.57019e-13
             0.820353                1.72063e-10         2.71002e-13
             0.820586                1.73631e-10         2.63340e-13
             0.820819                1.71902e-10         2.50218e-13
             0.821053                1.70745e-10         2.43086e-13
             0.821286                1.69896e-10         2.43391e-13
             0.821520                1.66353e-10         2.45123e-13
             0.821753                1.69456e-10         2.57422e-13
             0.821986                1.68935e-10         2.61463e-13
             0.822220                1.63620e-10         2.43115e-13
             0.822453                1.69047e-10         2.44666e-13
             0.822686                1.74001e-10         2.48969e-13
             0.822920                1.73024e-10         2.56384e-13
             0.823153                1.71672e-10         2.67613e-13
             0.823386                1.69213e-10         2.71428e-13
             0.823620                1.70197e-10         2.57962e-13
             0.823853                1.71107e-10         2.48384e-13
             0.824086                1.71403e-10         2.42761e-13
