# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7672 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 170820'          /                                                
# SPTYPE  = 'G9 II CN1 H_delta1' / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 07'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805945 / Minimum wavelength (um)                        
# MAXWAVE =              5.07040 / Maximum wavelength (um)                        
# V       =        7.37100000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =        1.57500000000 / B-V color                                      
# (B-V)ERR=      0.0180000000000 / B-V color error                                
# J       =        4.46900000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =        3.66600000000 / 2MASS H magnitude                              
# HERR    =       0.200000000000 / 2MASS H magnitude error                        
# KS      =        3.54300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.232000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131389000000 / Relative error in the absolute flux calibration
# RV      =        57.1145630000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.02000000000 / Intrinsic Color                                
# E(B-V)  =       0.555000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805945                1.41912e-10         3.04212e-13
             0.806148                1.40537e-10         3.02543e-13
             0.806350                1.37790e-10         2.98858e-13
             0.806553                1.39039e-10         3.00596e-13
             0.806755                1.37579e-10         2.97949e-13
             0.806957                1.33012e-10         2.93111e-13
             0.807160                1.28686e-10         2.88838e-13
             0.807362                1.28379e-10         2.86410e-13
             0.807564                1.27568e-10         2.87474e-13
             0.807767                1.30528e-10         2.91665e-13
             0.807969                1.34899e-10         2.96387e-13
             0.808172                1.31431e-10         2.93144e-13
             0.808374                1.27751e-10         2.89178e-13
             0.808576                1.29709e-10         2.89030e-13
             0.808779                1.33554e-10         3.01657e-13
             0.808981                1.33209e-10         2.95888e-13
             0.809183                1.25694e-10         2.87328e-13
             0.809386                1.19636e-10         2.80072e-13
             0.809521                1.21156e-10         2.55459e-13
             0.809755                1.26612e-10         2.49784e-13
             0.809988                1.28281e-10         2.44624e-13
             0.810221                1.29365e-10         2.48511e-13
             0.810455                1.27100e-10         2.57622e-13
             0.810688                1.23451e-10         2.65155e-13
             0.810921                1.25040e-10         2.66015e-13
             0.811155                1.27619e-10         2.54335e-13
             0.811388                1.28689e-10         2.46623e-13
             0.811621                1.24633e-10         2.39768e-13
             0.811855                1.23844e-10         2.44063e-13
             0.812088                1.26576e-10         2.59412e-13
             0.812321                1.29447e-10         2.77421e-13
             0.812554                1.30460e-10         2.61988e-13
             0.812788                1.27358e-10         2.50657e-13
             0.813021                1.27791e-10         2.43081e-13
             0.813254                1.27866e-10         2.44017e-13
             0.813487                1.29209e-10         2.56055e-13
             0.813721                1.30491e-10         2.76396e-13
             0.813954                1.29745e-10         2.67081e-13
             0.814187                1.28292e-10         2.53215e-13
             0.814420                1.26728e-10         2.44272e-13
             0.814653                1.29567e-10         2.43836e-13
             0.814887                1.29296e-10         2.49127e-13
             0.815120                1.27632e-10         2.57523e-13
             0.815353                1.28735e-10         2.72696e-13
             0.815586                1.29449e-10         2.65152e-13
             0.815819                1.32397e-10         2.58278e-13
             0.816052                1.34623e-10         2.56040e-13
             0.816285                1.26876e-10         2.47363e-13
             0.816519                1.25995e-10         2.53340e-13
             0.816752                1.30204e-10         2.83734e-13
             0.816985                1.30250e-10         2.68957e-13
             0.817218                1.31495e-10         2.56772e-13
             0.817451                1.31173e-10         2.46590e-13
             0.817684                1.29677e-10         2.44725e-13
             0.817917                1.30226e-10         2.50957e-13
             0.818150                1.30179e-10         2.58632e-13
             0.818383                1.27556e-10         2.67649e-13
             0.818616                1.25890e-10         2.61274e-13
             0.818849                1.25629e-10         2.46329e-13
             0.819082                1.30018e-10         2.46484e-13
