# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:40 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6830 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 222093'          /                                                
# SPTYPE  = 'G9 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 29'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807855 / Minimum wavelength (um)                        
# MAXWAVE =              4.08858 / Maximum wavelength (um)                        
# V       =        5.65200000000 / V magnitude                                    
# VERR    =      0.0140000000000 / V magnitude error                              
# (B-V)   =        1.02300000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        4.20500000000 / 2MASS J magnitude                              
# JERR    =       0.268000000000 / 2MASS J magnitude error                        
# H       =        3.55600000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        3.52000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.214000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.133572000000 / Relative error in the absolute flux calibration
# RV      =       -11.8184040000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.980000000000 / Intrinsic Color                                
# E(B-V)  =      0.0430000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807855                1.30016e-10         2.02261e-13
             0.808057                1.31180e-10         2.04930e-13
             0.808259                1.28896e-10         2.03729e-13
             0.808462                1.28498e-10         2.01522e-13
             0.808664                1.28557e-10         2.02529e-13
             0.808867                1.29926e-10         2.04115e-13
             0.809069                1.30775e-10         2.16253e-13
             0.809272                1.26847e-10         2.00616e-13
             0.809474                1.24205e-10         1.97899e-13
             0.809676                1.25970e-10         1.99386e-13
             0.809879                1.27054e-10         2.01705e-13
             0.810081                1.27653e-10         2.02731e-13
             0.810284                1.30041e-10         2.08323e-13
             0.810486                1.29579e-10         2.07138e-13
             0.810688                1.28225e-10         2.04349e-13
             0.810891                1.28545e-10         2.05477e-13
             0.811007                1.28174e-10         1.89143e-13
             0.811240                1.28710e-10         1.75120e-13
             0.811474                1.28667e-10         1.69331e-13
             0.811707                1.27154e-10         1.65546e-13
             0.811940                1.27543e-10         1.69242e-13
             0.812173                1.29051e-10         1.78216e-13
             0.812406                1.30417e-10         1.89192e-13
             0.812640                1.29851e-10         1.84211e-13
             0.812873                1.28360e-10         1.72883e-13
             0.813106                1.28433e-10         1.75764e-13
             0.813339                1.28790e-10         1.68360e-13
             0.813573                1.29543e-10         1.75822e-13
             0.813806                1.29752e-10         1.83882e-13
             0.814039                1.29269e-10         1.84706e-13
             0.814272                1.28547e-10         1.75953e-13
             0.814505                1.28016e-10         1.68983e-13
             0.814738                1.29014e-10         1.67912e-13
             0.814972                1.28246e-10         1.70322e-13
             0.815205                1.28302e-10         1.77735e-13
             0.815438                1.29346e-10         1.86790e-13
             0.815671                1.29499e-10         1.81587e-13
             0.815904                1.30416e-10         1.74480e-13
             0.816137                1.29977e-10         1.69961e-13
             0.816370                1.27527e-10         1.70581e-13
             0.816603                1.28178e-10         1.75829e-13
             0.816837                1.29431e-10         1.87103e-13
             0.817070                1.29100e-10         1.86818e-13
             0.817303                1.28999e-10         1.77229e-13
             0.817536                1.28971e-10         1.71165e-13
             0.817769                1.29644e-10         1.69026e-13
             0.818002                1.29034e-10         1.73274e-13
             0.818235                1.27306e-10         1.75518e-13
             0.818468                1.24670e-10         1.82052e-13
             0.818701                1.25073e-10         1.76480e-13
             0.818934                1.27200e-10         1.71146e-13
             0.819167                1.29720e-10         1.70637e-13
             0.819400                1.28471e-10         1.66557e-13
             0.819633                1.22972e-10         1.63908e-13
             0.819866                1.24296e-10         1.70858e-13
             0.820099                1.27123e-10         1.82597e-13
             0.820332                1.27601e-10         1.72972e-13
             0.820565                1.27482e-10         1.64448e-13
             0.820798                1.26820e-10         1.60325e-13
