# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:24 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7662 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 216219'          /                                                
# SPTYPE  = 'G1 II-III: Fe-1 CH0.5' / Spectral Type                               
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806166 / Minimum wavelength (um)                        
# MAXWAVE =              5.05602 / Maximum wavelength (um)                        
# V       =        7.45000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.640000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.26500000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        6.03400000000 / 2MASS H magnitude                              
# HERR    =      0.0210000000000 / 2MASS H magnitude error                        
# KS      =        5.93500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0110245000000 / Relative error in the absolute flux calibration
# RV      =        31.2433630000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.690000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806166                2.42539e-11         6.87821e-14
             0.806368                2.43404e-11         6.88394e-14
             0.806570                2.43505e-11         6.92115e-14
             0.806773                2.45451e-11         6.93432e-14
             0.806975                2.43483e-11         6.90547e-14
             0.807177                2.41987e-11         6.89548e-14
             0.807380                2.40912e-11         6.90054e-14
             0.807582                2.42292e-11         6.87717e-14
             0.807784                2.40982e-11         6.89457e-14
             0.807987                2.43504e-11         6.98529e-14
             0.808189                2.42419e-11         6.92175e-14
             0.808391                2.41519e-11         6.91644e-14
             0.808594                2.38547e-11         6.90387e-14
             0.808796                2.38484e-11         6.83464e-14
             0.808998                2.40455e-11         6.97772e-14
             0.809201                2.41540e-11         6.95527e-14
             0.809403                2.38543e-11         6.92669e-14
             0.809605                2.37284e-11         6.88225e-14
             0.809738                2.37692e-11         6.13912e-14
             0.809971                2.36791e-11         5.82495e-14
             0.810205                2.38328e-11         5.73100e-14
             0.810438                2.40691e-11         5.80701e-14
             0.810672                2.41627e-11         6.07572e-14
             0.810905                2.40269e-11         6.32368e-14
             0.811139                2.40071e-11         6.32510e-14
             0.811372                2.40735e-11         6.03021e-14
             0.811606                2.40969e-11         5.80836e-14
             0.811839                2.39976e-11         5.73798e-14
             0.812072                2.39956e-11         5.85656e-14
             0.812306                2.39570e-11         6.12885e-14
             0.812539                2.39713e-11         6.45810e-14
             0.812773                2.39763e-11         6.11646e-14
             0.813006                2.39609e-11         5.83852e-14
             0.813240                2.38834e-11         5.70345e-14
             0.813473                2.38450e-11         5.73983e-14
             0.813706                2.38322e-11         5.95478e-14
             0.813940                2.39297e-11         6.25448e-14
             0.814173                2.38021e-11         6.19217e-14
             0.814406                2.38109e-11         5.92518e-14
             0.814640                2.38500e-11         5.77541e-14
             0.814873                2.38690e-11         5.70897e-14
             0.815106                2.37445e-11         5.78967e-14
             0.815340                2.38828e-11         6.07593e-14
             0.815573                2.38429e-11         6.38392e-14
             0.815806                2.38687e-11         6.13863e-14
             0.816040                2.39379e-11         5.85846e-14
             0.816273                2.38065e-11         5.76267e-14
             0.816506                2.36964e-11         5.89524e-14
             0.816740                2.38215e-11         5.98059e-14
             0.816973                2.38896e-11         6.26159e-14
             0.817206                2.37821e-11         6.18868e-14
             0.817439                2.37178e-11         5.86860e-14
             0.817673                2.38304e-11         5.77255e-14
             0.817906                2.37541e-11         5.75618e-14
             0.818139                2.36572e-11         5.79390e-14
             0.818372                2.31573e-11         5.89402e-14
             0.818606                2.28469e-11         6.08927e-14
             0.818839                2.33720e-11         5.94592e-14
             0.819072                2.35782e-11         5.77915e-14
             0.819305                2.37149e-11         5.68606e-14
             0.819538                2.29863e-11         5.54577e-14
             0.819772                2.24986e-11         5.59398e-14
             0.820005                2.30623e-11         5.97591e-14
             0.820238                2.32475e-11         5.97902e-14
             0.820471                2.33589e-11         5.72067e-14
             0.820704                2.35822e-11         5.60836e-14
             0.820937                2.34990e-11         5.82243e-14
             0.821170                2.34111e-11         5.66359e-14
             0.821404                2.31163e-11         5.77488e-14
             0.821637                2.29741e-11         6.01699e-14
             0.821870                2.32522e-11         5.82035e-14
             0.822103                2.31724e-11         5.61566e-14
             0.822336                2.29108e-11         5.46377e-14
             0.822569                2.35256e-11         5.60137e-14
             0.822802                2.36857e-11         5.85933e-14
             0.823035                2.35422e-11         6.06766e-14
             0.823268                2.32664e-11         5.95156e-14
             0.823501                2.31265e-11         5.68002e-14
             0.823734                2.33323e-11         5.51917e-14
             0.823967                2.32704e-11         5.44860e-14
             0.824200                2.34170e-11         5.57512e-14
             0.824433                2.34357e-11         5.77225e-14
             0.824666                2.33470e-11         5.93647e-14
             0.824899                2.30739e-11         5.85912e-14
             0.825132                2.27801e-11         5.44770e-14
             0.825365                2.30758e-11         5.36740e-14
             0.825598                2.31914e-11         5.44499e-14
             0.825831                2.32027e-11         5.64648e-14
             0.826064                2.32487e-11         5.86613e-14
             0.826297                2.33612e-11         6.11168e-14
             0.826530                2.32407e-11         5.76802e-14
             0.826763                2.31293e-11         5.42743e-14
             0.826996                2.32505e-11         5.37417e-14
             0.827229                2.32874e-11         5.42860e-14
             0.827462                2.31439e-11         5.59587e-14
             0.827695                2.30513e-11         5.77686e-14
             0.827928                2.31655e-11         5.68231e-14
             0.828161                2.32299e-11         5.50665e-14
             0.828394                2.30226e-11         5.36370e-14
             0.828627                2.31063e-11         5.32822e-14
             0.828860                2.30701e-11         5.49615e-14
             0.829092                2.30260e-11         5.64953e-14
             0.829325                2.30065e-11         5.76037e-14
             0.829558                2.29137e-11         5.55626e-14
             0.829791                2.29441e-11         5.42845e-14
             0.830024                2.30208e-11         5.34955e-14
             0.830257                2.30084e-11         5.43964e-14
             0.830489                2.30789e-11         5.52698e-14
             0.830722                2.28875e-11         5.66903e-14
             0.830955                2.27550e-11         5.53780e-14
             0.831188                2.26983e-11         5.36751e-14
             0.831421                2.28362e-11         5.27380e-14
             0.831653                2.29411e-11         5.32034e-14
             0.831886                2.29586e-11         5.55622e-14
             0.832119                2.29456e-11         5.54721e-14
             0.832352                2.29151e-11         5.65828e-14
             0.832585                2.28309e-11         5.45813e-14
             0.832817                2.24177e-11         5.22407e-14
             0.833050                2.23103e-11         5.15309e-14
             0.833283                2.25261e-11         5.23278e-14
             0.833516                2.21053e-11         5.23057e-14
             0.833748                2.19046e-11         5.35234e-14
             0.833981                2.22150e-11         5.41726e-14
             0.834214                2.24375e-11         5.32816e-14
             0.834446                2.26992e-11         5.27704e-14
             0.834679                2.25734e-11         5.41015e-14
             0.834912                2.23584e-11         5.20299e-14
             0.835144                2.25674e-11         5.30039e-14
             0.835377                2.27993e-11         5.51718e-14
             0.835610                2.27855e-11         5.48952e-14
             0.835842                2.27190e-11         5.27533e-14
             0.836075                2.26199e-11         5.13792e-14
             0.836308                2.25584e-11         5.13932e-14
             0.836540                2.25673e-11         5.21688e-14
             0.836773                2.25521e-11         5.33416e-14
             0.837006                2.26142e-11         5.41163e-14
             0.837238                2.26573e-11         5.31726e-14
             0.837471                2.26596e-11         5.17815e-14
             0.837704                2.26031e-11         5.12378e-14
             0.837936                2.26250e-11         5.19869e-14
             0.838169                2.26995e-11         5.32309e-14
             0.838401                2.25876e-11         5.35661e-14
             0.838634                2.24967e-11         5.31288e-14
             0.838866                2.21279e-11         5.10273e-14
             0.839099                2.19755e-11         4.99179e-14
             0.839332                2.23575e-11         5.04837e-14
             0.839564                2.24816e-11         5.14832e-14
             0.839797                2.24899e-11         5.21782e-14
             0.840029                2.24156e-11         5.32202e-14
             0.840262                2.24515e-11         5.17678e-14
             0.840494                2.23953e-11         5.08667e-14
             0.840727                2.24084e-11         5.01290e-14
             0.840959                2.24347e-11         5.15786e-14
             0.841192                2.24086e-11         5.15252e-14
             0.841424                2.22031e-11         5.20376e-14
             0.841657                2.22611e-11         5.21411e-14
             0.841889                2.22560e-11         5.09190e-14
             0.842122                2.21740e-11         5.02479e-14
             0.842354                2.21656e-11         4.95664e-14
             0.842587                2.20657e-11         4.96046e-14
             0.842819                2.20571e-11         5.07153e-14
             0.843052                2.22489e-11         5.21224e-14
             0.843284                2.22951e-11         5.15470e-14
             0.843516                2.21223e-11         5.00747e-14
             0.843749                2.17770e-11         4.90398e-14
             0.843981                2.18072e-11         4.92242e-14
             0.844214                2.18566e-11         4.98794e-14
             0.844446                2.21035e-11         5.16728e-14
             0.844679                2.19970e-11         5.22538e-14
             0.844911                2.17975e-11         5.05875e-14
             0.845143                2.21809e-11         5.05269e-14
             0.845376                2.23484e-11         5.00524e-14
             0.845608                2.22650e-11         4.98076e-14
             0.845840                2.22042e-11         5.01848e-14
             0.846073                2.21151e-11         5.10609e-14
             0.846305                2.20108e-11         5.08874e-14
             0.846538                2.18252e-11         4.99055e-14
             0.846770                2.16124e-11         4.87604e-14
             0.847002                2.11890e-11         4.76911e-14
             0.847234                2.12967e-11         4.77624e-14
             0.847467                2.15765e-11         4.91052e-14
             0.847699                2.17898e-11         5.01382e-14
             0.847931                2.18297e-11         4.97707e-14
             0.848164                2.18608e-11         4.89508e-14
             0.848396                2.16420e-11         4.79752e-14
             0.848628                2.17830e-11         4.82513e-14
             0.848861                2.17821e-11         4.84668e-14
             0.849093                2.17725e-11         4.90348e-14
             0.849325                2.16740e-11         4.98931e-14
             0.849557                2.14748e-11         4.87620e-14
             0.849790                1.98579e-11         4.51247e-14
             0.850022                1.72799e-11         3.99910e-14
             0.850254                1.85884e-11         4.26825e-14
             0.850486                2.03394e-11         4.65523e-14
             0.850719                2.09689e-11         4.82432e-14
             0.850951                2.12119e-11         4.85056e-14
             0.851183                2.13192e-11         4.78173e-14
             0.851415                2.11892e-11         4.68655e-14
             0.851648                2.07153e-11         4.57403e-14
             0.851880                2.09929e-11         4.61858e-14
             0.852112                2.13427e-11         4.73715e-14
             0.852344                2.14699e-11         4.83003e-14
             0.852576                2.13862e-11         4.76493e-14
             0.852808                2.11448e-11         4.66791e-14
             0.853041                2.10794e-11         4.60630e-14
             0.853273                2.12741e-11         4.64364e-14
             0.853505                2.10355e-11         4.65722e-14
             0.853737                2.05619e-11         4.64908e-14
             0.853969                1.94032e-11         4.51210e-14
             0.854201                1.65756e-11         3.89233e-14
             0.854434                1.32709e-11         3.22631e-14
             0.854666                1.51751e-11         3.58829e-14
             0.854898                1.84736e-11         4.21716e-14
             0.855130                1.98911e-11         4.50232e-14
             0.855362                2.05528e-11         4.68855e-14
             0.855594                2.08840e-11         4.71363e-14
             0.855826                2.06042e-11         4.59377e-14
             0.856058                2.07152e-11         4.53436e-14
             0.856290                2.09824e-11         4.55822e-14
