# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:28 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7613 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 21018'           /                                                
# SPTYPE  = 'G1 III: CH-1:'      / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805651 / Minimum wavelength (um)                        
# MAXWAVE =              5.00332 / Maximum wavelength (um)                        
# V       =        6.38300000000 / V magnitude                                    
# VERR    =      0.0180000000000 / V magnitude error                              
# (B-V)   =       0.862000000000 / B-V color                                      
# (B-V)ERR=     0.00400000000000 / B-V color error                                
# J       =        4.86400000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        4.56800000000 / 2MASS H magnitude                              
# HERR    =        8.88800000000 / 2MASS H magnitude error                        
# KS      =        4.35700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AFA     '           / 2MASS quality flag                             
# FCBANDS = 'JKs     '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0147995000000 / Relative error in the absolute flux calibration
# RV      =       -6.47495000000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.690000000000 / Intrinsic Color                                
# E(B-V)  =       0.172000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805651                1.00108e-10         1.42866e-13
             0.805854                1.00749e-10         1.42953e-13
             0.806056                1.01379e-10         1.44670e-13
             0.806259                1.01214e-10         1.44443e-13
             0.806461                1.01665e-10         1.44991e-13
             0.806664                1.01383e-10         1.50185e-13
             0.806866                1.00337e-10         1.45091e-13
             0.807069                9.94525e-11         1.43319e-13
             0.807271                9.82699e-11         1.42565e-13
             0.807473                9.79134e-11         1.41364e-13
             0.807676                9.83426e-11         1.42875e-13
             0.807878                9.96062e-11         1.44145e-13
             0.808081                9.95706e-11         1.43551e-13
             0.808283                9.85210e-11         1.43996e-13
             0.808486                9.79490e-11         1.43065e-13
             0.808688                9.75822e-11         1.41390e-13
             0.808890                9.86856e-11         1.45502e-13
             0.809093                9.95480e-11         1.44395e-13
             0.809137                9.89887e-11         1.24291e-13
             0.809370                9.64677e-11         1.28706e-13
             0.809604                9.61525e-11         1.32999e-13
             0.809837                9.68684e-11         1.26025e-13
             0.810071                9.71930e-11         1.21310e-13
             0.810304                9.90260e-11         1.19687e-13
             0.810538                9.93413e-11         1.22510e-13
             0.810771                9.89077e-11         1.26876e-13
             0.811005                9.84738e-11         1.32904e-13
             0.811238                9.89345e-11         1.30736e-13
             0.811471                9.86594e-11         1.23351e-13
             0.811705                9.85959e-11         1.19562e-13
             0.811938                9.85951e-11         1.18816e-13
             0.812172                9.87844e-11         1.22330e-13
             0.812405                9.92470e-11         1.28373e-13
             0.812638                9.87894e-11         1.32907e-13
             0.812872                9.87805e-11         1.26197e-13
             0.813105                9.84382e-11         1.20886e-13
             0.813339                9.81867e-11         1.17860e-13
             0.813572                9.86041e-11         1.20183e-13
             0.813805                9.86894e-11         1.24508e-13
             0.814039                9.84500e-11         1.29714e-13
             0.814272                9.79755e-11         1.28296e-13
             0.814505                9.77703e-11         1.22878e-13
             0.814739                9.79547e-11         1.18408e-13
             0.814972                9.73203e-11         1.17167e-13
             0.815205                9.73309e-11         1.20392e-13
             0.815439                9.77754e-11         1.26088e-13
             0.815672                9.81112e-11         1.33199e-13
             0.815905                9.86492e-11         1.27331e-13
             0.816139                9.82399e-11         1.21670e-13
             0.816372                9.71546e-11         1.18244e-13
             0.816605                9.75007e-11         1.19691e-13
             0.816838                9.77027e-11         1.22858e-13
             0.817071                9.74857e-11         1.28604e-13
             0.817305                9.73663e-11         1.27394e-13
             0.817538                9.73307e-11         1.21275e-13
             0.817771                9.74035e-11         1.18117e-13
             0.818004                9.74128e-11         1.18666e-13
             0.818238                9.52662e-11         1.18476e-13
             0.818471                9.21785e-11         1.19839e-13
             0.818704                9.27656e-11         1.25049e-13
             0.818937                9.52430e-11         1.22201e-13
             0.819170                9.69507e-11         1.19779e-13
             0.819404                9.51622e-11         1.14641e-13
             0.819637                9.05375e-11         1.11494e-13
             0.819870                9.11749e-11         1.17032e-13
             0.820103                9.39773e-11         1.22562e-13
             0.820336                9.46533e-11         1.22996e-13
             0.820569                9.60305e-11         1.18657e-13
             0.820802                9.58359e-11         1.16807e-13
             0.821036                9.51584e-11         1.12996e-13
             0.821269                9.47665e-11         1.14652e-13
             0.821502                9.36988e-11         1.20470e-13
             0.821735                9.43142e-11         1.23204e-13
             0.821968                9.45932e-11         1.19723e-13
             0.822201                9.34623e-11         1.14287e-13
             0.822434                9.45450e-11         1.12998e-13
             0.822667                9.70617e-11         1.15178e-13
             0.822900                9.75587e-11         1.19457e-13
             0.823133                9.65004e-11         1.24121e-13
             0.823366                9.50063e-11         1.23268e-13
             0.823599                9.54866e-11         1.17755e-13
             0.823832                9.58927e-11         1.13819e-13
             0.824066                9.59026e-11         1.12688e-13
             0.824299                9.58125e-11         1.16654e-13
             0.824531                9.65066e-11         1.17925e-13
             0.824764                9.60330e-11         1.21878e-13
             0.824997                9.38743e-11         1.16380e-13
             0.825230                9.44362e-11         1.12662e-13
             0.825463                9.59150e-11         1.12159e-13
             0.825696                9.56381e-11         1.14076e-13
             0.825929                9.57270e-11         1.17048e-13
             0.826162                9.67689e-11         1.25873e-13
             0.826395                9.68955e-11         1.20903e-13
             0.826628                9.59196e-11         1.15541e-13
             0.826861                9.57727e-11         1.12073e-13
             0.827094                9.61731e-11         1.10736e-13
             0.827327                9.61722e-11         1.12180e-13
             0.827560                9.51037e-11         1.15130e-13
             0.827793                9.49159e-11         1.18635e-13
             0.828026                9.60426e-11         1.18024e-13
             0.828259                9.65183e-11         1.21055e-13
             0.828492                9.61261e-11         1.11574e-13
             0.828724                9.56738e-11         1.11099e-13
             0.828957                9.49944e-11         1.12690e-13
             0.829190                9.49354e-11         1.16579e-13
             0.829423                9.40804e-11         1.18410e-13
             0.829656                9.39217e-11         1.14172e-13
             0.829889                9.45471e-11         1.11205e-13
             0.830122                9.47466e-11         1.13281e-13
             0.830354                9.51954e-11         1.10534e-13
             0.830587                9.42286e-11         1.12726e-13
             0.830820                9.35545e-11         1.15721e-13
             0.831053                9.28411e-11         1.13859e-13
             0.831286                9.28894e-11         1.10436e-13
             0.831518                9.42519e-11         1.10176e-13
             0.831751                9.49731e-11         1.08908e-13
             0.831984                9.51457e-11         1.10657e-13
             0.832217                9.44872e-11         1.13044e-13
             0.832450                9.38501e-11         1.16070e-13
             0.832682                9.20517e-11         1.15184e-13
             0.832915                9.05139e-11         1.09876e-13
             0.833148                9.09231e-11         1.05578e-13
             0.833381                9.01585e-11         1.05084e-13
             0.833613                8.98664e-11         1.06745e-13
             0.833846                9.05524e-11         1.09965e-13
             0.834079                9.07540e-11         1.11746e-13
             0.834312                9.17755e-11         1.09735e-13
             0.834544                9.21526e-11         1.07065e-13
             0.834777                9.12908e-11         1.04871e-13
             0.835010                9.18699e-11         1.05416e-13
             0.835242                9.39788e-11         1.09865e-13
             0.835475                9.46802e-11         1.13449e-13
             0.835708                9.38628e-11         1.11855e-13
             0.835940                9.30315e-11         1.07406e-13
             0.836173                9.24868e-11         1.05359e-13
             0.836406                9.25136e-11         1.05329e-13
             0.836638                9.16767e-11         1.06056e-13
             0.836871                9.24130e-11         1.08677e-13
             0.837104                9.36698e-11         1.12556e-13
             0.837336                9.35590e-11         1.09272e-13
             0.837569                9.31782e-11         1.06229e-13
             0.837802                9.26566e-11         1.06085e-13
             0.838034                9.29002e-11         1.06074e-13
             0.838267                9.26252e-11         1.06658e-13
             0.838499                9.16839e-11         1.08468e-13
             0.838732                9.07393e-11         1.07406e-13
             0.838964                8.97100e-11         1.04377e-13
             0.839197                9.07649e-11         1.03051e-13
             0.839430                9.29485e-11         1.04584e-13
             0.839662                9.26789e-11         1.04636e-13
             0.839895                9.25931e-11         1.06445e-13
             0.840127                9.26174e-11         1.08582e-13
             0.840360                9.23623e-11         1.06719e-13
             0.840592                9.26958e-11         1.04644e-13
             0.840825                9.32447e-11         1.04319e-13
             0.841057                9.32275e-11         1.05106e-13
             0.841290                9.17720e-11         1.04293e-13
             0.841522                9.08543e-11         1.05295e-13
             0.841755                9.13564e-11         1.06912e-13
             0.841987                9.14689e-11         1.05416e-13
             0.842220                9.13427e-11         1.02582e-13
             0.842452                9.06854e-11         1.00999e-13
             0.842685                8.96298e-11         1.00779e-13
             0.842917                9.03325e-11         1.02872e-13
             0.843150                9.25774e-11         1.06603e-13
             0.843382                9.23569e-11         1.05856e-13
             0.843615                8.89485e-11         1.01310e-13
             0.843847                8.75202e-11         9.91999e-14
             0.844080                8.86937e-11         9.99995e-14
             0.844312                9.06667e-11         1.03265e-13
             0.844544                9.14274e-11         1.06337e-13
             0.844777                8.95491e-11         1.05843e-13
             0.845009                9.03150e-11         1.04442e-13
             0.845242                9.22073e-11         1.03267e-13
             0.845474                9.24698e-11         1.02090e-13
             0.845706                9.21507e-11         1.01341e-13
             0.845939                9.19982e-11         1.02832e-13
             0.846171                9.23221e-11         1.04772e-13
             0.846404                9.21460e-11         1.06098e-13
             0.846636                9.01679e-11         1.03148e-13
             0.846868                8.72433e-11         9.85054e-14
             0.847101                8.60534e-11         9.64518e-14
             0.847333                8.85631e-11         9.89159e-14
             0.847565                9.07903e-11         1.01474e-13
             0.847798                9.15210e-11         1.03976e-13
             0.848030                9.08865e-11         1.02617e-13
             0.848262                8.95506e-11         9.94603e-14
             0.848495                8.95313e-11         9.83250e-14
             0.848727                9.02981e-11         9.81802e-14
             0.848959                9.03738e-11         9.89456e-14
