# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:30 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4121 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 45977'           /                                                
# SPTYPE  = 'K4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.813201 / Minimum wavelength (um)                        
# MAXWAVE =              2.41745 / Maximum wavelength (um)                        
# V       =        9.14000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.12000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.07900000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        6.60100000000 / 2MASS H magnitude                              
# HERR    =      0.0340000000000 / 2MASS H magnitude error                        
# KS      =        6.40600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0132598000000 / Relative error in the absolute flux calibration
# RV      =        11.6572260000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.00000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813201                9.31038e-12         2.69453e-14
             0.813403                9.25019e-12         2.72460e-14
             0.813605                9.28316e-12         2.73230e-14
             0.813807                9.35939e-12         2.76900e-14
             0.814010                9.37123e-12         2.74259e-14
             0.814212                9.35669e-12         2.75747e-14
             0.814414                9.30585e-12         2.75948e-14
             0.814616                9.27019e-12         2.74065e-14
             0.814818                9.27182e-12         2.74948e-14
             0.815020                9.28273e-12         2.79744e-14
             0.815222                9.26277e-12         2.76210e-14
             0.815425                9.36038e-12         2.82562e-14
             0.815627                9.25230e-12         2.81392e-14
             0.815829                9.36888e-12         2.83199e-14
             0.815967                9.41932e-12         2.30515e-14
             0.816200                9.23140e-12         2.22938e-14
             0.816433                9.08285e-12         2.22039e-14
             0.816666                9.25822e-12         2.25565e-14
             0.816900                9.31414e-12         2.28903e-14
             0.817133                9.22630e-12         2.39797e-14
             0.817366                9.28024e-12         2.31775e-14
             0.817599                9.29531e-12         2.20528e-14
             0.817833                9.26062e-12         2.20655e-14
             0.818066                9.20549e-12         2.21517e-14
             0.818299                8.83477e-12         2.19034e-14
             0.818532                8.10524e-12         2.12584e-14
             0.818765                8.35030e-12         2.24534e-14
             0.818999                8.94741e-12         2.24703e-14
             0.819232                9.18269e-12         2.17845e-14
             0.819465                8.72324e-12         2.10088e-14
             0.819698                7.61910e-12         1.93373e-14
             0.819931                8.06271e-12         2.07518e-14
             0.820164                8.88890e-12         2.28552e-14
             0.820397                9.13178e-12         2.24829e-14
             0.820630                9.15828e-12         2.12989e-14
             0.820864                9.02801e-12         2.05480e-14
             0.821097                9.01638e-12         2.05368e-14
             0.821330                9.00025e-12         2.16106e-14
             0.821563                8.81836e-12         2.15679e-14
             0.821796                8.99683e-12         2.25571e-14
             0.822029                8.93876e-12         2.15293e-14
             0.822262                8.50435e-12         2.02481e-14
             0.822495                8.84203e-12         2.05034e-14
             0.822728                9.30636e-12         2.17005e-14
             0.822961                9.30928e-12         2.33269e-14
             0.823194                9.21185e-12         2.42334e-14
             0.823427                9.02900e-12         2.25772e-14
             0.823660                9.09365e-12         2.14489e-14
             0.823893                9.17971e-12         2.07790e-14
             0.824126                9.15823e-12         2.05548e-14
             0.824359                9.17303e-12         2.11078e-14
             0.824592                9.26666e-12         2.21038e-14
             0.824825                9.16495e-12         2.21460e-14
             0.825058                9.10222e-12         2.12563e-14
             0.825291                9.18279e-12         2.06981e-14
             0.825524                9.19694e-12         2.06119e-14
