# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:56 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7586 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 145675'          /                                                
# SPTYPE  = 'K0 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809069 / Minimum wavelength (um)                        
# MAXWAVE =              4.98853 / Maximum wavelength (um)                        
# V       =        6.65200000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.877000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        5.15800000000 / 2MASS J magnitude                              
# JERR    =      0.0290000000000 / 2MASS J magnitude error                        
# H       =        4.80300000000 / 2MASS H magnitude                              
# HERR    =      0.0160000000000 / 2MASS H magnitude error                        
# KS      =        4.71400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0105400000000 / Relative error in the absolute flux calibration
# RV      =       -21.7543330000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.810000000000 / Intrinsic Color                                
# E(B-V)  =      0.0670000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809069                6.21115e-11         1.19422e-13
             0.809272                6.08623e-11         1.17486e-13
             0.809474                5.88233e-11         1.14499e-13
             0.809677                5.92554e-11         1.15833e-13
             0.809879                5.92986e-11         1.15384e-13
             0.810082                5.83639e-11         1.14270e-13
             0.810284                5.97523e-11         1.16788e-13
             0.810487                6.13192e-11         1.18249e-13
             0.810689                6.11907e-11         1.19109e-13
             0.810892                6.10386e-11         1.18808e-13
             0.811094                6.13470e-11         1.19578e-13
             0.811297                6.18562e-11         1.20060e-13
             0.811499                6.17672e-11         1.20523e-13
             0.811702                6.12383e-11         1.19563e-13
             0.811904                6.10000e-11         1.19833e-13
             0.812107                6.12386e-11         1.19800e-13
             0.812194                6.16520e-11         1.06240e-13
             0.812426                6.23210e-11         1.07569e-13
             0.812659                6.19067e-11         1.01438e-13
             0.812892                6.14101e-11         9.74592e-14
             0.813124                6.16137e-11         9.71676e-14
             0.813357                6.17853e-11         9.89107e-14
             0.813590                6.19384e-11         1.03260e-13
             0.813823                6.20107e-11         1.08636e-13
             0.814055                6.18375e-11         1.05097e-13
             0.814288                6.14121e-11         9.97458e-14
             0.814521                6.12487e-11         9.69884e-14
             0.814753                6.15707e-11         9.73799e-14
             0.814986                6.11770e-11         9.95308e-14
             0.815219                6.09554e-11         1.03156e-13
             0.815451                6.13235e-11         1.07706e-13
             0.815684                6.14696e-11         1.02762e-13
             0.815917                6.19097e-11         9.92774e-14
             0.816149                6.21137e-11         9.74644e-14
             0.816382                6.07603e-11         9.69855e-14
             0.816615                6.09246e-11         1.00510e-13
             0.816847                6.16165e-11         1.05510e-13
             0.817080                6.11846e-11         1.05344e-13
             0.817313                6.12428e-11         1.00828e-13
             0.817545                6.11655e-11         9.69768e-14
             0.817778                6.13324e-11         9.60571e-14
             0.818011                6.13038e-11         9.80140e-14
             0.818243                6.00427e-11         1.00179e-13
             0.818476                5.69832e-11         9.99802e-14
             0.818708                5.69071e-11         9.76133e-14
             0.818941                5.89170e-11         9.62372e-14
             0.819174                6.07427e-11         9.61796e-14
             0.819406                6.00591e-11         9.50194e-14
             0.819639                5.52105e-11         9.12480e-14
             0.819871                5.53620e-11         9.34983e-14
             0.820104                5.85271e-11         1.01960e-13
             0.820337                5.99316e-11         1.00955e-13
             0.820569                6.05698e-11         9.62072e-14
             0.820802                6.07714e-11         9.62377e-14
             0.821034                5.99449e-11         9.34555e-14
             0.821267                5.94003e-11         9.49406e-14
             0.821500                5.78532e-11         9.70617e-14
             0.821732                5.80348e-11         9.83404e-14
             0.821965                5.95818e-11         9.67360e-14
             0.822197                5.76306e-11         9.13479e-14
