# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:12 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6826 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 91810'           /                                                
# SPTYPE  = 'K1- IIIb CN1.5 Ca1' / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 25'        / UT date of SXD observations                    
# LXDUT   = '2003 May 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810217 / Minimum wavelength (um)                        
# MAXWAVE =              4.10887 / Maximum wavelength (um)                        
# V       =        6.55000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.17000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.99800000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =        4.29700000000 / 2MASS H magnitude                              
# HERR    =      0.0150000000000 / 2MASS H magnitude error                        
# KS      =        4.18200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.344000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DED     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0149643000000 / Relative error in the absolute flux calibration
# RV      =        26.3697180000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.09000000000 / Intrinsic Color                                
# E(B-V)  =      0.0799999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810217                5.89980e-11         1.09581e-13
             0.810419                5.92747e-11         1.09084e-13
             0.810622                5.77573e-11         1.07795e-13
             0.810824                5.74956e-11         1.07494e-13
             0.811026                5.78281e-11         1.08264e-13
             0.811229                5.84288e-11         1.09038e-13
             0.811431                5.89091e-11         1.09877e-13
             0.811633                5.75608e-11         1.08012e-13
             0.811835                5.60925e-11         1.06456e-13
             0.812038                5.69899e-11         1.07343e-13
             0.812240                5.88375e-11         1.11391e-13
             0.812442                6.02906e-11         1.13712e-13
             0.812645                5.96208e-11         1.18436e-13
             0.812847                5.79580e-11         1.15386e-13
             0.813049                5.86186e-11         1.11398e-13
             0.813251                5.84370e-11         1.11673e-13
             0.813454                5.85738e-11         1.12921e-13
             0.813459                5.85690e-11         9.01838e-14
             0.813693                5.96584e-11         9.31434e-14
             0.813926                5.93101e-11         9.65628e-14
             0.814160                5.87226e-11         1.01104e-13
             0.814393                5.82677e-11         9.59301e-14
             0.814627                5.86774e-11         9.22652e-14
             0.814860                5.89400e-11         9.08285e-14
             0.815094                5.82125e-11         9.06601e-14
             0.815327                5.86380e-11         9.35863e-14
             0.815561                5.89797e-11         9.91207e-14
             0.815794                5.99782e-11         1.00396e-13
             0.816027                6.05818e-11         9.62534e-14
             0.816261                5.75807e-11         9.08897e-14
             0.816494                5.72369e-11         9.07286e-14
             0.816728                5.92429e-11         9.31072e-14
             0.816961                5.96699e-11         9.69540e-14
             0.817195                6.00957e-11         1.02335e-13
             0.817428                5.96727e-11         9.76307e-14
             0.817661                5.89501e-11         9.20757e-14
             0.817895                5.96135e-11         9.25314e-14
             0.818128                5.90692e-11         9.15451e-14
             0.818361                5.79060e-11         9.24082e-14
             0.818595                5.71979e-11         9.50057e-14
             0.818828                5.71662e-11         9.60584e-14
             0.819061                5.89817e-11         9.41853e-14
             0.819295                6.06410e-11         9.25035e-14
             0.819528                5.73674e-11         8.91389e-14
             0.819761                5.60087e-11         8.77271e-14
             0.819995                5.80874e-11         9.38902e-14
             0.820228                5.85045e-11         9.81752e-14
             0.820461                5.80607e-11         9.23596e-14
             0.820694                5.77761e-11         8.93864e-14
             0.820928                5.75466e-11         8.61856e-14
             0.821161                5.89917e-11         8.82260e-14
             0.821394                5.89296e-11         9.14418e-14
             0.821627                5.85720e-11         9.42132e-14
             0.821861                6.03076e-11         9.71446e-14
             0.822094                5.89950e-11         9.09747e-14
             0.822327                5.77103e-11         8.76370e-14
             0.822560                6.01223e-11         9.02668e-14
             0.822793                6.13031e-11         9.48398e-14
             0.823027                6.10227e-11         9.94670e-14
             0.823260                6.02275e-11         1.00794e-13
             0.823493                6.00197e-11         9.50472e-14
             0.823726                5.99772e-11         9.08278e-14
             0.823959                5.98566e-11         8.81207e-14
             0.824192                6.07854e-11         8.97630e-14
             0.824426                6.01761e-11         9.19657e-14
             0.824659                6.06342e-11         9.67536e-14
             0.824892                6.02843e-11         9.40981e-14
             0.825125                6.02211e-11         9.08887e-14
             0.825358                6.01828e-11         8.87088e-14
             0.825591                5.94420e-11         8.77573e-14
             0.825824                5.87523e-11         8.86456e-14
             0.826057                6.02449e-11         9.58491e-14
             0.826290                6.20144e-11         9.73784e-14
             0.826523                6.13604e-11         9.32269e-14
             0.826756                5.99251e-11         8.86055e-14
             0.826989                6.00664e-11         8.77032e-14
             0.827223                6.07564e-11         9.00389e-14
             0.827456                5.94950e-11         9.07125e-14
             0.827689                5.82959e-11         9.20198e-14
             0.827922                5.98013e-11         9.43472e-14
             0.828155                6.13705e-11         9.27239e-14
             0.828388                6.05774e-11         8.94445e-14
             0.828621                5.99309e-11         8.91326e-14
             0.828854                5.97957e-11         8.90902e-14
             0.829087                5.88990e-11         9.70537e-14
             0.829320                5.97042e-11         9.33328e-14
             0.829553                5.92846e-11         9.11099e-14
             0.829785                5.78239e-11         8.71957e-14
             0.830018                5.70959e-11         8.40439e-14
             0.830251                5.85558e-11         8.73555e-14
             0.830484                5.87102e-11         8.76999e-14
             0.830717                5.67810e-11         8.81448e-14
             0.830950                5.64341e-11         8.79259e-14
             0.831183                5.61125e-11         8.48799e-14
             0.831416                5.68637e-11         8.39031e-14
             0.831649                5.85771e-11         8.49259e-14
             0.831882                5.97506e-11         8.68415e-14
             0.832115                5.89013e-11         8.90792e-14
             0.832347                5.74325e-11         8.91332e-14
             0.832580                5.77899e-11         9.01962e-14
             0.832813                5.65235e-11         8.35464e-14
             0.833046                5.68442e-11         8.27574e-14
             0.833279                5.61137e-11         8.19137e-14
             0.833512                5.45729e-11         8.09504e-14
             0.833744                5.63433e-11         8.49009e-14
             0.833977                5.64291e-11         8.74207e-14
             0.834210                5.76388e-11         8.58683e-14
             0.834443                5.80512e-11         8.41687e-14
             0.834676                5.64996e-11         8.11956e-14
             0.834908                5.61941e-11         8.29334e-14
             0.835141                5.71862e-11         8.41852e-14
             0.835374                5.88471e-11         8.80361e-14
             0.835607                5.85965e-11         8.73543e-14
             0.835839                5.79720e-11         8.46231e-14
             0.836072                5.83580e-11         8.35653e-14
             0.836305                5.86723e-11         8.33687e-14
             0.836538                5.68399e-11         8.20085e-14
             0.836770                5.71223e-11         8.37564e-14
             0.837003                5.92967e-11         8.80288e-14
             0.837236                5.88106e-11         8.60694e-14
             0.837469                5.86466e-11         8.53187e-14
             0.837701                5.93364e-11         8.64233e-14
             0.837934                5.80695e-11         8.29893e-14
             0.838167                5.88262e-11         8.49545e-14
             0.838399                5.63944e-11         8.33095e-14
             0.838632                5.53391e-11         8.29753e-14
             0.838865                5.52952e-11         8.06841e-14
             0.839097                5.49376e-11         7.86600e-14
             0.839330                5.81955e-11         8.30085e-14
             0.839562                6.03700e-11         8.46549e-14
             0.839795                5.91289e-11         8.44886e-14
             0.840028                5.87550e-11         8.59829e-14
             0.840260                5.88333e-11         8.83216e-14
             0.840493                5.90763e-11         8.35662e-14
             0.840725                5.96751e-11         8.40164e-14
             0.840958                5.99744e-11         8.33831e-14
             0.841191                5.92764e-11         8.33096e-14
             0.841423                5.77289e-11         8.41398e-14
             0.841656                5.85266e-11         8.59483e-14
             0.841888                5.92934e-11         8.60263e-14
             0.842121                5.82375e-11         8.16791e-14
             0.842353                5.79527e-11         8.05437e-14
             0.842586                5.71213e-11         7.99976e-14
             0.842818                5.53811e-11         7.89682e-14
             0.843051                5.81838e-11         8.34847e-14
             0.843284                6.11337e-11         8.97945e-14
             0.843516                5.80784e-11         8.33534e-14
             0.843749                5.51039e-11         7.83274e-14
             0.843981                5.56011e-11         7.87664e-14
             0.844214                5.64925e-11         7.98083e-14
             0.844446                5.79701e-11         8.23567e-14
             0.844678                6.01058e-11         8.82156e-14
             0.844911                5.92076e-11         8.55757e-14
             0.845143                5.80862e-11         8.15106e-14
             0.845376                6.00734e-11         8.20434e-14
             0.845608                6.07641e-11         8.32788e-14
             0.845841                5.87604e-11         8.13874e-14
             0.846073                5.87719e-11         8.28695e-14
             0.846306                6.04195e-11         8.60669e-14
