# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:10 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6830 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 36134'           /                                                
# SPTYPE  = 'K1- III Fe-0.5'     / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 14'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810894 / Minimum wavelength (um)                        
# MAXWAVE =              4.18209 / Maximum wavelength (um)                        
# V       =        5.77800000000 / V magnitude                                    
# VERR    =      0.0220000000000 / V magnitude error                              
# (B-V)   =        1.15600000000 / B-V color                                      
# (B-V)ERR=      0.0280000000000 / B-V color error                                
# J       =        3.90300000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =        3.20700000000 / 2MASS H magnitude                              
# HERR    =       0.266000000000 / 2MASS H magnitude error                        
# KS      =        3.12400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.276000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.158083000000 / Relative error in the absolute flux calibration
# RV      =        14.0381280000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.09000000000 / Intrinsic Color                                
# E(B-V)  =      0.0660000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810894                1.65382e-10         3.32742e-13
             0.811096                1.66564e-10         3.36698e-13
             0.811298                1.67182e-10         3.37211e-13
             0.811501                1.67726e-10         3.38398e-13
             0.811703                1.64331e-10         3.31960e-13
             0.811905                1.63480e-10         3.34471e-13
             0.812108                1.65108e-10         3.34725e-13
             0.812310                1.67952e-10         3.43757e-13
             0.812512                1.70338e-10         3.47650e-13
             0.812715                1.70029e-10         3.47223e-13
             0.812917                1.66823e-10         3.41358e-13
             0.813119                1.68621e-10         3.46379e-13
             0.813322                1.67457e-10         3.44114e-13
             0.813524                1.67535e-10         3.47205e-13
             0.813726                1.68968e-10         3.47493e-13
             0.813776                1.68646e-10         2.87571e-13
             0.814009                1.68800e-10         3.20926e-13
             0.814243                1.67753e-10         3.05168e-13
             0.814476                1.66389e-10         2.87127e-13
             0.814710                1.67018e-10         2.78540e-13
             0.814943                1.67006e-10         2.76168e-13
             0.815177                1.65409e-10         2.77419e-13
             0.815410                1.67490e-10         2.91557e-13
             0.815643                1.68072e-10         3.08132e-13
             0.815877                1.69169e-10         2.98105e-13
             0.816110                1.70033e-10         2.86390e-13
             0.816344                1.65058e-10         2.75121e-13
             0.816577                1.64515e-10         2.75011e-13
             0.816810                1.68846e-10         2.87140e-13
             0.817044                1.68126e-10         2.97845e-13
             0.817277                1.67575e-10         3.00367e-13
             0.817510                1.68025e-10         2.85964e-13
             0.817744                1.67379e-10         2.77513e-13
             0.817977                1.67787e-10         2.76522e-13
             0.818210                1.66766e-10         2.77648e-13
             0.818444                1.62943e-10         2.82816e-13
             0.818677                1.61040e-10         2.91216e-13
             0.818910                1.62235e-10         2.85027e-13
             0.819144                1.66141e-10         2.79409e-13
             0.819377                1.69921e-10         2.81406e-13
             0.819610                1.62388e-10         2.79537e-13
             0.819843                1.58601e-10         2.69541e-13
             0.820077                1.62818e-10         2.86204e-13
             0.820310                1.64651e-10         2.93097e-13
             0.820543                1.64534e-10         2.82932e-13
             0.820776                1.63200e-10         2.69006e-13
             0.821010                1.63449e-10         2.64274e-13
             0.821243                1.65340e-10         2.70403e-13
             0.821476                1.64400e-10         2.78787e-13
             0.821709                1.63491e-10         2.87530e-13
             0.821942                1.66825e-10         2.85835e-13
             0.822176                1.64111e-10         2.70542e-13
             0.822409                1.61306e-10         2.62043e-13
             0.822642                1.67700e-10         2.71604e-13
             0.822875                1.70534e-10         2.84978e-13
             0.823108                1.69167e-10         2.94735e-13
             0.823341                1.66760e-10         2.92039e-13
             0.823574                1.66345e-10         2.78925e-13
             0.823808                1.67582e-10         2.72305e-13
             0.824041                1.65880e-10         2.64745e-13
