# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:25 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7593 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 124897'          /                                                
# SPTYPE  = 'K1.5 III Fe-0.5'    / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810976 / Minimum wavelength (um)                        
# MAXWAVE =              5.01450 / Maximum wavelength (um)                        
# V       =     -0.0500000000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =        1.23100000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =       -2.25200000000 / 2MASS J magnitude                              
# JERR    =       0.157000000000 / 2MASS J magnitude error                        
# H       =       -2.81000000000 / 2MASS H magnitude                              
# HERR    =        9.99600000000 / 2MASS H magnitude error                        
# KS      =       -2.91100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CFC     '           / 2MASS quality flag                             
# FCBANDS = 'JKs     '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.115338000000 / Relative error in the absolute flux calibration
# RV      =        15.6699420000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.12000000000 / Intrinsic Color                                
# E(B-V)  =       0.111000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810976                4.00786e-08         7.05210e-11
             0.811178                3.97364e-08         6.94083e-11
             0.811380                3.98410e-08         7.01068e-11
             0.811583                3.94544e-08         6.92904e-11
             0.811785                3.85132e-08         6.80195e-11
             0.811987                3.86852e-08         6.78922e-11
             0.812190                3.99808e-08         7.13499e-11
             0.812392                4.04815e-08         7.17832e-11
             0.812594                4.05191e-08         7.21588e-11
             0.812797                3.98942e-08         7.07026e-11
             0.812999                3.96705e-08         7.06290e-11
             0.813202                3.97501e-08         7.10599e-11
             0.813404                3.98101e-08         7.20735e-11
             0.813606                4.00983e-08         7.21986e-11
             0.813809                4.01894e-08         7.29403e-11
             0.813900                3.98776e-08         6.34158e-11
             0.814134                3.98923e-08         6.18861e-11
             0.814367                3.96402e-08         5.86923e-11
             0.814600                3.93884e-08         5.66573e-11
             0.814833                3.96916e-08         5.70823e-11
             0.815066                3.94767e-08         5.83733e-11
             0.815299                3.96692e-08         6.06753e-11
             0.815532                3.99011e-08         6.38476e-11
             0.815765                4.00295e-08         6.11191e-11
             0.815998                4.02461e-08         5.85614e-11
             0.816231                3.92130e-08         5.69573e-11
             0.816464                3.88966e-08         5.73526e-11
             0.816697                4.00011e-08         6.04821e-11
             0.816930                4.00777e-08         6.24664e-11
             0.817163                4.01134e-08         6.30191e-11
             0.817396                4.00676e-08         5.90912e-11
             0.817629                3.97872e-08         5.69834e-11
             0.817862                4.00157e-08         5.83349e-11
             0.818095                3.97775e-08         5.87308e-11
             0.818328                3.89310e-08         5.92984e-11
             0.818561                3.83894e-08         6.05597e-11
             0.818794                3.88600e-08         5.95205e-11
             0.819027                3.96560e-08         5.89698e-11
             0.819260                4.03006e-08         5.76401e-11
             0.819493                3.91476e-08         5.74248e-11
             0.819726                3.76928e-08         5.54183e-11
             0.819959                3.85521e-08         5.95582e-11
             0.820192                3.88289e-08         6.05307e-11
             0.820425                3.91242e-08         5.79424e-11
             0.820657                3.87245e-08         5.55043e-11
             0.820890                3.85479e-08         5.40610e-11
             0.821123                3.89737e-08         5.54359e-11
             0.821356                3.91303e-08         5.80794e-11
             0.821589                3.88380e-08         5.95917e-11
             0.821822                3.97637e-08         6.04614e-11
             0.822055                3.95988e-08         5.75183e-11
             0.822288                3.86819e-08         5.48926e-11
             0.822521                3.98651e-08         5.69474e-11
             0.822753                4.07222e-08         6.02502e-11
             0.822986                4.02668e-08         6.25766e-11
             0.823219                3.99592e-08         6.30168e-11
             0.823452                3.97076e-08         5.93270e-11
             0.823685                3.98624e-08         5.74260e-11
             0.823918                3.96352e-08         5.57812e-11
             0.824150                3.93781e-08         5.55027e-11
             0.824383                3.97807e-08         5.82142e-11
             0.824616                4.01479e-08         6.15089e-11
             0.824849                3.97667e-08         5.91320e-11
             0.825081                3.97072e-08         5.76527e-11
             0.825314                3.98518e-08         5.61969e-11
             0.825547                3.94417e-08         5.54290e-11
             0.825780                3.91038e-08         5.61079e-11
             0.826013                3.96172e-08         6.02510e-11
             0.826245                4.03841e-08         6.12604e-11
             0.826478                4.03912e-08         5.91387e-11
             0.826711                3.99455e-08         5.66194e-11
             0.826944                3.97015e-08         5.54083e-11
             0.827176                4.00471e-08         5.71131e-11
             0.827409                3.98677e-08         5.76347e-11
             0.827642                3.93412e-08         5.91155e-11
             0.827874                3.94807e-08         5.93005e-11
             0.828107                4.01462e-08         5.82371e-11
             0.828340                4.00590e-08         5.69121e-11
             0.828573                3.99632e-08         5.66295e-11
             0.828805                3.98695e-08         5.65775e-11
             0.829038                3.94264e-08         5.75288e-11
             0.829271                3.95434e-08         5.92315e-11
             0.829503                3.91612e-08         5.78352e-11
             0.829736                3.90718e-08         5.59047e-11
             0.829969                3.92886e-08         5.49308e-11
             0.830201                3.94170e-08         5.58079e-11
             0.830434                3.94828e-08         5.59262e-11
             0.830666                3.87068e-08         5.69099e-11
             0.830899                3.81329e-08         5.66349e-11
             0.831132                3.80029e-08         5.85234e-11
             0.831364                3.81801e-08         5.36119e-11
             0.831597                3.92733e-08         5.45223e-11
             0.831830                3.98316e-08         5.55480e-11
             0.832062                3.98072e-08         5.69752e-11
             0.832295                3.92976e-08         5.78887e-11
             0.832527                3.91855e-08         5.79275e-11
             0.832760                3.79481e-08         5.33221e-11
             0.832992                3.74236e-08         5.20395e-11
             0.833225                3.82330e-08         5.28152e-11
             0.833458                3.76888e-08         5.27361e-11
             0.833690                3.81849e-08         5.47494e-11
             0.833923                3.85303e-08         5.68679e-11
             0.834155                3.84864e-08         5.53041e-11
             0.834388                3.89099e-08         5.44883e-11
             0.834620                3.84447e-08         5.27376e-11
