# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:08 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7659 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 63302'           /                                                
# SPTYPE  = 'K1 Ia-Iab'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806269 / Minimum wavelength (um)                        
# MAXWAVE =              5.05718 / Maximum wavelength (um)                        
# V       =        6.34700000000 / V magnitude                                    
# VERR    =      0.0330000000000 / V magnitude error                              
# (B-V)   =        1.75200000000 / B-V color                                      
# (B-V)ERR=      0.0290000000000 / B-V color error                                
# J       =        3.74600000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =        2.95800000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =        2.70200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.266000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.140968000000 / Relative error in the absolute flux calibration
# RV      =        25.9128590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.20000000000 / Intrinsic Color                                
# E(B-V)  =       0.552000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806269                3.42326e-10         7.09099e-13
             0.806472                3.41421e-10         7.04837e-13
             0.806674                3.48011e-10         7.16857e-13
             0.806877                3.32998e-10         6.96785e-13
             0.807079                3.12656e-10         6.68930e-13
             0.807282                3.06305e-10         6.55740e-13
             0.807485                3.00643e-10         6.52416e-13
             0.807687                3.01072e-10         6.54561e-13
             0.807890                3.22321e-10         6.82130e-13
             0.808092                3.31103e-10         6.98953e-13
             0.808295                3.16009e-10         6.78016e-13
             0.808497                3.12494e-10         6.93442e-13
             0.808700                3.25891e-10         6.98647e-13
             0.808902                3.33177e-10         7.00365e-13
             0.809105                3.15854e-10         6.81260e-13
             0.809307                2.85769e-10         6.37210e-13
             0.809510                2.87076e-10         6.40240e-13
             0.809712                3.04132e-10         6.64121e-13
             0.809913                3.08852e-10         5.65953e-13
             0.810146                3.09525e-10         5.73301e-13
             0.810379                3.07513e-10         6.00898e-13
             0.810611                2.94650e-10         6.13370e-13
             0.810844                2.94310e-10         6.06442e-13
             0.811077                3.03954e-10         6.08584e-13
             0.811310                3.12349e-10         5.74470e-13
             0.811543                3.04345e-10         5.59165e-13
             0.811776                2.91529e-10         5.54135e-13
             0.812009                2.99264e-10         5.92470e-13
             0.812242                3.05497e-10         6.30987e-13
             0.812475                3.14127e-10         6.10855e-13
             0.812707                3.08543e-10         5.75581e-13
             0.812940                3.08122e-10         5.61055e-13
             0.813173                3.08669e-10         5.61560e-13
             0.813406                3.07340e-10         5.80409e-13
             0.813639                3.13814e-10         6.18511e-13
             0.813872                3.13298e-10         6.27750e-13
             0.814104                3.11778e-10         5.94164e-13
             0.814337                3.02569e-10         5.62420e-13
             0.814570                3.04790e-10         5.54456e-13
             0.814803                3.12191e-10         5.69848e-13
             0.815036                3.06786e-10         5.84670e-13
             0.815269                3.08656e-10         6.16464e-13
             0.815501                3.11746e-10         6.32149e-13
             0.815734                3.20585e-10         5.99673e-13
             0.815967                3.33707e-10         5.94545e-13
             0.816200                3.13035e-10         5.69130e-13
             0.816432                3.00549e-10         5.68766e-13
             0.816665                3.09242e-10         6.21603e-13
             0.816898                3.12255e-10         6.32416e-13
             0.817131                3.17229e-10         6.08828e-13
             0.817364                3.20695e-10         5.86992e-13
             0.817596                3.10560e-10         5.60145e-13
             0.817829                3.12727e-10         5.70297e-13
             0.818062                3.18023e-10         5.94768e-13
             0.818295                3.05216e-10         6.00764e-13
             0.818527                2.94749e-10         5.90506e-13
             0.818760                2.94251e-10         5.66375e-13
             0.818993                3.07257e-10         5.67991e-13
             0.819225                3.39321e-10         5.92242e-13
             0.819458                3.23982e-10         5.81510e-13
