# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:16 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4123 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 165438'          /                                                
# SPTYPE  = 'K1 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2002 May 29'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.812404 / Minimum wavelength (um)                        
# MAXWAVE =              2.41704 / Maximum wavelength (um)                        
# V       =        5.76600000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.967000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        4.37600000000 / 2MASS J magnitude                              
# JERR    =       0.322000000000 / 2MASS J magnitude error                        
# H       =        3.78800000000 / 2MASS H magnitude                              
# HERR    =       0.254000000000 / 2MASS H magnitude error                        
# KS      =        3.74900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.228000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.150106000000 / Relative error in the absolute flux calibration
# RV      =       -40.3218890000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.990000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0230000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812404                1.15497e-10         1.89524e-13
             0.812607                1.14992e-10         1.89371e-13
             0.812809                1.12826e-10         1.85972e-13
             0.813012                1.14089e-10         1.88118e-13
             0.813214                1.13452e-10         1.87584e-13
             0.813417                1.14167e-10         1.91344e-13
             0.813619                1.14667e-10         1.93262e-13
             0.813822                1.14176e-10         1.95298e-13
             0.814024                1.14676e-10         1.93688e-13
             0.814227                1.13482e-10         1.91707e-13
             0.814429                1.12969e-10         1.93189e-13
             0.814632                1.14058e-10         1.94431e-13
             0.814834                1.13905e-10         1.94094e-13
             0.815037                1.12486e-10         1.95072e-13
             0.815065                1.12263e-10         1.54992e-13
             0.815298                1.13081e-10         1.60983e-13
             0.815531                1.13414e-10         1.69849e-13
             0.815764                1.13940e-10         1.69725e-13
             0.815997                1.15356e-10         1.61420e-13
             0.816231                1.12979e-10         1.54435e-13
             0.816464                1.11700e-10         1.56307e-13
             0.816697                1.13929e-10         1.64980e-13
             0.816930                1.13944e-10         1.65384e-13
             0.817163                1.13231e-10         1.72326e-13
             0.817396                1.13873e-10         1.64843e-13
             0.817629                1.14146e-10         1.54107e-13
             0.817862                1.13393e-10         1.52508e-13
             0.818095                1.12808e-10         1.58934e-13
             0.818328                1.10488e-10         1.59432e-13
             0.818561                1.07854e-10         1.57256e-13
             0.818793                1.09686e-10         1.60882e-13
             0.819026                1.11827e-10         1.58468e-13
             0.819259                1.14121e-10         1.56013e-13
             0.819492                1.09143e-10         1.50167e-13
             0.819725                1.04958e-10         1.43588e-13
             0.819958                1.09742e-10         1.54272e-13
             0.820191                1.11949e-10         1.65443e-13
             0.820424                1.12864e-10         1.60682e-13
             0.820657                1.12639e-10         1.50739e-13
             0.820890                1.11655e-10         1.45739e-13
             0.821123                1.11787e-10         1.45019e-13
             0.821356                1.11420e-10         1.49557e-13
             0.821589                1.09732e-10         1.52570e-13
             0.821822                1.12437e-10         1.60696e-13
             0.822054                1.10871e-10         1.52721e-13
             0.822287                1.08503e-10         1.46067e-13
             0.822520                1.12746e-10         1.47947e-13
             0.822753                1.15913e-10         1.53442e-13
             0.822986                1.14394e-10         1.64074e-13
             0.823219                1.14022e-10         1.77584e-13
             0.823452                1.14354e-10         1.70446e-13
             0.823684                1.13960e-10         1.58209e-13
             0.823917                1.12952e-10         1.48977e-13
             0.824150                1.13147e-10         1.46573e-13
             0.824383                1.13307e-10         1.48314e-13
             0.824616                1.13152e-10         1.54739e-13
