# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4120 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 142091'          /                                                
# SPTYPE  = 'K1 IVa  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 24'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.813423 / Minimum wavelength (um)                        
# MAXWAVE =              2.41763 / Maximum wavelength (um)                        
# V       =        4.81200000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.996000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        3.03500000000 / 2MASS J magnitude                              
# JERR    =       0.184000000000 / 2MASS J magnitude error                        
# H       =        2.57500000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =        2.42300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.242000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113610000000 / Relative error in the absolute flux calibration
# RV      =       -39.2937680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.990000000000 / Intrinsic Color                                
# E(B-V)  =     0.00599998000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813423                3.70204e-10         8.94621e-13
             0.813657                3.72478e-10         8.96327e-13
             0.813891                3.71249e-10         8.98004e-13
             0.814125                3.68853e-10         8.82167e-13
             0.814360                3.66327e-10         8.66579e-13
             0.814594                3.69157e-10         8.74824e-13
             0.814828                3.69446e-10         8.67268e-13
             0.815062                3.65338e-10         8.62550e-13
             0.815296                3.68538e-10         8.64527e-13
             0.815530                3.69455e-10         8.61533e-13
             0.815764                3.73466e-10         8.72630e-13
             0.815999                3.75479e-10         8.65631e-13
             0.816233                3.64394e-10         8.37019e-13
             0.816467                3.64244e-10         8.53943e-13
             0.816701                3.69697e-10         8.63729e-13
             0.816935                3.72133e-10         8.48933e-13
             0.817169                3.70590e-10         8.41292e-13
             0.817403                3.70575e-10         8.38012e-13
             0.817637                3.69975e-10         8.17665e-13
             0.817871                3.67987e-10         8.16477e-13
             0.818105                3.66740e-10         8.26315e-13
             0.818339                3.56849e-10         8.00634e-13
             0.818573                3.52867e-10         7.88350e-13
             0.818807                3.60949e-10         7.89493e-13
             0.819041                3.65571e-10         7.95719e-13
             0.819275                3.72113e-10         8.11708e-13
             0.819509                3.52294e-10         7.68368e-13
             0.819743                3.47240e-10         7.53481e-13
             0.819977                3.62234e-10         7.76326e-13
             0.820210                3.64871e-10         7.91047e-13
             0.820444                3.66053e-10         7.81876e-13
             0.820678                3.66428e-10         7.67994e-13
             0.820912                3.63054e-10         7.55537e-13
             0.821146                3.64217e-10         7.56363e-13
             0.821380                3.60039e-10         7.50817e-13
             0.821613                3.56972e-10         8.09213e-13
             0.821847                3.68691e-10         7.61719e-13
             0.822081                3.58704e-10         8.09170e-13
             0.822315                3.53248e-10         7.27700e-13
             0.822549                3.70638e-10         7.59825e-13
             0.822782                3.74947e-10         7.63312e-13
             0.823016                3.69221e-10         7.68584e-13
             0.823250                3.65795e-10         7.74602e-13
             0.823484                3.68254e-10         7.68045e-13
             0.823717                3.69881e-10         7.51379e-13
             0.823951                3.67293e-10         7.36938e-13
             0.824185                3.70426e-10         7.35468e-13
             0.824418                3.68902e-10         7.29353e-13
             0.824652                3.71557e-10         7.37807e-13
             0.824886                3.67777e-10         7.40617e-13
             0.825119                3.66334e-10         7.15147e-13
             0.825353                3.70189e-10         7.21786e-13
             0.825586                3.68234e-10         7.13552e-13
             0.825820                3.63699e-10         7.11774e-13
             0.826054                3.65930e-10         7.76812e-13
             0.826287                3.76963e-10         7.34726e-13
             0.826521                3.72845e-10         7.21187e-13
             0.826754                3.66886e-10         7.11040e-13
             0.826988                3.69224e-10         7.65013e-13
             0.827222                3.71617e-10         7.13036e-13
             0.827455                3.66032e-10         6.94962e-13
             0.827689                3.58030e-10         6.87512e-13
             0.827922                3.64415e-10         6.98995e-13
             0.828156                3.72502e-10         7.05734e-13
             0.828389                3.71014e-10         7.03240e-13
             0.828622                3.66174e-10         6.92140e-13
             0.828856                3.64147e-10         6.80482e-13
             0.829089                3.58784e-10         6.76734e-13
             0.829323                3.63825e-10         6.79656e-13
             0.829556                3.61581e-10         6.72578e-13
             0.829790                3.58990e-10         6.69385e-13
             0.830023                3.60013e-10         6.69211e-13
             0.830256                3.64072e-10         6.68349e-13
             0.830490                3.63955e-10         6.71196e-13
             0.830723                3.54989e-10         6.53084e-13
             0.830956                3.54155e-10         6.56886e-13
             0.831190                3.50749e-10         6.35371e-13
             0.831423                3.55016e-10         6.40377e-13
             0.831657                3.62548e-10         6.52177e-13
             0.831890                3.68492e-10         6.60461e-13
             0.832123                3.64470e-10         6.53984e-13
             0.832356                3.57450e-10         6.46436e-13
             0.832590                3.56546e-10         6.41669e-13
             0.832823                3.48403e-10         6.25713e-13
             0.833056                3.48278e-10         6.16021e-13
             0.833289                3.47828e-10         6.16447e-13
             0.833523                3.43604e-10         6.09546e-13
             0.833756                3.54156e-10         6.25814e-13
             0.833989                3.51183e-10         6.18327e-13
             0.834222                3.52524e-10         6.18164e-13
             0.834455                3.57552e-10         6.21740e-13
             0.834689                3.51845e-10         6.13332e-13
             0.834922                3.48018e-10         6.02981e-13
             0.835155                3.54120e-10         6.12861e-13
             0.835388                3.62272e-10         6.23708e-13
             0.835621                3.61255e-10         6.17712e-13
             0.835854                3.58461e-10         6.11690e-13
             0.836087                3.59329e-10         6.15281e-13
             0.836321                3.59104e-10         6.15111e-13
             0.836554                3.53776e-10         6.56107e-13
             0.836787                3.54740e-10         5.99832e-13
             0.837020                3.63640e-10         6.13117e-13
             0.837253                3.60841e-10         6.02703e-13
             0.837486                3.57735e-10         5.96182e-13
             0.837719                3.61635e-10         6.12967e-13
             0.837952                3.56841e-10         6.47241e-13
             0.838185                3.59336e-10         6.11035e-13
             0.838418                3.50213e-10         5.80306e-13
             0.838651                3.46027e-10         5.71856e-13
             0.838884                3.42079e-10         5.66871e-13
             0.839117                3.41135e-10         5.67447e-13
             0.839350                3.60735e-10         6.48564e-13
             0.839583                3.65744e-10         5.99821e-13
             0.839816                3.58199e-10         5.87331e-13
             0.840049                3.57956e-10         5.82770e-13
             0.840282                3.59468e-10         5.88124e-13
             0.840515                3.58769e-10         5.82691e-13
             0.840748                3.63707e-10         5.98729e-13
             0.840980                3.65841e-10         6.02523e-13
             0.841213                3.60507e-10         5.83503e-13
             0.841446                3.52688e-10         5.70117e-13
             0.841679                3.58069e-10         5.78841e-13
             0.841912                3.59367e-10         5.78605e-13
             0.842145                3.56440e-10         5.75135e-13
             0.842378                3.54076e-10         5.66854e-13
             0.842610                3.48259e-10         5.57681e-13
             0.842843                3.43897e-10         5.51286e-13
             0.843076                3.55955e-10         5.68378e-13
             0.843309                3.65979e-10         5.90428e-13
             0.843542                3.52393e-10         5.62660e-13
             0.843774                3.38296e-10         5.41584e-13
             0.844007                3.41896e-10         5.46288e-13
             0.844240                3.46850e-10         5.53236e-13
             0.844473                3.55216e-10         5.63899e-13
             0.844705                3.59755e-10         5.76141e-13
             0.844938                3.62261e-10         5.86564e-13
             0.845171                3.62441e-10         5.81482e-13
             0.845404                3.63271e-10         5.72635e-13
             0.845636                3.63617e-10         5.64804e-13
             0.845869                3.57556e-10         5.57037e-13
             0.846102                3.56402e-10         5.51941e-13
             0.846334                3.61951e-10         5.63210e-13
             0.846567                3.57247e-10         5.56054e-13
             0.846800                3.45503e-10         5.39237e-13
             0.847032                3.35711e-10         5.24588e-13
             0.847265                3.41642e-10         5.32936e-13
             0.847497                3.54308e-10         5.52093e-13
             0.847730                3.60794e-10         5.54780e-13
             0.847963                3.58973e-10         5.47544e-13
             0.848195                3.53791e-10         5.37407e-13
             0.848428                3.49896e-10         5.30364e-13
             0.848660                3.55179e-10         5.34297e-13
             0.848893                3.58062e-10         5.39194e-13
             0.849126                3.56760e-10         5.39789e-13
             0.849358                3.55403e-10         5.35312e-13
             0.849591                3.47700e-10         5.27028e-13
             0.849823                3.06241e-10         4.67511e-13
             0.850056                2.69554e-10         4.15657e-13
             0.850288                3.00353e-10         4.57429e-13
             0.850521                3.33138e-10         5.01894e-13
             0.850753                3.48433e-10         5.22098e-13
             0.850986                3.58930e-10         5.35485e-13
             0.851218                3.57148e-10         5.31509e-13
             0.851451                3.45834e-10         5.14599e-13
             0.851683                3.30366e-10         4.92188e-13
             0.851915                3.33597e-10         4.95364e-13
             0.852148                3.43841e-10         5.07103e-13
             0.852380                3.49500e-10         5.11735e-13
             0.852613                3.47802e-10         5.07489e-13
             0.852845                3.41527e-10         5.00214e-13
             0.853078                3.40618e-10         4.96114e-13
             0.853310                3.46282e-10         5.10242e-13
             0.853542                3.42285e-10         5.05535e-13
             0.853775                3.31094e-10         5.40399e-13
             0.854007                3.00293e-10         4.87699e-13
             0.854239                2.43994e-10         3.98404e-13
             0.854472                2.03077e-10         3.35374e-13
             0.854704                2.47528e-10         3.94820e-13
             0.854936                3.02656e-10         4.69024e-13
             0.855169                3.22681e-10         4.91897e-13
             0.855401                3.39055e-10         5.09005e-13
             0.855633                3.43634e-10         5.09310e-13
             0.855866                3.37593e-10         4.94219e-13
             0.856098                3.42553e-10         4.94322e-13
             0.856330                3.44260e-10         4.92911e-13
             0.856562                3.45285e-10         4.91870e-13
             0.856795                3.48348e-10         4.95828e-13
             0.857027                3.49897e-10         4.99188e-13
             0.857259                3.47260e-10         4.91025e-13
             0.857491                3.45219e-10         4.89469e-13
             0.857724                3.44783e-10         4.88161e-13
             0.857956                3.48573e-10         4.94813e-13
             0.858188                3.50562e-10         4.93542e-13
             0.858420                3.43634e-10         4.87598e-13
             0.858652                3.41482e-10         4.88130e-13
             0.858885                3.48278e-10         4.99958e-13
             0.859117                3.49291e-10         5.00377e-13
             0.859349                3.46267e-10         4.95401e-13
             0.859581                3.46130e-10         4.94343e-13
             0.859813                3.44888e-10         4.91586e-13
             0.860045                3.42024e-10         4.86907e-13
             0.860277                3.47545e-10         4.93071e-13
             0.860510                3.47822e-10         4.92501e-13
             0.860742                3.44521e-10         4.87363e-13
             0.860974                3.44477e-10         4.86346e-13
             0.861206                3.38726e-10         4.77783e-13
             0.861438                3.32175e-10         4.67669e-13
             0.861670                3.40037e-10         4.74054e-13
             0.861902                3.45063e-10         4.76545e-13
             0.862134                3.47702e-10         4.78285e-13
             0.862366                3.40461e-10         4.66701e-13
             0.862598                3.40824e-10         4.71735e-13
             0.862830                3.46941e-10         4.86121e-13
             0.863062                3.46404e-10         4.70440e-13
             0.863294                3.45538e-10         4.68825e-13
             0.863526                3.44425e-10         4.66948e-13
             0.863758                3.46334e-10         4.67828e-13
             0.863990                3.51770e-10         4.81434e-13
             0.864222                3.53327e-10         4.76969e-13
             0.864454                3.51214e-10         4.77723e-13
             0.864686                3.51308e-10         4.75320e-13
             0.864918                3.46882e-10         4.74991e-13
             0.865150                3.38315e-10         4.65707e-13
             0.865382                3.41349e-10         4.69455e-13
             0.865614                3.40596e-10         4.68763e-13
             0.865846                3.34431e-10         4.61062e-13
             0.866078                3.11744e-10         4.32115e-13
             0.866310                2.48081e-10         3.50827e-13
             0.866542                2.22410e-10         3.18189e-13
             0.866774                2.78647e-10         3.90223e-13
             0.867006                3.23267e-10         4.48061e-13
             0.867238                3.34863e-10         4.63235e-13
             0.867469                3.31996e-10         4.59770e-13
             0.867701                3.26966e-10         4.53336e-13
             0.867933                3.33118e-10         4.62010e-13
             0.868165                3.39975e-10         4.69940e-13
             0.868397                3.40273e-10         4.66333e-13
             0.868629                3.45767e-10         4.70980e-13
             0.868861                3.37188e-10         4.56819e-13
             0.869092                3.16765e-10         4.26259e-13
             0.869324                3.25911e-10         4.36453e-13
             0.869556                3.43507e-10         4.77864e-13
             0.869788                3.47179e-10         4.62510e-13
             0.870020                3.42210e-10         4.51352e-13
             0.870251                3.36320e-10         4.42404e-13
             0.870483                3.38863e-10         4.45580e-13
             0.870715                3.41375e-10         4.50022e-13
             0.870947                3.44678e-10         4.50413e-13
             0.871179                3.37577e-10         4.37581e-13
             0.871410                3.32048e-10         4.34437e-13
             0.871642                3.35721e-10         4.37803e-13
             0.871874                3.42554e-10         4.44949e-13
             0.872105                3.46406e-10         4.49618e-13
             0.872337                3.53059e-10         4.64134e-13
             0.872569                3.51984e-10         4.61901e-13
             0.872801                3.49453e-10         4.62552e-13
             0.873032                3.40205e-10         4.49826e-13
             0.873264                3.40252e-10         4.54823e-13
             0.873496                3.46723e-10         4.66976e-13
             0.873727                3.39045e-10         4.52982e-13
             0.873959                3.37257e-10         4.50209e-13
             0.874191                3.43284e-10         4.57898e-13
             0.874422                3.40470e-10         4.54097e-13
             0.874654                3.42664e-10         4.56630e-13
             0.874886                3.44599e-10         4.58837e-13
             0.875117                3.42576e-10         4.56489e-13
             0.875349                3.36795e-10         4.48895e-13
             0.875581                3.38639e-10         4.50944e-13
             0.875812                3.42016e-10         4.54646e-13
             0.876044                3.41830e-10         4.54427e-13
             0.876276                3.47327e-10         4.61050e-13
             0.876507                3.42855e-10         4.55764e-13
             0.876739                3.37200e-10         4.47823e-13
             0.876970                3.40655e-10         4.51891e-13
             0.877202                3.43772e-10         4.55514e-13
             0.877433                3.35069e-10         4.44307e-13
             0.877665                3.33182e-10         4.37232e-13
             0.877897                3.45898e-10         4.52075e-13
             0.878128                3.47991e-10         4.50673e-13
             0.878360                3.48298e-10         4.49438e-13
             0.878591                3.48280e-10         4.46784e-13
             0.878823                3.49661e-10         4.45885e-13
             0.879054                3.48384e-10         4.42635e-13
             0.879286                3.39673e-10         4.32789e-13
             0.879517                3.34551e-10         4.25004e-13
             0.879749                3.37633e-10         4.30289e-13
             0.879980                3.42095e-10         4.31691e-13
             0.880212                3.49633e-10         4.45187e-13
             0.880443                3.46098e-10         4.37798e-13
             0.880675                3.23985e-10         4.13286e-13
             0.880906                2.96289e-10         3.79563e-13
             0.881138                3.12998e-10         4.00436e-13
             0.881369                3.41056e-10         4.29925e-13
             0.881601                3.47554e-10         4.40537e-13
             0.881832                3.47407e-10         4.39795e-13
             0.882064                3.46207e-10         4.39780e-13
             0.882295                3.43601e-10         4.35495e-13
             0.882526                3.32757e-10         4.26566e-13
             0.882758                3.26633e-10         4.18537e-13
             0.882989                3.39723e-10         4.36237e-13
             0.883221                3.47038e-10         4.41264e-13
             0.883452                3.49549e-10         4.49467e-13
             0.883684                3.44571e-10         4.42762e-13
             0.883915                3.38016e-10         4.47804e-13
             0.884146                3.34779e-10         4.68741e-13
             0.884378                3.39844e-10         4.46861e-13
             0.884609                3.43541e-10         4.50767e-13
             0.884840                3.43017e-10         4.50103e-13
             0.885072                3.45190e-10         4.52749e-13
             0.885303                3.47518e-10         4.55852e-13
             0.885535                3.48326e-10         4.57130e-13
             0.885766                3.48819e-10         4.58195e-13
             0.885997                3.47701e-10         4.56385e-13
             0.886229                3.42219e-10         4.49733e-13
             0.886460                3.34380e-10         4.40014e-13
             0.886691                3.31499e-10         4.36515e-13
             0.886923                3.27278e-10         4.31079e-13
             0.887154                3.33599e-10         4.39318e-13
             0.887385                3.47124e-10         4.55984e-13
             0.887617                3.47224e-10         4.56040e-13
             0.887848                3.41335e-10         4.49147e-13
             0.888079                3.39658e-10         4.46953e-13
             0.888310                3.42008e-10         4.49920e-13
             0.888542                3.43551e-10         4.51811e-13
             0.888773                3.45518e-10         4.54424e-13
             0.889004                3.47482e-10         4.60236e-13
             0.889235                3.45901e-10         4.49576e-13
             0.889467                3.40764e-10         4.40273e-13
             0.889698                3.43331e-10         4.40545e-13
             0.889929                3.45925e-10         4.52380e-13
             0.890161                3.46155e-10         4.42680e-13
             0.890392                3.47022e-10         4.45417e-13
             0.890623                3.44615e-10         4.37135e-13
             0.890854                3.44064e-10         4.42559e-13
             0.891085                3.45973e-10         4.45364e-13
             0.891317                3.44604e-10         4.37638e-13
             0.891548                3.42811e-10         4.35633e-13
             0.891779                3.44069e-10         4.35096e-13
             0.892010                3.41316e-10         4.28438e-13
             0.892242                3.38471e-10         4.29751e-13
             0.892473                3.35557e-10         4.32424e-13
             0.892704                3.32901e-10         4.53418e-13
             0.892935                3.33144e-10         4.67851e-13
             0.893166                3.36835e-10         4.65808e-13
             0.893397                3.38299e-10         4.40060e-13
             0.893629                3.41953e-10         4.35511e-13
             0.893860                3.46625e-10         4.40671e-13
             0.894091                3.43868e-10         4.34250e-13
             0.894322                3.37168e-10         4.20418e-13
             0.894553                3.31307e-10         4.16955e-13
             0.894784                3.25258e-10         4.09446e-13
             0.895015                3.26998e-10         4.13383e-13
             0.895247                3.35141e-10         4.20705e-13
             0.895478                3.41684e-10         4.28865e-13
             0.895709                3.41663e-10         4.33926e-13
             0.895940                3.43000e-10         4.41367e-13
             0.896171                3.42826e-10         4.33165e-13
             0.896402                3.41641e-10         4.35395e-13
             0.896633                3.37401e-10         4.33610e-13
             0.896864                3.31807e-10         4.31112e-13
             0.897095                3.33308e-10         4.67557e-13
             0.897327                3.38489e-10         4.35058e-13
             0.897558                3.36640e-10         4.36282e-13
             0.897789                3.30889e-10         4.37518e-13
             0.898020                3.31006e-10         4.27733e-13
             0.898251                3.37411e-10         4.47304e-13
             0.898482                3.39030e-10         4.74411e-13
             0.898713                3.38348e-10         4.84674e-13
             0.898944                3.34540e-10         4.82675e-13
             0.899175                3.34978e-10         4.87779e-13
             0.899406                3.35240e-10         4.79048e-13
             0.899637                3.40245e-10         4.89129e-13
             0.899868                3.41843e-10         4.73710e-13
             0.900099                3.30710e-10         4.60433e-13
             0.900330                3.26821e-10         4.60261e-13
             0.900561                3.39984e-10         4.96762e-13
             0.900792                3.39041e-10         4.97176e-13
             0.901023                3.27124e-10         4.95865e-13
             0.901254                3.13234e-10         4.74446e-13
             0.901485                3.12422e-10         4.92990e-13
             0.901716                3.19917e-10         5.13915e-13
             0.901947                3.20670e-10         5.19007e-13
             0.902178                3.26297e-10         5.21484e-13
             0.902409                3.30329e-10         5.04692e-13
             0.902640                3.27596e-10         4.87360e-13
             0.902871                3.32676e-10         4.95164e-13
             0.903102                3.39964e-10         4.94536e-13
             0.903333                3.43482e-10         4.87008e-13
             0.903564                3.41496e-10         4.76616e-13
             0.903795                3.41677e-10         4.67090e-13
             0.904026                3.39452e-10         4.62223e-13
             0.904257                3.43040e-10         5.55689e-13
             0.904488                3.42731e-10         4.58318e-13
             0.904719                3.41532e-10         4.56123e-13
             0.904950                3.39269e-10         4.49075e-13
             0.905181                3.38102e-10         4.47432e-13
             0.905412                3.37716e-10         4.43346e-13
             0.905643                3.39964e-10         4.51358e-13
             0.905874                3.39498e-10         4.46914e-13
             0.906105                3.39940e-10         4.54781e-13
             0.906336                3.32386e-10         4.43733e-13
             0.906566                3.32168e-10         4.54635e-13
             0.906797                3.39955e-10         4.56911e-13
             0.907028                3.36723e-10         4.41872e-13
             0.907259                3.34706e-10         4.43372e-13
             0.907490                3.35633e-10         4.53445e-13
             0.907721                3.36865e-10         4.56152e-13
             0.907952                3.33366e-10         4.47210e-13
             0.908183                3.21601e-10         4.27640e-13
             0.908414                3.23291e-10         4.38081e-13
             0.908644                3.33213e-10         4.46401e-13
             0.908875                3.24697e-10         4.39381e-13
             0.909106                3.11065e-10         4.28570e-13
             0.909337                3.16136e-10         4.29449e-13
             0.909568                3.25593e-10         4.44989e-13
             0.909799                3.28151e-10         4.44383e-13
             0.910030                3.28104e-10         4.37147e-13
             0.910261                3.21125e-10         4.28738e-13
             0.910491                3.24133e-10         4.33736e-13
             0.910722                3.27149e-10         4.33932e-13
             0.910953                3.22519e-10         4.29200e-13
             0.911184                3.25255e-10         4.39379e-13
             0.911415                3.25667e-10         4.36450e-13
             0.911646                3.24404e-10         4.38134e-13
             0.911876                3.17835e-10         4.21302e-13
             0.912107                3.09877e-10         4.15779e-13
             0.912338                3.20739e-10         4.36521e-13
             0.912569                3.28234e-10         4.39267e-13
             0.912800                3.27046e-10         4.28297e-13
             0.913031                3.28362e-10         4.35530e-13
             0.913261                3.24385e-10         4.34574e-13
             0.913492                3.28370e-10         4.60601e-13
             0.913723                3.27518e-10         4.41722e-13
             0.913954                3.22643e-10         4.47947e-13
             0.914185                3.13119e-10         4.72933e-13
             0.914416                3.05981e-10         4.14774e-13
             0.914646                3.06405e-10         4.10963e-13
             0.914877                3.05463e-10         4.14279e-13
             0.915108                3.08221e-10         4.12901e-13
             0.915339                3.15648e-10         4.22572e-13
             0.915569                3.14896e-10         4.29308e-13
             0.915800                3.09254e-10         4.32146e-13
             0.916031                3.13689e-10         4.37085e-13
             0.916262                3.17302e-10         4.33310e-13
             0.916493                3.11888e-10         4.18200e-13
             0.916723                3.09612e-10         4.18474e-13
             0.916954                3.03526e-10         4.09700e-13
             0.917185                2.92019e-10         3.98510e-13
             0.917416                2.90248e-10         3.95865e-13
             0.917646                2.92584e-10         4.06579e-13
             0.917877                2.99337e-10         4.20672e-13
             0.918108                3.07100e-10         4.33917e-13
             0.918339                3.06683e-10         4.23254e-13
             0.918569                3.08230e-10         4.25384e-13
             0.918800                3.09195e-10         4.30261e-13
             0.919031                3.05069e-10         4.25431e-13
             0.919262                2.99298e-10         4.14115e-13
             0.919492                3.00005e-10         4.19714e-13
             0.919723                3.01642e-10         4.23143e-13
             0.919954                3.03404e-10         4.38940e-13
             0.920185                3.00122e-10         4.27574e-13
             0.920415                3.03847e-10         4.32919e-13
             0.920646                3.03771e-10         4.33518e-13
             0.920877                3.05055e-10         4.40797e-13
             0.921107                3.00643e-10         4.39740e-13
             0.921338                2.93631e-10         4.34516e-13
             0.921569                2.94078e-10         4.38074e-13
             0.921800                2.99727e-10         4.63515e-13
             0.922030                2.98256e-10         4.65685e-13
             0.922261                3.09114e-10         4.90314e-13
             0.922492                3.12881e-10         5.02998e-13
             0.922722                2.97086e-10         4.91897e-13
             0.922953                2.97948e-10         5.22299e-13
             0.923184                2.98738e-10         5.27863e-13
             0.923415                2.96215e-10         5.13749e-13
             0.923645                3.04370e-10         5.15260e-13
             0.923876                3.04697e-10         5.00259e-13
             0.924107                3.04341e-10         4.95557e-13
             0.924337                3.01440e-10         4.78096e-13
             0.924568                3.03923e-10         4.73999e-13
             0.924799                3.02817e-10         4.66368e-13
             0.925029                2.99386e-10         4.57470e-13
             0.925260                3.03360e-10         4.51913e-13
             0.925491                3.06181e-10         4.58009e-13
             0.925721                2.96142e-10         4.44042e-13
             0.925952                2.89583e-10         5.14239e-13
             0.926183                3.00412e-10         4.44985e-13
             0.926413                3.09465e-10         4.67380e-13
             0.926644                3.10804e-10         4.69362e-13
             0.926875                3.17348e-10         4.75850e-13
