# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:19 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7581 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 10476'           /                                                
# SPTYPE  = 'K1 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Nov 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810123 / Minimum wavelength (um)                        
# MAXWAVE =              5.00355 / Maximum wavelength (um)                        
# V       =        5.24200000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.836000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        3.85500000000 / 2MASS J magnitude                              
# JERR    =       0.240000000000 / 2MASS J magnitude error                        
# H       =        3.39100000000 / 2MASS H magnitude                              
# HERR    =       0.226000000000 / 2MASS H magnitude error                        
# KS      =        3.28500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.266000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.139928000000 / Relative error in the absolute flux calibration
# RV      =       -30.5693910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.860000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0240000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810123                1.94766e-10         2.81686e-13
             0.810326                1.98013e-10         2.85599e-13
             0.810528                2.02674e-10         3.23740e-13
             0.810730                2.00570e-10         3.24716e-13
             0.810933                2.00943e-10         2.66470e-13
             0.811135                2.00484e-10         2.88236e-13
             0.811338                2.00544e-10         2.88461e-13
             0.811540                2.00846e-10         2.76684e-13
             0.811742                2.00967e-10         3.25837e-13
             0.811945                2.00365e-10         2.68682e-13
             0.812147                2.01018e-10         2.68173e-13
             0.812349                2.01786e-10         3.08168e-13
             0.812552                2.01892e-10         3.07943e-13
             0.812754                2.00961e-10         2.70878e-13
             0.812956                1.99617e-10         3.04100e-13
             0.813123                2.00413e-10         2.19174e-13
             0.813356                2.01152e-10         2.26594e-13
             0.813590                2.01699e-10         2.24236e-13
             0.813823                2.00758e-10         2.41701e-13
             0.814056                2.00727e-10         2.63261e-13
             0.814289                2.00938e-10         2.68163e-13
             0.814522                1.99598e-10         2.59283e-13
             0.814755                2.00015e-10         2.17996e-13
             0.814989                2.00075e-10         2.45130e-13
             0.815222                1.99111e-10         2.39617e-13
             0.815455                2.00429e-10         2.71068e-13
             0.815688                1.99670e-10         2.65549e-13
             0.815921                2.00468e-10         2.34258e-13
             0.816154                2.00526e-10         2.24233e-13
             0.816387                1.99362e-10         2.45393e-13
             0.816621                1.99330e-10         2.24500e-13
             0.816854                2.00578e-10         2.28838e-13
             0.817087                2.00569e-10         2.40555e-13
             0.817320                1.99488e-10         2.60549e-13
             0.817553                1.99148e-10         2.28208e-13
             0.817786                2.00364e-10         2.34679e-13
             0.818019                1.98945e-10         2.33220e-13
             0.818252                1.96110e-10         2.20943e-13
             0.818485                1.87719e-10         2.19112e-13
             0.818718                1.87374e-10         2.33998e-13
             0.818951                1.93897e-10         2.52316e-13
             0.819184                1.96854e-10         2.33462e-13
             0.819418                1.97212e-10         2.34989e-13
             0.819651                1.83368e-10         2.24408e-13
             0.819884                1.82729e-10         2.07368e-13
             0.820117                1.91026e-10         2.33447e-13
             0.820350                1.93304e-10         2.42660e-13
             0.820583                1.97418e-10         2.41370e-13
             0.820816                1.96519e-10         2.30354e-13
             0.821049                1.93572e-10         2.39556e-13
             0.821282                1.94509e-10         2.19615e-13
             0.821515                1.90042e-10         2.31412e-13
             0.821748                1.92144e-10         2.23690e-13
             0.821980                1.95073e-10         2.53314e-13
             0.822213                1.87467e-10         2.14825e-13
             0.822446                1.88041e-10         2.31809e-13
             0.822679                1.98669e-10         2.11186e-13
             0.822912                2.00998e-10         2.46497e-13
             0.823145                1.97852e-10         2.44455e-13
