# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7605 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 23082'           /                                                
# SPTYPE  = 'K2.5 II '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 03'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 03'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810739 / Minimum wavelength (um)                        
# MAXWAVE =              5.01445 / Maximum wavelength (um)                        
# V       =        7.52000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.85000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.87400000000 / 2MASS J magnitude                              
# JERR    =       0.190000000000 / 2MASS J magnitude error                        
# H       =        3.11600000000 / 2MASS H magnitude                              
# HERR    =       0.202000000000 / 2MASS H magnitude error                        
# KS      =        2.78600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.224000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.117738000000 / Relative error in the absolute flux calibration
# RV      =       -5.82291700000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.35000000000 / Intrinsic Color                                
# E(B-V)  =       0.500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810739                9.57206e-11         2.00283e-13
             0.810942                9.65967e-11         2.03300e-13
             0.811144                9.75970e-11         2.04352e-13
             0.811346                9.85402e-11         2.06639e-13
             0.811548                9.75732e-11         2.04825e-13
             0.811750                9.25700e-11         1.99215e-13
             0.811952                9.29684e-11         1.99502e-13
             0.812155                9.61463e-11         2.04784e-13
             0.812357                9.95807e-11         2.07915e-13
             0.812559                1.02528e-10         2.14041e-13
             0.812761                9.92926e-11         2.10758e-13
             0.812963                9.82331e-11         2.08420e-13
             0.813165                9.97598e-11         2.10392e-13
             0.813367                9.85319e-11         2.11183e-13
             0.813561                9.87044e-11         1.74537e-13
             0.813794                1.00591e-10         1.78506e-13
             0.814028                1.00381e-10         1.84060e-13
             0.814262                9.95461e-11         1.94707e-13
             0.814495                9.79871e-11         1.91682e-13
             0.814729                9.92313e-11         1.82526e-13
             0.814963                9.97472e-11         1.77886e-13
             0.815196                9.87083e-11         1.75517e-13
             0.815430                1.00031e-10         1.80917e-13
             0.815664                1.01480e-10         1.90657e-13
             0.815897                1.03808e-10         2.02366e-13
             0.816131                1.01665e-10         1.88615e-13
             0.816364                9.52548e-11         1.76660e-13
             0.816598                9.73890e-11         1.77127e-13
             0.816831                1.01122e-10         1.80301e-13
             0.817065                1.01867e-10         1.87839e-13
             0.817298                1.02308e-10         1.97503e-13
             0.817532                1.01524e-10         1.90231e-13
             0.817765                1.02438e-10         1.84876e-13
             0.817999                1.03550e-10         1.82484e-13
             0.818232                1.00442e-10         1.78654e-13
             0.818466                9.68536e-11         1.77015e-13
             0.818699                9.57269e-11         1.84260e-13
             0.818933                9.73784e-11         1.92175e-13
             0.819166                1.02854e-10         1.88269e-13
             0.819400                1.04646e-10         1.83297e-13
             0.819633                9.55883e-11         1.70010e-13
             0.819867                9.67359e-11         1.74216e-13
             0.820100                1.00902e-10         1.84705e-13
             0.820333                9.86865e-11         1.91463e-13
             0.820567                9.63589e-11         1.82322e-13
             0.820800                9.57929e-11         1.71757e-13
             0.821034                9.90056e-11         1.73910e-13
             0.821267                1.02418e-10         1.74431e-13
             0.821500                1.00948e-10         1.77564e-13
             0.821734                1.01974e-10         1.85581e-13
             0.821967                1.05458e-10         1.92463e-13
             0.822200                1.02164e-10         1.81086e-13
             0.822434                1.01059e-10         1.74999e-13
             0.822667                1.07001e-10         1.79370e-13
             0.822900                1.08052e-10         1.88054e-13
             0.823134                1.05700e-10         1.94045e-13
             0.823367                1.04831e-10         1.97974e-13
             0.823600                1.04706e-10         1.87940e-13
             0.823833                1.04807e-10         1.79314e-13
             0.824067                1.04757e-10         1.79257e-13
             0.824300                1.04198e-10         1.74726e-13
             0.824533                1.04966e-10         1.80642e-13
             0.824766                1.06691e-10         1.89410e-13
             0.825000                1.06312e-10         1.94484e-13
             0.825233                1.05085e-10         1.80372e-13
             0.825466                1.02105e-10         1.73495e-13
             0.825699                9.96859e-11         1.70486e-13
             0.825933                1.01339e-10         1.74010e-13
             0.826166                1.07038e-10         1.85454e-13
             0.826399                1.10217e-10         1.99768e-13
             0.826632                1.07235e-10         1.85346e-13
             0.826865                1.05110e-10         1.75906e-13
             0.827098                1.06745e-10         1.75195e-13
             0.827331                1.06567e-10         1.77016e-13
             0.827565                1.01816e-10         1.79178e-13
             0.827798                1.01244e-10         1.82371e-13
             0.828031                1.05237e-10         1.87479e-13
             0.828264                1.07428e-10         1.86924e-13
             0.828497                1.04939e-10         1.75066e-13
             0.828730                1.04438e-10         1.76148e-13
             0.828963                1.03146e-10         1.79183e-13
             0.829196                1.02784e-10         1.79051e-13
             0.829429                1.04538e-10         1.85058e-13
             0.829662                1.02539e-10         1.79252e-13
             0.829895                9.82726e-11         1.68626e-13
             0.830128                1.00070e-10         1.68262e-13
             0.830362                1.03254e-10         1.71313e-13
             0.830595                1.00753e-10         1.77524e-13
             0.830828                9.62155e-11         1.73170e-13
             0.831061                9.54853e-11         1.72604e-13
             0.831294                9.65698e-11         1.72428e-13
             0.831527                9.90158e-11         1.65848e-13
             0.831759                1.02943e-10         1.68460e-13
             0.831992                1.04620e-10         1.75791e-13
             0.832225                1.01330e-10         1.74174e-13
             0.832458                9.99483e-11         1.77780e-13
             0.832691                9.92290e-11         1.71153e-13
             0.832924                9.66363e-11         1.67660e-13
             0.833157                9.80984e-11         1.62901e-13
             0.833390                9.64620e-11         1.61586e-13
             0.833623                9.60182e-11         1.63798e-13
             0.833856                9.94741e-11         1.71437e-13
             0.834089                9.95280e-11         1.74859e-13
             0.834322                1.01141e-10         1.73193e-13
             0.834555                1.00751e-10         1.64941e-13
             0.834787                9.88914e-11         1.62727e-13
             0.835020                9.68399e-11         1.61035e-13
             0.835253                9.89890e-11         1.70336e-13
             0.835486                1.01848e-10         1.74695e-13
             0.835719                1.00737e-10         1.71252e-13
             0.835952                1.01035e-10         1.66577e-13
             0.836184                1.02686e-10         1.65514e-13
             0.836417                1.01089e-10         1.64027e-13
             0.836650                9.65260e-11         1.61169e-13
             0.836883                1.00461e-10         1.68902e-13
             0.837116                1.04769e-10         1.76239e-13
             0.837348                1.03068e-10         1.71263e-13
             0.837581                1.04781e-10         1.68841e-13
             0.837814                1.03589e-10         1.68668e-13
             0.838047                1.01917e-10         1.68774e-13
             0.838279                1.01694e-10         1.68417e-13
             0.838512                9.57137e-11         1.65277e-13
             0.838745                9.44383e-11         1.62369e-13
             0.838978                9.39565e-11         1.58133e-13
             0.839210                9.53500e-11         1.56352e-13
             0.839443                1.04667e-10         1.64090e-13
             0.839676                1.07129e-10         1.72541e-13
             0.839908                1.03457e-10         1.68681e-13
             0.840141                1.03471e-10         1.77115e-13
             0.840374                1.04338e-10         1.69185e-13
             0.840606                1.04316e-10         1.65193e-13
             0.840839                1.06579e-10         1.66232e-13
             0.841072                1.07559e-10         1.68002e-13
             0.841304                1.03502e-10         1.66324e-13
             0.841537                1.01006e-10         1.67196e-13
             0.841770                1.04353e-10         1.71447e-13
             0.842002                1.04722e-10         1.67250e-13
             0.842235                1.03208e-10         1.65836e-13
             0.842468                1.02896e-10         1.61266e-13
             0.842700                9.74744e-11         1.57138e-13
             0.842933                9.68240e-11         1.58601e-13
             0.843165                1.06159e-10         1.70788e-13
             0.843398                1.09122e-10         1.72826e-13
             0.843630                9.86218e-11         1.59206e-13
             0.843863                9.39587e-11         1.54017e-13
             0.844096                9.82734e-11         1.57161e-13
             0.844328                1.01555e-10         1.62244e-13
             0.844561                1.06821e-10         1.71936e-13
             0.844793                1.06836e-10         1.76277e-13
             0.845026                1.04944e-10         1.69060e-13
             0.845258                1.05650e-10         1.64097e-13
             0.845491                1.08503e-10         1.65102e-13
             0.845723                1.06447e-10         1.62760e-13
             0.845956                1.02983e-10         1.61397e-13
             0.846188                1.06035e-10         1.67175e-13
             0.846421                1.09947e-10         1.73649e-13
             0.846653                1.05485e-10         1.65830e-13
