# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 164349'          /                                                
# SPTYPE  = 'K0.5 IIb'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 05'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.811387 / Minimum wavelength (um)                        
# MAXWAVE =              2.41798 / Maximum wavelength (um)                        
# V       =        4.66900000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.25700000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        2.57400000000 / 2MASS J magnitude                              
# JERR    =       0.282000000000 / 2MASS J magnitude error                        
# H       =        2.03300000000 / 2MASS H magnitude                              
# HERR    =       0.208000000000 / 2MASS H magnitude error                        
# KS      =        1.93700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.202000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.128889000000 / Relative error in the absolute flux calibration
# RV      =        1.76789160000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.10000000000 / Intrinsic Color                                
# E(B-V)  =       0.157000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811387                5.19575e-10         6.84846e-13
             0.811589                5.12334e-10         6.79257e-13
             0.811791                5.00516e-10         6.60390e-13
             0.811994                5.06999e-10         7.28461e-13
             0.812196                5.11495e-10         6.75378e-13
             0.812398                5.28754e-10         7.09008e-13
             0.812601                5.27818e-10         7.04171e-13
             0.812803                5.12058e-10         6.86168e-13
             0.813005                5.17387e-10         6.89627e-13
             0.813208                5.16945e-10         6.96462e-13
             0.813410                5.17498e-10         7.04441e-13
             0.813612                5.31872e-10         7.35508e-13
             0.813815                5.25048e-10         7.17217e-13
             0.814017                5.21594e-10         7.10153e-13
             0.814219                5.18300e-10         7.13491e-13
             0.814360                5.15515e-10         5.92741e-13
             0.814593                5.19654e-10         5.69724e-13
             0.814826                5.22896e-10         5.68753e-13
             0.815059                5.19391e-10         5.81753e-13
             0.815292                5.21557e-10         5.99228e-13
             0.815526                5.24173e-10         6.33669e-13
             0.815759                5.26206e-10         6.25048e-13
             0.815992                5.38170e-10         6.01226e-13
             0.816225                5.21378e-10         5.76697e-13
             0.816458                5.14354e-10         5.91907e-13
             0.816691                5.25676e-10         6.09035e-13
             0.816924                5.26040e-10         6.40190e-13
             0.817158                5.25114e-10         6.44864e-13
             0.817391                5.26645e-10         5.98077e-13
             0.817624                5.23789e-10         5.66208e-13
             0.817857                5.24011e-10         5.85281e-13
             0.818090                5.23224e-10         6.00650e-13
             0.818323                5.10079e-10         5.84852e-13
             0.818556                5.03582e-10         5.92636e-13
             0.818789                5.05942e-10         5.89629e-13
             0.819022                5.11891e-10         5.82052e-13
             0.819255                5.34588e-10         5.85524e-13
             0.819488                5.18224e-10         5.83753e-13
             0.819721                4.93585e-10         5.51456e-13
             0.819954                5.08931e-10         5.82797e-13
             0.820187                5.19334e-10         6.24195e-13
             0.820421                5.14840e-10         5.76970e-13
             0.820653                5.11347e-10         5.44952e-13
             0.820886                5.08313e-10         5.32163e-13
             0.821119                5.18197e-10         5.44735e-13
             0.821352                5.20425e-10         5.67107e-13
             0.821585                5.11702e-10         5.78800e-13
             0.821818                5.25657e-10         5.96283e-13
             0.822051                5.27250e-10         5.78706e-13
             0.822284                5.07624e-10         5.41075e-13
             0.822517                5.23249e-10         5.56645e-13
             0.822750                5.46907e-10         6.06222e-13
             0.822983                5.43287e-10         6.64007e-13
             0.823216                5.36004e-10         6.82090e-13
             0.823449                5.34111e-10         6.21987e-13
             0.823682                5.34169e-10         5.79427e-13
             0.823915                5.28490e-10         5.55391e-13
             0.824148                5.31604e-10         5.55684e-13
             0.824381                5.31815e-10         5.71682e-13
             0.824614                5.37611e-10         6.02704e-13
             0.824847                5.35443e-10         6.01774e-13
             0.825079                5.29463e-10         5.64347e-13
             0.825312                5.29993e-10         5.54119e-13
             0.825545                5.26442e-10         5.46631e-13
             0.825778                5.24591e-10         5.60588e-13
             0.826011                5.28027e-10         5.80296e-13
             0.826244                5.46564e-10         6.25467e-13
             0.826477                5.44287e-10         5.97877e-13
             0.826709                5.32391e-10         5.62630e-13
             0.826942                5.28331e-10         5.42145e-13
             0.827175                5.38070e-10         5.53906e-13
             0.827408                5.29443e-10         5.72402e-13
             0.827641                5.14265e-10         5.79574e-13
             0.827873                5.19567e-10         5.95223e-13
             0.828106                5.39485e-10         5.93379e-13
             0.828339                5.37824e-10         5.74541e-13
             0.828572                5.30027e-10         5.55353e-13
             0.828805                5.28220e-10         5.60735e-13
             0.829037                5.17346e-10         5.67221e-13
             0.829270                5.22296e-10         5.78862e-13
             0.829503                5.23692e-10         5.79413e-13
             0.829736                5.10956e-10         5.51510e-13
             0.829968                5.01718e-10         5.21545e-13
             0.830201                5.11783e-10         5.29733e-13
             0.830434                5.22350e-10         5.52551e-13
             0.830666                5.10662e-10         5.58610e-13
             0.830899                5.03809e-10         5.64675e-13
             0.831132                4.98853e-10         5.30086e-13
             0.831365                5.00548e-10         5.25499e-13
             0.831597                5.10514e-10         5.24919e-13
             0.831830                5.25660e-10         5.44550e-13
             0.832063                5.24698e-10         5.56748e-13
             0.832295                5.10982e-10         5.66001e-13
             0.832528                5.13087e-10         5.63194e-13
             0.832761                5.04279e-10         5.33110e-13
             0.832993                4.99785e-10         5.16956e-13
             0.833226                4.96895e-10         5.09744e-13
             0.833459                4.85506e-10         5.03169e-13
             0.833691                4.98071e-10         5.24152e-13
             0.833924                5.02074e-10         5.44726e-13
             0.834156                5.07703e-10         5.50993e-13
             0.834389                5.14939e-10         5.32193e-13
             0.834622                5.05394e-10         5.11089e-13
             0.834854                4.97466e-10         5.01144e-13
             0.835087                4.96318e-10         5.13412e-13
             0.835319                5.13489e-10         5.39198e-13
             0.835552                5.19417e-10         5.56504e-13
             0.835785                5.10734e-10         5.33945e-13
             0.836017                5.11472e-10         5.22234e-13
             0.836250                5.17663e-10         5.22785e-13
             0.836482                5.08286e-10         5.15106e-13
             0.836715                5.00029e-10         5.12216e-13
             0.836947                5.17326e-10         5.40551e-13
             0.837180                5.19428e-10         5.47134e-13
             0.837412                5.14439e-10         5.51408e-13
             0.837645                5.22763e-10         5.34215e-13
             0.837877                5.13722e-10         5.36532e-13
             0.838110                5.17290e-10         5.23362e-13
             0.838342                5.07859e-10         5.24934e-13
             0.838575                4.90106e-10         5.16633e-13
             0.838807                4.91576e-10         5.12830e-13
             0.839040                4.86416e-10         4.94417e-13
             0.839272                5.04448e-10         5.02260e-13
             0.839505                5.29904e-10         5.30361e-13
             0.839737                5.25295e-10         5.28964e-13
             0.839970                5.16092e-10         5.30893e-13
             0.840202                5.18409e-10         5.42233e-13
             0.840435                5.17389e-10         5.26570e-13
             0.840667                5.19774e-10         5.19076e-13
             0.840900                5.25434e-10         5.20428e-13
             0.841132                5.28010e-10         5.29195e-13
             0.841364                5.09501e-10         5.14698e-13
             0.841597                5.15304e-10         5.34674e-13
             0.841829                5.26761e-10         5.44555e-13
             0.842062                5.17350e-10         5.25245e-13
             0.842294                5.13292e-10         5.07337e-13
             0.842526                5.11040e-10         5.06771e-13
             0.842759                4.89037e-10         4.87742e-13
             0.842991                5.03818e-10         5.08564e-13
             0.843224                5.32861e-10         5.48351e-13
             0.843456                5.26887e-10         5.37009e-13
             0.843688                4.89711e-10         4.93486e-13
             0.843921                4.87857e-10         4.88295e-13
             0.844153                4.98538e-10         4.96908e-13
             0.844385                5.13138e-10         5.17931e-13
             0.844618                5.24608e-10         5.41609e-13
             0.844850                5.19383e-10         5.42519e-13
             0.845082                5.19183e-10         5.28715e-13
             0.845315                5.32555e-10         5.29517e-13
             0.845547                5.38795e-10         5.25895e-13
             0.845779                5.22883e-10         5.11856e-13
             0.846012                5.14079e-10         5.09278e-13
             0.846244                5.28371e-10         5.34965e-13
             0.846476                5.30033e-10         5.38014e-13
             0.846708                5.10051e-10         5.09379e-13
             0.846941                4.86486e-10         4.81821e-13
             0.847173                4.93133e-10         4.86930e-13
             0.847405                5.12222e-10         5.05860e-13
             0.847637                5.32416e-10         5.30587e-13
             0.847870                5.30678e-10         5.34261e-13
             0.848102                5.18333e-10         5.15689e-13
             0.848334                5.05306e-10         4.93303e-13
             0.848566                5.12945e-10         4.92867e-13
             0.848799                5.20336e-10         5.00855e-13
             0.849031                5.17885e-10         5.05361e-13
             0.849263                5.21712e-10         5.17334e-13
             0.849495                5.15211e-10         5.22749e-13
             0.849728                4.66479e-10         4.68492e-13
             0.849960                3.74361e-10         3.82832e-13
             0.850192                3.87915e-10         3.94960e-13
             0.850424                4.56102e-10         4.57286e-13
             0.850656                4.86874e-10         4.87503e-13
             0.850889                5.17429e-10         5.22314e-13
             0.851121                5.27071e-10         5.27395e-13
             0.851353                5.09506e-10         4.99741e-13
             0.851585                4.74699e-10         4.64207e-13
             0.851817                4.71318e-10         4.54282e-13
             0.852049                4.89148e-10         4.70987e-13
             0.852281                5.01779e-10         4.85398e-13
             0.852514                5.01591e-10         4.92661e-13
             0.852746                4.93824e-10         4.82776e-13
             0.852978                4.92473e-10         4.74478e-13
             0.853210                4.99202e-10         4.80651e-13
             0.853442                4.97735e-10         4.78742e-13
             0.853674                4.85033e-10         4.78195e-13
             0.853906                4.40178e-10         4.48259e-13
             0.854138                3.57520e-10         3.77484e-13
             0.854370                2.63735e-10         2.90575e-13
             0.854603                2.88946e-10         3.13073e-13
             0.854835                3.85924e-10         3.96893e-13
             0.855067                4.40019e-10         4.43133e-13
             0.855299                4.71070e-10         4.69064e-13
             0.855531                4.93167e-10         4.94953e-13
             0.855763                4.85959e-10         4.83969e-13
             0.855995                4.94127e-10         4.78483e-13
             0.856227                4.99643e-10         4.74434e-13
             0.856459                5.00848e-10         4.71512e-13
             0.856691                5.03455e-10         4.74896e-13
             0.856923                5.03978e-10         4.86446e-13
             0.857155                5.05587e-10         4.93869e-13
             0.857387                5.08286e-10         4.90475e-13
             0.857619                4.99568e-10         4.73152e-13
             0.857851                5.05955e-10         4.76788e-13
             0.858083                5.16051e-10         4.83190e-13
             0.858315                5.06181e-10         4.81837e-13
             0.858547                4.96728e-10         4.80156e-13
             0.858779                5.06075e-10         4.97716e-13
             0.859011                5.07173e-10         4.95964e-13
             0.859243                5.03986e-10         4.94394e-13
             0.859475                5.03006e-10         4.89141e-13
             0.859707                5.06926e-10         4.90996e-13
             0.859939                5.02023e-10         4.88380e-13
             0.860171                5.08990e-10         4.97923e-13
             0.860403                5.11464e-10         5.02948e-13
             0.860635                5.03030e-10         4.87996e-13
             0.860867                5.03243e-10         4.82546e-13
             0.861099                4.96907e-10         4.72866e-13
             0.861331                4.80863e-10         4.57173e-13
             0.861563                4.91580e-10         4.66428e-13
             0.861795                5.08599e-10         4.82835e-13
             0.862026                5.13590e-10         4.86008e-13
             0.862258                5.01946e-10         4.68088e-13
             0.862490                4.97544e-10         4.60620e-13
             0.862722                5.06054e-10         4.74798e-13
             0.862954                5.11439e-10         4.70038e-13
             0.863186                5.06649e-10         4.69593e-13
             0.863418                5.05805e-10         4.73055e-13
             0.863650                5.10115e-10         4.75592e-13
             0.863882                5.21979e-10         4.83857e-13
             0.864113                5.23709e-10         4.79263e-13
             0.864345                5.15469e-10         4.74790e-13
             0.864577                5.13063e-10         4.73229e-13
             0.864809                5.14182e-10         4.84383e-13
             0.865041                4.95870e-10         4.75392e-13
             0.865273                4.95411e-10         4.73739e-13
             0.865504                4.97742e-10         4.71416e-13
             0.865736                4.90336e-10         4.63278e-13
             0.865968                4.61698e-10         4.39862e-13
             0.866200                3.72783e-10         3.66136e-13
             0.866432                2.92285e-10         2.97619e-13
             0.866664                3.44864e-10         3.43769e-13
             0.866895                4.38463e-10         4.26022e-13
             0.867127                4.82940e-10         4.60967e-13
