# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7555 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 132935'          /                                                
# SPTYPE  = 'K2 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2004 Jul 05'        / UT date of SXD observations                    
# LXDUT   = '2002 May 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803497 / Minimum wavelength (um)                        
# MAXWAVE =              4.93929 / Maximum wavelength (um)                        
# V       =        6.69700000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.36400000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.59800000000 / 2MASS J magnitude                              
# JERR    =       0.200000000000 / 2MASS J magnitude error                        
# H       =        3.65400000000 / 2MASS H magnitude                              
# HERR    =       0.208000000000 / 2MASS H magnitude error                        
# KS      =        3.59000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.123584000000 / Relative error in the absolute flux calibration
# RV      =       -1.70329400000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.16000000000 / Intrinsic Color                                
# E(B-V)  =       0.204000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803497                1.06950e-10         1.78830e-13
             0.803699                1.07176e-10         1.78923e-13
             0.803902                1.08370e-10         1.81689e-13
             0.804104                1.08189e-10         1.80513e-13
             0.804307                1.07190e-10         1.79966e-13
             0.804509                1.05008e-10         1.76653e-13
             0.804711                1.02474e-10         1.75030e-13
             0.804914                1.00169e-10         1.70891e-13
             0.805116                1.00876e-10         1.72957e-13
             0.805319                1.03529e-10         1.75749e-13
             0.805521                1.04724e-10         1.78059e-13
             0.805723                1.05587e-10         1.79063e-13
             0.805926                1.06841e-10         1.80533e-13
             0.806128                1.07118e-10         1.81425e-13
             0.806331                1.06240e-10         1.81429e-13
             0.806533                1.05470e-10         1.78541e-13
             0.806735                1.05777e-10         1.80821e-13
             0.806938                1.03847e-10         1.78153e-13
             0.807140                1.01152e-10         1.74283e-13
             0.807169                1.00756e-10         1.50744e-13
             0.807402                1.00236e-10         1.56815e-13
             0.807636                1.00179e-10         1.66908e-13
             0.807869                1.01761e-10         1.68569e-13
             0.808102                1.03530e-10         1.57593e-13
             0.808335                1.01957e-10         1.51044e-13
             0.808568                1.00967e-10         1.48831e-13
             0.808802                1.02348e-10         1.55117e-13
             0.809035                1.03245e-10         1.63519e-13
             0.809268                1.00726e-10         1.66386e-13
             0.809501                9.71269e-11         1.55272e-13
             0.809734                9.84986e-11         1.48680e-13
             0.809968                1.00540e-10         1.48055e-13
             0.810201                1.01293e-10         1.49859e-13
             0.810434                1.02655e-10         1.57200e-13
             0.810667                1.01175e-10         1.64160e-13
             0.810900                1.00473e-10         1.61283e-13
             0.811133                1.00677e-10         1.53688e-13
             0.811366                1.01061e-10         1.48834e-13
             0.811599                1.00604e-10         1.47729e-13
             0.811833                9.78629e-11         1.47949e-13
             0.812066                9.83520e-11         1.54138e-13
             0.812299                1.00896e-10         1.65266e-13
             0.812532                1.02948e-10         1.60007e-13
             0.812765                1.02054e-10         1.52140e-13
             0.812998                1.00992e-10         1.46160e-13
             0.813231                1.00986e-10         1.48539e-13
             0.813464                1.01230e-10         1.56796e-13
             0.813697                1.02457e-10         1.65267e-13
             0.813930                1.02440e-10         1.64248e-13
             0.814163                1.02025e-10         1.55638e-13
             0.814396                1.01329e-10         1.50670e-13
             0.814629                1.00791e-10         1.50732e-13
             0.814862                1.01185e-10         1.54473e-13
             0.815095                1.00887e-10         1.58221e-13
             0.815328                1.01083e-10         1.65868e-13
             0.815561                1.01610e-10         1.62010e-13
             0.815794                1.02182e-10         1.54730e-13
             0.816027                1.03901e-10         1.52422e-13
             0.816260                1.00898e-10         1.51023e-13
             0.816493                9.91996e-11         1.56046e-13
             0.816726                1.01696e-10         1.65045e-13
             0.816959                1.02143e-10         1.67079e-13
             0.817192                1.02268e-10         1.59429e-13
             0.817425                1.02766e-10         1.52073e-13
             0.817658                1.01647e-10         1.47252e-13
             0.817891                1.01531e-10         1.52401e-13
             0.818124                1.01691e-10         1.59698e-13
             0.818357                9.99889e-11         1.64390e-13
             0.818590                9.85378e-11         1.56350e-13
             0.818823                9.88767e-11         1.50580e-13
             0.819056                1.00243e-10         1.49049e-13
             0.819289                1.03156e-10         1.52170e-13
             0.819521                1.01278e-10         1.51400e-13
