# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:22 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6740 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 201065'          /                                                
# SPTYPE  = 'K4 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806966 / Minimum wavelength (um)                        
# MAXWAVE =              4.07594 / Maximum wavelength (um)                        
# V       =        7.58400000000 / V magnitude                                    
# VERR    =      0.0290000000000 / V magnitude error                              
# (B-V)   =        1.79300000000 / B-V color                                      
# (B-V)ERR=      0.0270000000000 / B-V color error                                
# J       =        4.86800000000 / 2MASS J magnitude                              
# JERR    =       0.256000000000 / 2MASS J magnitude error                        
# H       =        3.93900000000 / 2MASS H magnitude                              
# HERR    =       0.260000000000 / 2MASS H magnitude error                        
# KS      =        3.66900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.149329000000 / Relative error in the absolute flux calibration
# RV      =       -5.85311560000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.46000000000 / Intrinsic Color                                
# E(B-V)  =       0.333000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806966                4.08677e-11         1.14156e-13
             0.807169                3.98570e-11         1.12890e-13
             0.807371                4.05617e-11         1.15489e-13
             0.807574                4.09223e-11         1.14293e-13
             0.807776                4.19797e-11         1.16088e-13
             0.807979                4.37505e-11         1.18730e-13
             0.808181                4.20418e-11         1.15681e-13
             0.808384                4.15704e-11         1.16021e-13
             0.808586                4.23165e-11         1.16981e-13
             0.808789                4.32083e-11         1.18551e-13
             0.808991                4.30220e-11         1.17886e-13
             0.809194                4.05945e-11         1.14885e-13
             0.809396                3.81573e-11         1.11549e-13
             0.809599                3.94086e-11         1.13936e-13
             0.809801                4.12808e-11         1.16039e-13
             0.810004                4.11987e-11         1.17517e-13
             0.810007                4.11844e-11         9.64375e-14
             0.810240                4.18912e-11         9.86596e-14
             0.810473                4.14348e-11         1.02274e-13
             0.810706                4.07733e-11         1.06827e-13
             0.810939                4.08528e-11         1.03293e-13
             0.811172                4.13218e-11         9.94079e-14
             0.811405                4.16453e-11         9.66710e-14
             0.811638                3.96790e-11         9.47144e-14
             0.811871                3.89624e-11         9.61203e-14
             0.812104                4.06247e-11         1.02409e-13
             0.812337                4.22821e-11         1.08371e-13
             0.812570                4.25347e-11         1.03279e-13
             0.812803                4.15786e-11         9.75888e-14
             0.813036                4.20670e-11         9.60282e-14
             0.813269                4.13498e-11         9.68027e-14
             0.813502                4.16514e-11         1.00129e-13
             0.813735                4.24969e-11         1.06375e-13
             0.813968                4.26305e-11         1.05332e-13
             0.814201                4.21563e-11         9.99161e-14
             0.814434                4.12790e-11         9.59173e-14
             0.814667                4.18237e-11         9.56026e-14
             0.814900                4.20530e-11         9.79905e-14
             0.815133                4.18998e-11         1.01767e-13
             0.815366                4.25359e-11         1.07294e-13
             0.815599                4.27538e-11         1.03210e-13
             0.815832                4.40944e-11         1.00462e-13
             0.816065                4.31944e-11         9.69027e-14
             0.816297                3.96981e-11         9.36698e-14
             0.816530                4.11027e-11         9.88036e-14
             0.816763                4.31352e-11         1.04949e-13
             0.816996                4.28629e-11         1.05972e-13
             0.817229                4.32019e-11         1.02040e-13
             0.817462                4.29130e-11         9.69867e-14
             0.817695                4.29849e-11         9.56196e-14
             0.817928                4.36110e-11         9.83865e-14
             0.818161                4.25873e-11         1.01948e-13
             0.818393                4.08251e-11         1.02869e-13
             0.818626                4.03352e-11         9.93820e-14
             0.818859                4.07972e-11         9.61748e-14
             0.819092                4.36702e-11         9.67563e-14
             0.819325                4.45350e-11         9.75673e-14
             0.819558                4.04147e-11         9.41817e-14
             0.819791                4.03288e-11         9.74340e-14
