# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 137759'          /                                                
# SPTYPE  = 'K2 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 23'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810535 / Minimum wavelength (um)                        
# MAXWAVE =              2.41724 / Maximum wavelength (um)                        
# V       =        3.29100000000 / V magnitude                                    
# VERR    =      0.0210000000000 / V magnitude error                              
# (B-V)   =        1.16600000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        1.29300000000 / 2MASS J magnitude                              
# JERR    =       0.220000000000 / 2MASS J magnitude error                        
# H       =       0.724000000000 / 2MASS H magnitude                              
# HERR    =       0.146000000000 / 2MASS H magnitude error                        
# KS      =       0.671000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DBC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.103933000000 / Relative error in the absolute flux calibration
# RV      =       -18.4061680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.16000000000 / Intrinsic Color                                
# E(B-V)  =     0.00600004000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810535                1.48437e-09         2.09107e-12
             0.810737                1.46016e-09         2.07298e-12
             0.810939                1.46848e-09         2.08973e-12
             0.811142                1.48005e-09         2.10696e-12
             0.811344                1.49354e-09         2.12437e-12
             0.811546                1.47903e-09         2.11039e-12
             0.811748                1.43140e-09         2.04446e-12
             0.811950                1.43322e-09         2.05470e-12
             0.812152                1.47302e-09         2.10710e-12
             0.812354                1.51324e-09         2.18668e-12
             0.812557                1.51859e-09         2.19186e-12
             0.812759                1.48393e-09         2.13871e-12
             0.812961                1.47926e-09         2.13279e-12
             0.813163                1.47724e-09         2.14095e-12
             0.813317                1.47951e-09         1.77762e-12
             0.813550                1.50127e-09         1.76035e-12
             0.813784                1.50311e-09         1.75810e-12
             0.814018                1.49780e-09         1.80689e-12
             0.814252                1.48465e-09         1.87308e-12
             0.814485                1.47600e-09         1.90453e-12
             0.814719                1.48138e-09         1.81677e-12
             0.814953                1.48167e-09         1.75830e-12
             0.815186                1.47935e-09         1.73143e-12
             0.815420                1.49124e-09         1.76712e-12
             0.815654                1.49927e-09         1.85478e-12
             0.815888                1.52321e-09         1.96816e-12
             0.816121                1.49446e-09         1.85843e-12
             0.816355                1.45010e-09         1.74721e-12
             0.816588                1.47811e-09         1.75482e-12
             0.816822                1.50572e-09         1.78158e-12
             0.817056                1.49476e-09         1.80373e-12
             0.817289                1.50667e-09         1.91175e-12
             0.817523                1.50314e-09         1.89390e-12
             0.817757                1.49904e-09         1.80794e-12
             0.817990                1.50443e-09         1.77728e-12
             0.818224                1.46937e-09         1.72186e-12
             0.818457                1.43353e-09         1.70767e-12
             0.818691                1.43660e-09         1.76372e-12
             0.818924                1.46039e-09         1.88637e-12
             0.819158                1.50769e-09         1.86221e-12
             0.819392                1.49668e-09         1.76690e-12
             0.819625                1.40362e-09         1.65209e-12
             0.819859                1.42261e-09         1.66228e-12
             0.820092                1.46822e-09         1.77218e-12
             0.820326                1.46852e-09         1.84854e-12
             0.820559                1.46517e-09         1.80517e-12
             0.820792                1.46111e-09         1.74032e-12
             0.821026                1.47547e-09         1.69370e-12
             0.821259                1.48290e-09         1.69563e-12
             0.821493                1.46261e-09         1.72118e-12
             0.821726                1.48810e-09         1.84298e-12
             0.821960                1.50059e-09         1.87648e-12
             0.822193                1.45808e-09         1.74463e-12
             0.822427                1.47756e-09         1.72076e-12
             0.822660                1.53958e-09         1.76788e-12
             0.822893                1.53804e-09         1.80416e-12
             0.823127                1.52345e-09         1.86421e-12
             0.823360                1.51286e-09         1.92257e-12
             0.823593                1.50771e-09         1.83978e-12
             0.823827                1.50256e-09         1.76202e-12
             0.824060                1.50524e-09         1.71378e-12
             0.824294                1.51184e-09         1.71932e-12
             0.824527                1.51443e-09         1.77270e-12
             0.824760                1.52308e-09         1.86442e-12
             0.824994                1.50986e-09         1.83357e-12
             0.825227                1.50516e-09         1.76872e-12
             0.825460                1.49574e-09         1.70681e-12
             0.825693                1.48018e-09         1.67848e-12
             0.825927                1.48275e-09         1.70419e-12
             0.826160                1.53447e-09         1.87240e-12
             0.826393                1.54616e-09         1.88405e-12
             0.826626                1.52361e-09         1.80921e-12
             0.826860                1.50505e-09         1.73269e-12
             0.827093                1.51907e-09         1.72337e-12
             0.827326                1.51541e-09         1.73722e-12
             0.827559                1.47768e-09         1.72387e-12
             0.827793                1.47166e-09         1.76818e-12
             0.828026                1.51664e-09         1.84104e-12
             0.828259                1.53174e-09         1.78897e-12
             0.828492                1.51674e-09         1.73422e-12
             0.828725                1.49884e-09         1.71324e-12
             0.828958                1.47678e-09         1.69175e-12
             0.829192                1.47959e-09         1.73416e-12
