# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7593 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 2901 '           /                                                
# SPTYPE  = 'K2 III Fe-1'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2004 Jul 05'        / UT date of SXD observations                    
# LXDUT   = '2002 May 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807546 / Minimum wavelength (um)                        
# MAXWAVE =              4.98444 / Maximum wavelength (um)                        
# V       =        6.91700000000 / V magnitude                                    
# VERR    =      0.0340000000000 / V magnitude error                              
# (B-V)   =        1.23200000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        5.13000000000 / 2MASS J magnitude                              
# JERR    =       0.300000000000 / 2MASS J magnitude error                        
# H       =        4.25000000000 / 2MASS H magnitude                              
# HERR    =       0.282000000000 / 2MASS H magnitude error                        
# KS      =        4.11600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.338000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.175576000000 / Relative error in the absolute flux calibration
# RV      =       -111.518270000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.16000000000 / Intrinsic Color                                
# E(B-V)  =      0.0720000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807546                5.20747e-11         1.21694e-13
             0.807749                5.24469e-11         1.22111e-13
             0.807951                5.34329e-11         1.24325e-13
             0.808154                5.36175e-11         1.25039e-13
             0.808356                5.29567e-11         1.23610e-13
             0.808559                5.25115e-11         1.22583e-13
             0.808761                5.31485e-11         1.23829e-13
             0.808963                5.33938e-11         1.24196e-13
             0.809166                5.31410e-11         1.25458e-13
             0.809368                5.15448e-11         1.22050e-13
             0.809571                5.13601e-11         1.22695e-13
             0.809773                5.19213e-11         1.23311e-13
             0.809976                5.23322e-11         1.23843e-13
             0.810178                5.28769e-11         1.25186e-13
             0.810380                5.33918e-11         1.25803e-13
             0.810583                5.32268e-11         1.25709e-13
             0.810785                5.27791e-11         1.25750e-13
             0.810803                5.27515e-11         1.05172e-13
             0.811037                5.27014e-11         1.07531e-13
             0.811270                5.27666e-11         1.14223e-13
             0.811504                5.26480e-11         1.15990e-13
             0.811737                5.14242e-11         1.07908e-13
             0.811971                5.14302e-11         1.03696e-13
             0.812204                5.28050e-11         1.03942e-13
             0.812438                5.35457e-11         1.06842e-13
             0.812671                5.32377e-11         1.11730e-13
             0.812905                5.30334e-11         1.17227e-13
             0.813138                5.29901e-11         1.13081e-13
             0.813372                5.26933e-11         1.07254e-13
             0.813605                5.32442e-11         1.05321e-13
             0.813839                5.31147e-11         1.06377e-13
             0.814072                5.31797e-11         1.10140e-13
             0.814305                5.28088e-11         1.13450e-13
             0.814539                5.26657e-11         1.16701e-13
             0.814772                5.27731e-11         1.11010e-13
             0.815006                5.26111e-11         1.06108e-13
             0.815239                5.29929e-11         1.06174e-13
             0.815472                5.29787e-11         1.10798e-13
             0.815706                5.30803e-11         1.12234e-13
             0.815939                5.34580e-11         1.18978e-13
             0.816173                5.21647e-11         1.12643e-13
             0.816406                5.18163e-11         1.07509e-13
             0.816639                5.26603e-11         1.07386e-13
             0.816873                5.33144e-11         1.10452e-13
             0.817106                5.31424e-11         1.10649e-13
             0.817339                5.32255e-11         1.14923e-13
             0.817573                5.32785e-11         1.18301e-13
             0.817806                5.31925e-11         1.09761e-13
             0.818039                5.30952e-11         1.06455e-13
             0.818273                5.21067e-11         1.06961e-13
             0.818506                5.03973e-11         1.06957e-13
             0.818739                5.09330e-11         1.07273e-13
             0.818972                5.22300e-11         1.13240e-13
             0.819206                5.32790e-11         1.19053e-13
             0.819439                5.22384e-11         1.07092e-13
             0.819672                5.01516e-11         1.01722e-13
             0.819906                5.09219e-11         1.01954e-13
             0.820139                5.20112e-11         1.11402e-13
             0.820372                5.16157e-11         1.09477e-13
