# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:32 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7664 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 212466'          /                                                
# SPTYPE  = 'K2 O-Ia '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804107 / Minimum wavelength (um)                        
# MAXWAVE =              5.04583 / Maximum wavelength (um)                        
# V       =        6.62600000000 / V magnitude                                    
# VERR    =      0.0520000000000 / V magnitude error                              
# (B-V)   =        2.27500000000 / B-V color                                      
# (B-V)ERR=      0.0270000000000 / B-V color error                                
# J       =        3.09000000000 / 2MASS J magnitude                              
# JERR    =       0.212000000000 / 2MASS J magnitude error                        
# H       =        2.46200000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        2.02700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.238000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.122141000000 / Relative error in the absolute flux calibration
# RV      =       -51.9596740000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.23000000000 / Intrinsic Color                                
# E(B-V)  =        1.04500000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804107                7.35103e-10         1.54169e-12
             0.804310                7.01782e-10         1.52729e-12
             0.804512                6.65126e-10         1.51132e-12
             0.804714                6.10199e-10         1.45616e-12
             0.804917                5.90334e-10         1.46702e-12
             0.805119                6.13569e-10         1.47648e-12
             0.805322                6.39793e-10         1.49312e-12
             0.805524                6.61261e-10         1.50498e-12
             0.805726                6.96928e-10         1.53148e-12
             0.805929                7.25792e-10         1.54728e-12
             0.806131                7.01548e-10         1.54259e-12
             0.806334                6.65757e-10         1.50525e-12
             0.806536                6.75350e-10         1.52676e-12
             0.806738                6.92871e-10         1.53685e-12
             0.806941                6.71217e-10         1.52391e-12
             0.807143                6.36907e-10         1.50359e-12
             0.807346                6.15223e-10         1.48590e-12
             0.807548                6.06453e-10         1.48452e-12
             0.807750                6.16426e-10         1.49396e-12
             0.807804                6.25102e-10         1.41797e-12
             0.808037                6.61464e-10         1.52580e-12
             0.808271                6.43911e-10         1.52665e-12
             0.808504                6.12310e-10         1.40711e-12
             0.808737                6.24177e-10         1.35810e-12
             0.808970                6.53178e-10         1.36164e-12
             0.809204                6.20655e-10         1.37192e-12
             0.809437                5.65633e-10         1.41384e-12
             0.809670                5.83434e-10         1.50798e-12
             0.809903                6.07009e-10         1.45436e-12
             0.810137                6.14152e-10         1.37553e-12
             0.810370                6.21638e-10         1.34093e-12
             0.810603                5.90577e-10         1.32225e-12
             0.810836                5.77173e-10         1.35999e-12
             0.811069                6.05104e-10         1.46442e-12
             0.811303                6.24272e-10         1.50483e-12
             0.811536                6.20133e-10         1.41127e-12
             0.811769                5.94122e-10         1.33777e-12
             0.812002                6.13925e-10         1.32528e-12
             0.812235                6.08662e-10         1.34287e-12
             0.812468                6.09407e-10         1.40647e-12
             0.812702                6.07242e-10         1.49810e-12
             0.812935                6.03294e-10         1.44579e-12
             0.813168                6.24854e-10         1.37282e-12
             0.813401                6.21352e-10         1.32663e-12
             0.813634                6.42920e-10         1.35248e-12
             0.813867                6.25500e-10         1.38602e-12
             0.814100                6.22184e-10         1.45049e-12
             0.814333                6.08205e-10         1.47338e-12
             0.814567                5.98230e-10         1.39482e-12
             0.814800                6.26630e-10         1.35709e-12
             0.815033                6.19500e-10         1.37241e-12
             0.815266                6.12467e-10         1.35384e-12
             0.815499                6.28742e-10         1.41372e-12
             0.815732                6.34423e-10         1.49595e-12
             0.815965                6.58197e-10         1.47505e-12
             0.816198                6.48260e-10         1.39765e-12
             0.816431                6.08747e-10         1.35086e-12
             0.816664                6.13868e-10         1.38350e-12
             0.816897                6.14139e-10         1.40616e-12
             0.817130                6.21151e-10         1.44362e-12
             0.817363                6.32140e-10         1.52130e-12
             0.817596                6.15281e-10         1.40209e-12
             0.817829                6.20411e-10         1.34152e-12
             0.818062                6.30903e-10         1.36819e-12
             0.818295                5.87444e-10         1.36801e-12
             0.818528                5.25622e-10         1.35324e-12
             0.818761                5.41041e-10         1.39200e-12
             0.818994                5.97112e-10         1.42006e-12
             0.819227                6.62937e-10         1.40315e-12
             0.819460                6.44760e-10         1.34367e-12
             0.819693                5.37162e-10         1.27501e-12
             0.819926                5.72714e-10         1.29543e-12
             0.820159                6.04005e-10         1.38537e-12
             0.820392                5.77698e-10         1.45289e-12
             0.820625                5.77623e-10         1.34856e-12
             0.820858                5.85048e-10         1.27726e-12
             0.821091                6.01137e-10         1.25394e-12
             0.821324                6.27173e-10         1.27981e-12
             0.821557                6.15413e-10         1.30776e-12
             0.821789                6.18991e-10         1.36213e-12
             0.822022                6.33250e-10         1.37145e-12
             0.822255                5.80325e-10         1.29240e-12
             0.822488                5.85117e-10         1.24939e-12
             0.822721                6.54770e-10         1.28520e-12
             0.822954                6.62572e-10         1.34726e-12
             0.823187                6.29178e-10         1.43139e-12
             0.823420                6.23642e-10         1.48076e-12
             0.823652                6.41023e-10         1.38763e-12
             0.823885                6.44169e-10         1.30732e-12
             0.824118                6.38456e-10         1.25250e-12
             0.824351                6.32424e-10         1.24679e-12
             0.824584                6.38424e-10         1.27970e-12
             0.824817                6.51463e-10         1.34260e-12
             0.825049                6.11106e-10         1.31538e-12
             0.825282                5.99916e-10         1.24858e-12
             0.825515                6.15893e-10         1.22147e-12
             0.825748                6.34338e-10         1.21962e-12
             0.825980                6.35060e-10         1.24717e-12
             0.826213                6.83186e-10         1.30854e-12
             0.826446                6.94654e-10         1.35416e-12
             0.826679                6.52155e-10         1.30555e-12
             0.826912                6.35281e-10         1.23397e-12
             0.827144                6.69246e-10         1.22032e-12
             0.827377                6.69793e-10         1.21510e-12
             0.827610                6.20411e-10         1.22589e-12
             0.827843                6.25050e-10         1.28487e-12
             0.828075                6.66644e-10         1.32883e-12
             0.828308                6.73071e-10         1.28445e-12
             0.828541                6.46308e-10         1.23938e-12
             0.828773                6.46571e-10         1.21468e-12
             0.829006                6.28944e-10         1.20379e-12
             0.829239                6.33946e-10         1.25338e-12
             0.829472                6.52233e-10         1.29182e-12
             0.829704                6.28299e-10         1.26737e-12
             0.829937                5.94383e-10         1.20952e-12
             0.830170                6.09479e-10         1.18243e-12
             0.830402                6.41450e-10         1.22155e-12
             0.830635                6.22186e-10         1.19642e-12
             0.830868                5.92926e-10         1.21608e-12
             0.831100                5.88814e-10         1.23676e-12
             0.831333                5.90239e-10         1.19230e-12
             0.831566                5.99761e-10         1.16526e-12
             0.831798                6.29555e-10         1.16119e-12
             0.832031                6.54982e-10         1.19061e-12
             0.832263                6.13704e-10         1.18854e-12
             0.832496                5.96927e-10         1.20985e-12
             0.832729                5.69229e-10         1.18805e-12
             0.832961                5.19741e-10         1.11578e-12
             0.833194                5.59287e-10         1.11316e-12
             0.833426                5.51138e-10         1.09984e-12
             0.833659                5.54616e-10         1.10818e-12
             0.833892                5.79329e-10         1.13947e-12
             0.834124                5.88103e-10         1.17163e-12
             0.834357                6.29218e-10         1.18836e-12
             0.834589                6.14941e-10         1.13812e-12
             0.834822                5.75670e-10         1.09050e-12
             0.835054                5.63674e-10         1.07873e-12
             0.835287                6.03423e-10         1.11506e-12
             0.835520                6.36663e-10         1.15197e-12
             0.835752                6.19562e-10         1.16146e-12
             0.835985                6.08081e-10         1.12606e-12
             0.836217                6.21424e-10         1.10752e-12
             0.836450                6.22792e-10         1.09764e-12
             0.836682                5.92163e-10         1.08162e-12
             0.836915                6.28032e-10         1.11162e-12
             0.837147                6.48295e-10         1.14601e-12
             0.837380                6.20614e-10         1.11942e-12
             0.837612                6.27082e-10         1.10505e-12
             0.837845                6.14258e-10         1.08479e-12
             0.838077                6.27722e-10         1.08048e-12
             0.838310                6.46747e-10         1.09820e-12
             0.838542                5.88207e-10         1.07950e-12
             0.838775                5.59924e-10         1.08018e-12
             0.839007                5.09849e-10         1.03710e-12
             0.839239                5.38944e-10         1.02855e-12
             0.839472                6.23843e-10         1.06718e-12
             0.839704                6.44724e-10         1.07333e-12
             0.839937                6.25411e-10         1.06805e-12
             0.840169                6.27950e-10         1.08166e-12
             0.840402                6.27696e-10         1.08270e-12
             0.840634                6.25336e-10         1.06196e-12
             0.840866                6.39780e-10         1.05843e-12
             0.841099                6.57181e-10         1.06080e-12
             0.841331                6.21841e-10         1.05032e-12
             0.841564                6.11429e-10         1.05216e-12
             0.841796                6.55999e-10         1.08970e-12
             0.842028                6.39968e-10         1.06931e-12
             0.842261                6.23883e-10         1.04018e-12
             0.842493                6.36338e-10         1.03363e-12
             0.842725                6.02189e-10         1.01189e-12
             0.842958                5.97338e-10         1.01203e-12
             0.843190                6.66552e-10         1.06845e-12
             0.843422                6.66347e-10         1.07900e-12
             0.843655                5.80361e-10         1.00548e-12
             0.843887                5.55905e-10         9.78281e-13
             0.844119                5.77013e-10         9.82305e-13
             0.844352                6.01218e-10         9.98187e-13
             0.844584                6.38308e-10         1.03975e-12
             0.844816                6.26883e-10         1.04740e-12
             0.845049                6.33400e-10         1.05397e-12
             0.845281                6.65308e-10         1.05571e-12
             0.845513                6.91370e-10         1.05320e-12
             0.845746                6.62245e-10         1.02176e-12
             0.845978                6.31246e-10         1.00413e-12
             0.846210                6.48177e-10         1.02387e-12
             0.846442                6.67394e-10         1.05327e-12
             0.846675                6.27291e-10         1.00529e-12
             0.846907                5.48772e-10         9.50748e-13
             0.847139                5.26847e-10         9.34015e-13
             0.847372                5.85566e-10         9.60058e-13
             0.847604                6.53438e-10         1.00126e-12
             0.847836                6.70896e-10         1.02068e-12
             0.848068                6.44830e-10         1.00619e-12
             0.848300                6.16053e-10         9.75618e-13
             0.848533                6.12467e-10         9.57823e-13
             0.848765                6.26608e-10         9.62901e-13
             0.848997                6.17204e-10         9.66484e-13
             0.849229                6.15649e-10         9.67863e-13
             0.849462                5.87215e-10         9.57393e-13
             0.849694                5.17607e-10         9.15473e-13
             0.849926                3.77517e-10         8.30849e-13
             0.850158                3.34773e-10         8.01969e-13
             0.850390                4.31663e-10         8.40076e-13
             0.850622                5.07461e-10         8.85187e-13
             0.850855                5.79776e-10         9.35713e-13
             0.851087                6.27474e-10         9.68782e-13
             0.851319                6.03433e-10         9.38212e-13
             0.851551                5.18002e-10         8.78616e-13
             0.851783                4.96968e-10         8.57899e-13
             0.852015                5.66574e-10         8.98403e-13
             0.852248                5.94965e-10         9.16671e-13
             0.852480                5.85091e-10         9.16950e-13
             0.852712                5.61867e-10         9.01393e-13
             0.852944                5.47455e-10         8.85808e-13
             0.853176                5.36875e-10         8.75493e-13
             0.853408                5.12556e-10         8.57996e-13
             0.853640                4.77943e-10         8.39380e-13
             0.853872                4.23569e-10         8.16996e-13
             0.854104                3.48327e-10         7.74725e-13
             0.854337                2.53986e-10         7.29325e-13
             0.854569                2.32903e-10         7.07817e-13
             0.854801                3.06721e-10         7.33202e-13
             0.855033                3.81163e-10         7.67359e-13
             0.855265                4.45098e-10         8.00779e-13
             0.855497                5.05942e-10         8.40078e-13
             0.855729                5.15326e-10         8.46421e-13
             0.855961                5.32583e-10         8.46478e-13
             0.856193                5.72557e-10         8.70202e-13
             0.856425                5.89002e-10         8.72344e-13
             0.856657                5.91023e-10         8.73409e-13
             0.856889                5.92303e-10         8.81943e-13
             0.857121                6.01179e-10         8.85543e-13
             0.857353                6.12556e-10         8.87695e-13
             0.857585                6.16784e-10         8.86864e-13
             0.857817                6.25507e-10         8.83149e-13
             0.858049                6.46897e-10         9.02539e-13
             0.858281                6.30617e-10         8.95590e-13
             0.858513                5.97064e-10         8.76507e-13
             0.858745                6.11985e-10         8.89826e-13
             0.858977                6.32305e-10         8.96484e-13
             0.859209                6.25543e-10         8.91632e-13
             0.859441                6.15193e-10         8.78174e-13
             0.859673                6.19660e-10         8.78493e-13
             0.859905                6.10315e-10         8.74540e-13
             0.860137                6.26589e-10         8.89153e-13
             0.860369                6.50819e-10         9.07749e-13
             0.860601                6.28578e-10         8.84135e-13
             0.860833                6.21710e-10         8.71861e-13
             0.861065                6.22497e-10         8.70211e-13
             0.861297                5.70602e-10         8.34317e-13
             0.861529                5.63853e-10         8.26399e-13
             0.861761                6.13249e-10         8.60632e-13
             0.861993                6.29884e-10         8.65931e-13
             0.862225                6.13123e-10         8.44713e-13
             0.862457                5.91785e-10         8.24945e-13
             0.862688                6.20167e-10         8.34806e-13
             0.862920                6.36420e-10         8.44688e-13
             0.863152                6.31263e-10         8.46255e-13
             0.863384                6.29976e-10         8.44381e-13
             0.863616                6.33929e-10         8.49010e-13
             0.863848                6.53375e-10         8.56372e-13
             0.864080                6.62227e-10         8.57414e-13
             0.864312                6.42736e-10         8.47375e-13
             0.864543                6.19874e-10         8.41647e-13
             0.864775                6.11706e-10         8.36435e-13
             0.865007                5.73964e-10         8.15035e-13
             0.865239                5.50882e-10         7.97572e-13
             0.865471                5.48424e-10         7.99387e-13
             0.865703                5.18121e-10         7.80944e-13
             0.865935                4.58187e-10         7.39398e-13
             0.866166                3.82173e-10         7.00203e-13
             0.866398                2.77667e-10         6.46927e-13
             0.866630                2.89278e-10         6.51100e-13
             0.866862                3.99483e-10         7.02150e-13
             0.867094                4.73633e-10         7.36065e-13
             0.867326                5.15088e-10         7.61523e-13
             0.867557                5.19135e-10         7.65344e-13
             0.867789                5.43919e-10         7.78431e-13
             0.868021                5.81647e-10         8.05778e-13
             0.868253                5.78789e-10         7.96424e-13
             0.868485                5.86674e-10         7.99388e-13
             0.868716                6.14103e-10         8.14420e-13
             0.868948                5.45178e-10         7.68715e-13
             0.869180                5.03911e-10         7.36525e-13
             0.869412                5.84230e-10         7.85584e-13
             0.869643                6.27322e-10         8.05822e-13
             0.869875                6.35735e-10         8.10165e-13
             0.870107                6.24916e-10         7.98119e-13
             0.870339                6.08330e-10         7.89097e-13
             0.870570                6.17679e-10         7.92256e-13
             0.870802                6.50238e-10         8.12212e-13
             0.871034                6.51669e-10         8.22883e-13
             0.871266                6.15453e-10         7.95904e-13
             0.871497                6.03668e-10         7.80950e-13
             0.871729                6.30600e-10         7.97693e-13
             0.871961                6.41092e-10         8.00805e-13
             0.872193                6.59133e-10         8.16318e-13
             0.872424                6.82119e-10         8.41094e-13
             0.872656                6.73574e-10         8.34027e-13
             0.872888                6.43995e-10         8.20861e-13
             0.873119                6.20076e-10         8.00114e-13
             0.873351                6.48778e-10         8.16468e-13
             0.873583                6.73423e-10         8.35195e-13
             0.873814                6.55751e-10         8.23475e-13
             0.874046                6.70240e-10         8.34537e-13
             0.874278                6.61983e-10         8.31246e-13
             0.874509                6.46457e-10         8.15495e-13
             0.874741                6.47676e-10         8.15045e-13
             0.874973                6.45532e-10         8.14139e-13
             0.875204                6.14502e-10         7.89448e-13
             0.875436                6.02215e-10         7.82913e-13
             0.875668                6.36895e-10         8.08421e-13
             0.875899                6.29329e-10         8.03778e-13
             0.876131                6.40926e-10         8.07723e-13
             0.876363                6.76149e-10         8.31195e-13
             0.876594                6.43066e-10         8.08534e-13
             0.876826                6.33541e-10         7.99903e-13
             0.877057                6.51692e-10         8.12226e-13
