# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:43 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7599 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 3765 '           /                                                
# SPTYPE  = 'K2 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2000 Oct 20'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806683 / Minimum wavelength (um)                        
# MAXWAVE =              5.00050 / Maximum wavelength (um)                        
# V       =        7.36300000000 / V magnitude                                    
# VERR    =     0.00600000000000 / V magnitude error                              
# (B-V)   =       0.942000000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        5.69400000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        5.27200000000 / 2MASS H magnitude                              
# HERR    =      0.0510000000000 / 2MASS H magnitude error                        
# KS      =        5.16400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0128812000000 / Relative error in the absolute flux calibration
# RV      =       -61.6424450000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.920000000000 / Intrinsic Color                                
# E(B-V)  =      0.0220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806683                3.60048e-11         7.03009e-14
             0.806885                3.57491e-11         7.00526e-14
             0.807088                3.50844e-11         6.91849e-14
             0.807291                3.48361e-11         6.88812e-14
             0.807493                3.47969e-11         6.89448e-14
             0.807696                3.48179e-11         6.92969e-14
             0.807899                3.52198e-11         6.95944e-14
             0.808101                3.53804e-11         7.00577e-14
             0.808304                3.50475e-11         6.93640e-14
             0.808507                3.47386e-11         6.92940e-14
             0.808709                3.42325e-11         6.87434e-14
             0.808912                3.46578e-11         6.94552e-14
             0.809114                3.49785e-11         7.01625e-14
             0.809317                3.45219e-11         6.99490e-14
             0.809520                3.39305e-11         6.86402e-14
             0.809722                3.41252e-11         6.93221e-14
             0.809925                3.40223e-11         6.92981e-14
             0.809928                3.40086e-11         5.59719e-14
             0.810161                3.38646e-11         5.68224e-14
             0.810394                3.45373e-11         5.97895e-14
             0.810628                3.49506e-11         6.33322e-14
             0.810861                3.47442e-11         6.14359e-14
             0.811094                3.48611e-11         5.95985e-14
             0.811327                3.49972e-11         5.71438e-14
             0.811560                3.48770e-11         5.70100e-14
             0.811793                3.46115e-11         5.86551e-14
             0.812026                3.45917e-11         6.06716e-14
             0.812259                3.49784e-11         6.31836e-14
             0.812492                3.52331e-11         6.03818e-14
             0.812725                3.51732e-11         5.79413e-14
             0.812958                3.49342e-11         5.67686e-14
             0.813191                3.48822e-11         5.69393e-14
             0.813424                3.50435e-11         5.90462e-14
             0.813657                3.51709e-11         6.23639e-14
             0.813890                3.51108e-11         6.22730e-14
             0.814123                3.50813e-11         5.92512e-14
             0.814357                3.49823e-11         5.71695e-14
             0.814589                3.48038e-11         5.67493e-14
             0.814822                3.49020e-11         5.76229e-14
             0.815055                3.48703e-11         5.98108e-14
             0.815288                3.47970e-11         6.27427e-14
             0.815521                3.49314e-11         6.07081e-14
             0.815754                3.49290e-11         5.86731e-14
             0.815987                3.51126e-11         5.73965e-14
             0.816220                3.49199e-11         5.69710e-14
             0.816453                3.45967e-11         5.88695e-14
             0.816686                3.47328e-11         6.17888e-14
             0.816919                3.47620e-11         6.26998e-14
             0.817152                3.49345e-11         6.06989e-14
             0.817385                3.48319e-11         5.80719e-14
             0.817618                3.47714e-11         5.67879e-14
             0.817851                3.49428e-11         5.66702e-14
             0.818084                3.47307e-11         5.89470e-14
             0.818317                3.36311e-11         6.07930e-14
             0.818550                3.23441e-11         5.78830e-14
             0.818783                3.26434e-11         5.63239e-14
             0.819016                3.41119e-11         5.59325e-14
             0.819248                3.46522e-11         5.60413e-14
             0.819481                3.38050e-11         5.62190e-14
             0.819714                3.19619e-11         5.60850e-14
