# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:14 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6730 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 114960'          /                                                
# SPTYPE  = 'K3.5 IIIb CN0.5 CH0.5' / Spectral Type                               
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 25'        / UT date of SXD observations                    
# LXDUT   = '2003 May 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.812028 / Minimum wavelength (um)                        
# MAXWAVE =              4.12198 / Maximum wavelength (um)                        
# V       =        6.56500000000 / V magnitude                                    
# VERR    =      0.0170000000000 / V magnitude error                              
# (B-V)   =        1.41200000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        4.20700000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        3.35800000000 / 2MASS H magnitude                              
# HERR    =       0.242000000000 / 2MASS H magnitude error                        
# KS      =        3.33900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.268000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.146650000000 / Relative error in the absolute flux calibration
# RV      =        12.6320280000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.35000000000 / Intrinsic Color                                
# E(B-V)  =      0.0619999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812028                1.00503e-10         2.51716e-13
             0.812231                1.05413e-10         2.66123e-13
             0.812433                1.07870e-10         2.69859e-13
             0.812635                1.05575e-10         2.65976e-13
             0.812837                1.03437e-10         2.61392e-13
             0.813040                1.04521e-10         2.63795e-13
             0.813242                1.03278e-10         2.62175e-13
             0.813444                1.03843e-10         2.66374e-13
             0.813647                1.06017e-10         2.70209e-13
             0.813849                1.06292e-10         2.73639e-13
             0.814051                1.06081e-10         2.71872e-13
             0.814253                1.03946e-10         2.68930e-13
             0.814456                1.03411e-10         2.67839e-13
             0.814658                1.03637e-10         2.67415e-13
             0.814848                1.04387e-10         2.13863e-13
             0.815081                1.04290e-10         2.16103e-13
             0.815315                1.04996e-10         2.21170e-13
             0.815548                1.05175e-10         2.37836e-13
             0.815781                1.07046e-10         2.44900e-13
             0.816015                1.05855e-10         2.24594e-13
             0.816248                9.85233e-11         2.08903e-13
             0.816482                1.00149e-10         2.10198e-13
             0.816715                1.06015e-10         2.22043e-13
             0.816948                1.05747e-10         2.26997e-13
             0.817182                1.06207e-10         2.41710e-13
             0.817415                1.06056e-10         2.35675e-13
             0.817648                1.05728e-10         2.19147e-13
             0.817881                1.06405e-10         2.19804e-13
             0.818115                1.05237e-10         2.18282e-13
             0.818348                1.01444e-10         2.16346e-13
             0.818581                1.00414e-10         2.20720e-13
             0.818815                1.01598e-10         2.28334e-13
             0.819048                1.06142e-10         2.28675e-13
             0.819281                1.07953e-10         2.20219e-13
             0.819514                9.84656e-11         2.05364e-13
             0.819748                9.80134e-11         2.02619e-13
             0.819981                1.02850e-10         2.20978e-13
             0.820214                1.02886e-10         2.28514e-13
             0.820447                1.02352e-10         2.18683e-13
             0.820680                1.01776e-10         2.07038e-13
             0.820914                1.02997e-10         2.05068e-13
             0.821147                1.06048e-10         2.11508e-13
             0.821380                1.04964e-10         2.17441e-13
             0.821613                1.05460e-10         2.25208e-13
             0.821846                1.09269e-10         2.37256e-13
             0.822079                1.05530e-10         2.19100e-13
             0.822313                1.04628e-10         2.12771e-13
             0.822546                1.09129e-10         2.17364e-13
             0.822779                1.10310e-10         2.25773e-13
             0.823012                1.08773e-10         2.34934e-13
             0.823245                1.07537e-10         2.40459e-13
             0.823478                1.07838e-10         2.30075e-13
             0.823711                1.07181e-10         2.21099e-13
             0.823944                1.07141e-10         2.11907e-13
             0.824177                1.07902e-10         2.12941e-13
             0.824411                1.07389e-10         2.17329e-13
             0.824644                1.09150e-10         2.27821e-13
             0.824877                1.08369e-10         2.28143e-13
             0.825110                1.08076e-10         2.19594e-13
             0.825343                1.04283e-10         2.05863e-13
