# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7603 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 9852 '           /                                                
# SPTYPE  = 'K0.5 III CN1'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808144 / Minimum wavelength (um)                        
# MAXWAVE =              5.00002 / Maximum wavelength (um)                        
# V       =        7.93000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.46000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.33900000000 / 2MASS J magnitude                              
# JERR    =      0.0410000000000 / 2MASS J magnitude error                        
# H       =        4.77500000000 / 2MASS H magnitude                              
# HERR    =      0.0230000000000 / 2MASS H magnitude error                        
# KS      =        4.57600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0150000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0120128000000 / Relative error in the absolute flux calibration
# RV      =       -30.9604230000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.05000000000 / Intrinsic Color                                
# E(B-V)  =       0.410000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808144                5.46587e-11         1.42190e-13
             0.808346                5.26236e-11         1.39083e-13
             0.808549                5.29265e-11         1.39254e-13
             0.808751                5.39506e-11         1.41279e-13
             0.808953                5.49185e-11         1.44423e-13
             0.809156                5.26958e-11         1.39558e-13
             0.809358                4.99749e-11         1.37204e-13
             0.809561                4.99709e-11         1.36636e-13
             0.809763                5.23783e-11         1.40212e-13
             0.809966                5.25296e-11         1.40652e-13
             0.810168                5.32085e-11         1.41375e-13
             0.810370                5.35978e-11         1.42262e-13
             0.810573                5.21053e-11         1.41184e-13
             0.810775                5.14345e-11         1.39465e-13
             0.810978                5.22575e-11         1.41308e-13
             0.811180                5.26741e-11         1.42659e-13
             0.811309                5.31676e-11         1.28641e-13
             0.811542                5.23712e-11         1.20996e-13
             0.811775                5.10061e-11         1.16074e-13
             0.812009                5.16855e-11         1.21594e-13
             0.812242                5.27428e-11         1.22039e-13
             0.812475                5.40295e-11         1.30263e-13
             0.812708                5.31254e-11         1.31612e-13
             0.812942                5.25008e-11         1.23732e-13
             0.813175                5.26223e-11         1.19288e-13
             0.813408                5.28548e-11         1.18502e-13
             0.813641                5.35897e-11         1.22336e-13
             0.813875                5.32276e-11         1.27173e-13
             0.814108                5.28120e-11         1.31929e-13
             0.814341                5.25309e-11         1.31982e-13
             0.814574                5.28806e-11         1.23225e-13
             0.814808                5.32193e-11         1.19602e-13
             0.815041                5.24662e-11         1.19930e-13
             0.815274                5.26993e-11         1.26921e-13
             0.815507                5.35137e-11         1.30375e-13
             0.815740                5.38677e-11         1.35729e-13
             0.815974                5.50801e-11         1.29480e-13
             0.816207                5.29658e-11         1.21366e-13
             0.816440                5.12436e-11         1.20228e-13
             0.816673                5.28531e-11         1.25273e-13
             0.816906                5.33472e-11         1.27099e-13
             0.817140                5.35463e-11         1.32512e-13
             0.817373                5.39331e-11         1.31225e-13
             0.817606                5.34665e-11         1.21731e-13
             0.817839                5.37140e-11         1.20390e-13
             0.818072                5.36307e-11         1.23515e-13
             0.818305                5.22222e-11         1.22535e-13
             0.818538                5.14261e-11         1.24306e-13
             0.818771                5.13770e-11         1.27590e-13
             0.819004                5.19165e-11         1.23773e-13
             0.819238                5.43319e-11         1.22628e-13
             0.819471                5.29464e-11         1.18187e-13
             0.819704                5.02621e-11         1.15300e-13
             0.819937                5.18098e-11         1.20046e-13
             0.820170                5.24257e-11         1.26813e-13
             0.820403                5.22521e-11         1.24957e-13
             0.820636                5.20509e-11         1.19395e-13
             0.820869                5.16809e-11         1.13239e-13
             0.821102                5.25713e-11         1.16475e-13
             0.821335                5.33131e-11         1.16341e-13
