# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:12 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6758 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 99998'           /                                                
# SPTYPE  = 'K3+ III Fe-0.5'     / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 May 29'        / UT date of SXD observations                    
# LXDUT   = '2003 May 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811483 / Minimum wavelength (um)                        
# MAXWAVE =              4.12330 / Maximum wavelength (um)                        
# V       =        4.67500000000 / V magnitude                                    
# VERR    =     0.00800000000000 / V magnitude error                              
# (B-V)   =        1.53100000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        2.16000000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        1.39000000000 / 2MASS H magnitude                              
# HERR    =       0.244000000000 / 2MASS H magnitude error                        
# KS      =        1.24700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.264000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.148613000000 / Relative error in the absolute flux calibration
# RV      =        49.3906120000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.26000000000 / Intrinsic Color                                
# E(B-V)  =       0.271000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811483                8.37675e-10         1.57585e-12
             0.811686                8.01061e-10         1.53391e-12
             0.811888                7.85512e-10         1.52725e-12
             0.812090                8.10737e-10         1.54631e-12
             0.812292                8.41887e-10         1.59956e-12
             0.812495                8.49507e-10         1.61105e-12
             0.812697                8.45784e-10         1.60707e-12
             0.812899                8.42410e-10         1.60113e-12
             0.813102                8.40432e-10         1.61142e-12
             0.813304                8.30206e-10         1.60511e-12
             0.813506                8.28798e-10         1.61858e-12
             0.813708                8.42109e-10         1.61716e-12
             0.813911                8.52647e-10         1.64690e-12
             0.814113                8.45585e-10         1.65858e-12
             0.814253                8.38831e-10         1.40059e-12
             0.814486                8.24708e-10         1.32561e-12
             0.814720                8.28302e-10         1.31450e-12
             0.814953                8.35071e-10         1.34609e-12
             0.815186                8.35902e-10         1.39313e-12
             0.815419                8.42523e-10         1.47511e-12
             0.815653                8.43642e-10         1.44195e-12
             0.815886                8.55543e-10         1.38270e-12
             0.816119                8.30449e-10         1.33068e-12
             0.816352                7.99242e-10         1.32192e-12
             0.816586                8.25562e-10         1.36176e-12
             0.816819                8.48943e-10         1.43937e-12
             0.817052                8.48782e-10         1.48630e-12
             0.817285                8.47496e-10         1.39136e-12
             0.817518                8.42951e-10         1.33614e-12
             0.817751                8.45072e-10         1.34082e-12
             0.817985                8.49086e-10         1.35357e-12
             0.818218                8.36587e-10         1.37813e-12
             0.818451                8.07050e-10         1.40302e-12
             0.818684                8.00480e-10         1.37674e-12
             0.818917                8.11890e-10         1.33814e-12
             0.819150                8.49734e-10         1.33613e-12
             0.819383                8.50215e-10         1.31677e-12
             0.819616                7.98745e-10         1.31848e-12
             0.819850                7.98232e-10         1.34571e-12
             0.820083                8.19668e-10         1.41941e-12
             0.820316                8.16688e-10         1.34642e-12
             0.820549                8.05749e-10         1.27875e-12
             0.820782                8.03650e-10         1.25524e-12
             0.821015                8.24077e-10         1.27411e-12
             0.821248                8.31714e-10         1.34865e-12
             0.821481                8.19403e-10         1.36883e-12
             0.821714                8.33049e-10         1.37443e-12
             0.821947                8.50895e-10         1.34122e-12
             0.822180                8.26448e-10         1.27321e-12
             0.822413                8.33290e-10         1.28227e-12
             0.822646                8.58677e-10         1.34921e-12
             0.822879                8.63712e-10         1.42676e-12
             0.823112                8.52263e-10         1.45618e-12
             0.823345                8.40797e-10         1.36453e-12
             0.823578                8.42085e-10         1.30104e-12
             0.823811                8.48808e-10         1.28164e-12
             0.824044                8.40080e-10         1.27393e-12
             0.824277                8.31175e-10         1.29772e-12
             0.824510                8.41086e-10         1.35650e-12
