# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:52 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7625 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 187238'          /                                                
# SPTYPE  = 'K3 Iab-Ib'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808450 / Minimum wavelength (um)                        
# MAXWAVE =              5.03545 / Maximum wavelength (um)                        
# V       =        7.10000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.04000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.62500000000 / 2MASS J magnitude                              
# JERR    =       0.268000000000 / 2MASS J magnitude error                        
# H       =        2.74900000000 / 2MASS H magnitude                              
# HERR    =       0.204000000000 / 2MASS H magnitude error                        
# KS      =        2.41800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.268000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.138842000000 / Relative error in the absolute flux calibration
# RV      =        18.2229440000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.42000000000 / Intrinsic Color                                
# E(B-V)  =       0.620000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808450                2.54624e-10         1.09366e-12
             0.808652                2.66460e-10         1.12387e-12
             0.808854                2.69535e-10         1.10733e-12
             0.809057                2.60047e-10         1.11281e-12
             0.809259                2.35409e-10         1.09625e-12
             0.809462                2.33546e-10         1.09524e-12
             0.809664                2.45822e-10         1.10755e-12
             0.809867                2.52755e-10         1.10574e-12
             0.810069                2.52945e-10         1.10833e-12
             0.810271                2.57576e-10         1.12177e-12
             0.810474                2.50052e-10         1.10735e-12
             0.810676                2.45896e-10         1.11467e-12
             0.810879                2.48158e-10         1.12229e-12
             0.811081                2.51213e-10         1.12473e-12
             0.811283                2.55947e-10         1.12496e-12
             0.811486                2.50646e-10         1.12482e-12
             0.811688                2.35302e-10         1.10608e-12
             0.811700                2.35360e-10         9.53216e-13
             0.811933                2.40034e-10         9.87444e-13
             0.812167                2.50731e-10         1.04577e-12
             0.812400                2.61047e-10         1.11482e-12
             0.812633                2.56782e-10         1.03570e-12
             0.812866                2.51911e-10         9.86253e-13
             0.813100                2.54802e-10         9.69564e-13
             0.813333                2.46857e-10         9.83653e-13
             0.813566                2.55771e-10         1.03599e-12
             0.813799                2.59251e-10         1.09127e-12
             0.814033                2.58526e-10         1.08413e-12
             0.814266                2.51792e-10         1.02491e-12
             0.814499                2.50384e-10         9.85448e-13
             0.814732                2.55306e-10         9.85337e-13
             0.814965                2.53011e-10         1.02586e-12
             0.815198                2.53551e-10         1.05883e-12
             0.815432                2.57923e-10         1.12096e-12
             0.815665                2.63000e-10         1.06884e-12
             0.815898                2.70662e-10         1.01326e-12
             0.816131                2.56564e-10         9.93393e-13
             0.816364                2.43748e-10         1.01872e-12
             0.816597                2.53906e-10         1.05555e-12
             0.816830                2.60344e-10         1.08360e-12
             0.817064                2.60039e-10         1.09877e-12
             0.817297                2.61775e-10         1.02372e-12
             0.817530                2.59033e-10         9.71723e-13
             0.817763                2.61988e-10         9.90851e-13
             0.817996                2.63130e-10         1.02578e-12
             0.818229                2.54115e-10         1.03904e-12
             0.818462                2.45244e-10         1.06840e-12
             0.818695                2.41741e-10         1.02191e-12
             0.818928                2.48294e-10         1.00134e-12
             0.819161                2.70418e-10         9.83399e-13
             0.819394                2.65863e-10         9.77927e-13
             0.819627                2.40786e-10         9.82970e-13
             0.819860                2.48671e-10         1.02336e-12
             0.820093                2.53339e-10         1.05699e-12
             0.820326                2.47940e-10         1.01521e-12
             0.820559                2.40918e-10         9.42315e-13
             0.820792                2.41451e-10         9.31713e-13
             0.821025                2.55064e-10         9.30012e-13
             0.821258                2.60717e-10         9.63534e-13
