# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:54 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7626 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 16068'           /                                                
# SPTYPE  = 'K3 II-III'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808249 / Minimum wavelength (um)                        
# MAXWAVE =              5.03392 / Maximum wavelength (um)                        
# V       =        7.38000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.79000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.77300000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =        3.86800000000 / 2MASS H magnitude                              
# HERR    =       0.296000000000 / 2MASS H magnitude error                        
# KS      =        3.67600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.352000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.171923000000 / Relative error in the absolute flux calibration
# RV      =       -27.7090310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.26000000000 / Intrinsic Color                                
# E(B-V)  =       0.530000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808249                4.61423e-11         1.23464e-13
             0.808451                4.61068e-11         1.23315e-13
             0.808653                4.70017e-11         1.24855e-13
             0.808855                4.80826e-11         1.28331e-13
             0.809058                4.66633e-11         1.24897e-13
             0.809260                4.39998e-11         1.22106e-13
             0.809462                4.24846e-11         1.19705e-13
             0.809664                4.42504e-11         1.21669e-13
             0.809867                4.55369e-11         1.24155e-13
             0.810069                4.56869e-11         1.24123e-13
             0.810271                4.64459e-11         1.25380e-13
             0.810473                4.59224e-11         1.26044e-13
             0.810675                4.48010e-11         1.23662e-13
             0.810878                4.54393e-11         1.24792e-13
             0.811080                4.54645e-11         1.25515e-13
             0.811282                4.62204e-11         1.26832e-13
             0.811409                4.59072e-11         1.14186e-13
             0.811643                4.37785e-11         1.05297e-13
             0.811876                4.33546e-11         1.02091e-13
             0.812110                4.52227e-11         1.04727e-13
             0.812343                4.69361e-11         1.09884e-13
             0.812577                4.72027e-11         1.17915e-13
             0.812810                4.61149e-11         1.16752e-13
             0.813043                4.65448e-11         1.11643e-13
             0.813277                4.58105e-11         1.06335e-13
             0.813510                4.64333e-11         1.06882e-13
             0.813744                4.69580e-11         1.10017e-13
             0.813977                4.69481e-11         1.13537e-13
             0.814211                4.64553e-11         1.19938e-13
             0.814444                4.58214e-11         1.13966e-13
             0.814677                4.64191e-11         1.09436e-13
             0.814911                4.64284e-11         1.07389e-13
             0.815144                4.62855e-11         1.11100e-13
             0.815377                4.70145e-11         1.12245e-13
             0.815611                4.73888e-11         1.18513e-13
             0.815844                4.83420e-11         1.20523e-13
             0.816077                4.68666e-11         1.11802e-13
             0.816311                4.38059e-11         1.06296e-13
             0.816544                4.56306e-11         1.09867e-13
             0.816777                4.73324e-11         1.12172e-13
             0.817011                4.73554e-11         1.14950e-13
             0.817244                4.77682e-11         1.22118e-13
             0.817477                4.77003e-11         1.14483e-13
             0.817711                4.77434e-11         1.09521e-13
             0.817944                4.80531e-11         1.11153e-13
             0.818177                4.68365e-11         1.10019e-13
             0.818410                4.53647e-11         1.09512e-13
             0.818644                4.48908e-11         1.12433e-13
             0.818877                4.51723e-11         1.12942e-13
             0.819110                4.79266e-11         1.13438e-13
             0.819343                4.84886e-11         1.09759e-13
             0.819577                4.44109e-11         1.03821e-13
             0.819810                4.53646e-11         1.05834e-13
             0.820043                4.67675e-11         1.12042e-13
             0.820276                4.64257e-11         1.16980e-13
             0.820509                4.56172e-11         1.10866e-13
             0.820743                4.55296e-11         1.04408e-13
             0.820976                4.66984e-11         1.03276e-13
             0.821209                4.79945e-11         1.08054e-13
