# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4172 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 178208'          /                                                
# SPTYPE  = 'K3 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.805917 / Minimum wavelength (um)                        
# MAXWAVE =              2.42292 / Maximum wavelength (um)                        
# V       =        6.44100000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.39300000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.51400000000 / 2MASS J magnitude                              
# JERR    =       0.262000000000 / 2MASS J magnitude error                        
# H       =        3.82000000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        3.57100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.278000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.144643000000 / Relative error in the absolute flux calibration
# RV      =       0.603581810000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.26000000000 / Intrinsic Color                                
# E(B-V)  =       0.133000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805917                9.90531e-11         1.55199e-13
             0.806120                9.86011e-11         1.54104e-13
             0.806322                9.77004e-11         1.54541e-13
             0.806524                9.72937e-11         1.53878e-13
             0.806726                9.69089e-11         1.53430e-13
             0.806929                9.38558e-11         1.50365e-13
             0.807131                9.10242e-11         1.47289e-13
             0.807333                9.08438e-11         1.47758e-13
             0.807536                9.13366e-11         1.48830e-13
             0.807738                9.24976e-11         1.48607e-13
             0.807940                9.50758e-11         1.53030e-13
             0.808143                9.37384e-11         1.51471e-13
             0.808345                9.19340e-11         1.49166e-13
             0.808547                9.21232e-11         1.50217e-13
             0.808749                9.41405e-11         1.53442e-13
             0.808952                9.48659e-11         1.52060e-13
             0.809154                9.20679e-11         1.54115e-13
             0.809356                8.64691e-11         1.44217e-13
             0.809449                8.59330e-11         1.36277e-13
             0.809683                8.80049e-11         1.35311e-13
             0.809916                9.01731e-11         1.29667e-13
             0.810149                9.11444e-11         1.26198e-13
             0.810383                9.23009e-11         1.26584e-13
             0.810616                9.10374e-11         1.29905e-13
             0.810850                9.01153e-11         1.36000e-13
             0.811083                9.04530e-11         1.39866e-13
             0.811317                9.16289e-11         1.33468e-13
             0.811550                9.05457e-11         1.27112e-13
             0.811784                8.59615e-11         1.20215e-13
             0.812017                8.76447e-11         1.23263e-13
             0.812250                9.12615e-11         1.31508e-13
             0.812484                9.38789e-11         1.42450e-13
             0.812717                9.21237e-11         1.36601e-13
             0.812950                9.18359e-11         1.29572e-13
             0.813184                9.12515e-11         1.25977e-13
             0.813417                9.09657e-11         1.26034e-13
             0.813651                9.26218e-11         1.31694e-13
             0.813884                9.31365e-11         1.38195e-13
             0.814117                9.26940e-11         1.40223e-13
             0.814350                9.12890e-11         1.32916e-13
             0.814584                9.10007e-11         1.27824e-13
             0.814817                9.19314e-11         1.28827e-13
             0.815050                9.10263e-11         1.28433e-13
             0.815284                9.22153e-11         1.34126e-13
             0.815517                9.24099e-11         1.41718e-13
             0.815750                9.39562e-11         1.40822e-13
             0.815983                9.55461e-11         1.37512e-13
             0.816217                9.01004e-11         1.27420e-13
             0.816450                8.85302e-11         1.28458e-13
             0.816683                9.16056e-11         1.33613e-13
             0.816916                9.30404e-11         1.39051e-13
             0.817150                9.28764e-11         1.43297e-13
             0.817383                9.31074e-11         1.34201e-13
             0.817616                9.27610e-11         1.28126e-13
             0.817849                9.27750e-11         1.30319e-13
             0.818082                9.31549e-11         1.33468e-13
