# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7527 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 221246'          /                                                
# SPTYPE  = 'K3 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Nov 11'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809776 / Minimum wavelength (um)                        
# MAXWAVE =              4.96898 / Maximum wavelength (um)                        
# V       =        6.17000000000 / V magnitude                                    
# VERR    =        0.00000000000 / V magnitude error                              
# (B-V)   =        1.46000000000 / B-V color                                      
# (B-V)ERR=        0.00000000000 / B-V color error                                
# J       =        3.98900000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =        3.17700000000 / 2MASS H magnitude                              
# HERR    =       0.244000000000 / 2MASS H magnitude error                        
# KS      =        2.94900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.330000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.160676000000 / Relative error in the absolute flux calibration
# RV      =        4.79437480000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.26000000000 / Intrinsic Color                                
# E(B-V)  =       0.200000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809776                1.17426e-10         2.41290e-13
             0.809979                1.18568e-10         2.06391e-13
             0.810181                1.19441e-10         2.07327e-13
             0.810383                1.21195e-10         2.11898e-13
             0.810586                1.19048e-10         2.07655e-13
             0.810788                1.17624e-10         2.06946e-13
             0.810991                1.18196e-10         2.08119e-13
             0.811193                1.19149e-10         2.09526e-13
             0.811396                1.20523e-10         2.11933e-13
             0.811598                1.17147e-10         2.07958e-13
             0.811801                1.12288e-10         2.00612e-13
             0.812003                1.14503e-10         2.05072e-13
             0.812206                1.19738e-10         2.11434e-13
             0.812408                1.22602e-10         2.18619e-13
             0.812611                1.22089e-10         2.16606e-13
             0.812766                1.20181e-10         1.76281e-13
             0.812999                1.20291e-10         1.71682e-13
             0.813232                1.19522e-10         1.71194e-13
             0.813465                1.19276e-10         1.76788e-13
             0.813698                1.21616e-10         1.88529e-13
             0.813931                1.22210e-10         1.94640e-13
             0.814164                1.21135e-10         1.88843e-13
             0.814396                1.19558e-10         1.75885e-13
             0.814629                1.19723e-10         1.72124e-13
             0.814862                1.20109e-10         1.74955e-13
             0.815095                1.20059e-10         1.83256e-13
             0.815328                1.21078e-10         1.92923e-13
             0.815561                1.21993e-10         1.93926e-13
             0.815794                1.24009e-10         1.86668e-13
             0.816027                1.24976e-10         1.80541e-13
             0.816259                1.16916e-10         1.72298e-13
             0.816492                1.16896e-10         1.79307e-13
             0.816725                1.21859e-10         1.89106e-13
             0.816958                1.22269e-10         1.95807e-13
             0.817191                1.23042e-10         1.92177e-13
             0.817424                1.22936e-10         1.80968e-13
             0.817657                1.22087e-10         1.75320e-13
             0.817889                1.23224e-10         1.82482e-13
             0.818122                1.22737e-10         1.86303e-13
             0.818355                1.19019e-10         1.85838e-13
             0.818588                1.16712e-10         1.84190e-13
             0.818821                1.15985e-10         1.75812e-13
             0.819053                1.19938e-10         1.76524e-13
             0.819286                1.25915e-10         1.80069e-13
             0.819519                1.19990e-10         1.74355e-13
             0.819752                1.15302e-10         1.73761e-13
             0.819984                1.18629e-10         1.85007e-13
             0.820217                1.20023e-10         1.89679e-13
             0.820450                1.19057e-10         1.75905e-13
             0.820683                1.17952e-10         1.66331e-13
             0.820916                1.17944e-10         1.65131e-13
             0.821148                1.21090e-10         1.71121e-13
             0.821381                1.20807e-10         1.77965e-13
             0.821614                1.19989e-10         1.84178e-13
             0.821846                1.24131e-10         1.83409e-13
             0.822079                1.22505e-10         1.75063e-13
             0.822312                1.19079e-10         1.68053e-13
             0.822545                1.23506e-10         1.74252e-13
             0.822777                1.26973e-10         1.87582e-13
             0.823010                1.25989e-10         2.00850e-13
             0.823243                1.24023e-10         1.99752e-13
             0.823475                1.23968e-10         1.86337e-13
             0.823708                1.24695e-10         1.76904e-13
             0.823941                1.23993e-10         1.72381e-13
             0.824174                1.23854e-10         1.73405e-13
             0.824406                1.22774e-10         1.77408e-13
             0.824639                1.24825e-10         1.87193e-13
             0.824871                1.25471e-10         1.84283e-13
             0.825104                1.25426e-10         1.75650e-13
             0.825337                1.23905e-10         1.70933e-13
             0.825569                1.20447e-10         1.66764e-13
             0.825802                1.19663e-10         1.70367e-13
             0.826035                1.24101e-10         1.80916e-13
             0.826267                1.28504e-10         1.94007e-13
             0.826500                1.27775e-10         1.83342e-13
             0.826733                1.25106e-10         1.73777e-13
             0.826965                1.24323e-10         1.69347e-13
             0.827198                1.25647e-10         1.74060e-13
             0.827430                1.23985e-10         1.77226e-13
             0.827663                1.21554e-10         1.81624e-13
             0.827895                1.23613e-10         1.85176e-13
             0.828128                1.26882e-10         1.82558e-13
             0.828361                1.25810e-10         1.75959e-13
             0.828593                1.24265e-10         1.71376e-13
             0.828826                1.23819e-10         1.73409e-13
             0.829058                1.22327e-10         1.77706e-13
             0.829291                1.23818e-10         1.82195e-13
             0.829523                1.22270e-10         1.78558e-13
             0.829756                1.20391e-10         1.70878e-13
             0.829988                1.18784e-10         1.65804e-13
             0.830221                1.22057e-10         1.67444e-13
             0.830454                1.22684e-10         1.73124e-13
             0.830686                1.17372e-10         1.71199e-13
             0.830919                1.14967e-10         1.71555e-13
             0.831151                1.15089e-10         1.64500e-13
             0.831384                1.16953e-10         1.64091e-13
             0.831616                1.20944e-10         1.64655e-13
             0.831849                1.24810e-10         1.70718e-13
             0.832081                1.23714e-10         1.73770e-13
             0.832314                1.20049e-10         1.75294e-13
             0.832546                1.20498e-10         1.74736e-13
             0.832779                1.16217e-10         1.64530e-13
             0.833011                1.16586e-10         1.60789e-13
             0.833243                1.17185e-10         1.59877e-13
             0.833476                1.14146e-10         1.58049e-13
             0.833708                1.18058e-10         1.65703e-13
             0.833941                1.18207e-10         1.70784e-13
             0.834173                1.19679e-10         1.71049e-13
             0.834406                1.20564e-10         1.64977e-13
             0.834638                1.18299e-10         1.59796e-13
             0.834870                1.17158e-10         1.58248e-13
             0.835103                1.17249e-10         1.62470e-13
             0.835335                1.20569e-10         1.68429e-13
             0.835568                1.20953e-10         1.73247e-13
             0.835800                1.20617e-10         1.68034e-13
             0.836033                1.21290e-10         1.65418e-13
             0.836265                1.21460e-10         1.62614e-13
             0.836497                1.16537e-10         1.57878e-13
             0.836730                1.16032e-10         1.58539e-13
             0.836962                1.22396e-10         1.70043e-13
             0.837194                1.22654e-10         1.72512e-13
             0.837427                1.21926e-10         1.66696e-13
             0.837659                1.23484e-10         1.66644e-13
             0.837891                1.19731e-10         1.63735e-13
             0.838124                1.21249e-10         1.63512e-13
             0.838356                1.15560e-10         1.59631e-13
             0.838588                1.12972e-10         1.59607e-13
             0.838821                1.13053e-10         1.58684e-13
             0.839053                1.11641e-10         1.52890e-13
             0.839285                1.19082e-10         1.58513e-13
             0.839518                1.25128e-10         1.66091e-13
             0.839750                1.22901e-10         1.68129e-13
             0.839982                1.21334e-10         1.65389e-13
             0.840215                1.22161e-10         1.70279e-13
             0.840447                1.22384e-10         1.65478e-13
             0.840679                1.23908e-10         1.65468e-13
             0.840912                1.25201e-10         1.64603e-13
             0.841144                1.24886e-10         1.65335e-13
             0.841376                1.19086e-10         1.60822e-13
             0.841608                1.19707e-10         1.64468e-13
             0.841841                1.22244e-10         1.73459e-13
             0.842073                1.21289e-10         1.67962e-13
             0.842305                1.21392e-10         1.60238e-13
             0.842537                1.18968e-10         1.57364e-13
             0.842770                1.12978e-10         1.57306e-13
             0.843002                1.19076e-10         1.59979e-13
             0.843234                1.26835e-10         1.72193e-13
             0.843466                1.22046e-10         1.70879e-13
             0.843699                1.12108e-10         1.51916e-13
             0.843931                1.12853e-10         1.51431e-13
             0.844163                1.16730e-10         1.60487e-13
             0.844395                1.20742e-10         1.60790e-13
             0.844627                1.24505e-10         1.69229e-13
             0.844860                1.25013e-10         1.75751e-13
             0.845092                1.21679e-10         1.64546e-13
             0.845324                1.23148e-10         1.61750e-13
             0.845556                1.25728e-10         1.62261e-13
             0.845788                1.21227e-10         1.57756e-13
             0.846021                1.21349e-10         1.59311e-13
             0.846253                1.25798e-10         1.68305e-13
             0.846485                1.24944e-10         1.68457e-13
             0.846717                1.18185e-10         1.57740e-13
             0.846949                1.12585e-10         1.49791e-13
             0.847181                1.15540e-10         1.51946e-13
             0.847414                1.22083e-10         1.59151e-13
             0.847646                1.26333e-10         1.65524e-13
             0.847878                1.26375e-10         1.68083e-13
             0.848110                1.22849e-10         1.62917e-13
             0.848342                1.20858e-10         1.57802e-13
             0.848574                1.22614e-10         1.57356e-13
             0.848806                1.24065e-10         1.58600e-13
             0.849038                1.23925e-10         1.60432e-13
