# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6825 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 35620'           /                                                
# SPTYPE  = 'K3 III Fe1'         / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810793 / Minimum wavelength (um)                        
# MAXWAVE =              4.18121 / Maximum wavelength (um)                        
# V       =        5.07900000000 / V magnitude                                    
# VERR    =     0.00800000000000 / V magnitude error                              
# (B-V)   =        1.40300000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        2.90500000000 / 2MASS J magnitude                              
# JERR    =       0.256000000000 / 2MASS J magnitude error                        
# H       =        2.16700000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        2.10400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.262000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.132507000000 / Relative error in the absolute flux calibration
# RV      =        27.0651090000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.26000000000 / Intrinsic Color                                
# E(B-V)  =       0.143000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810793                2.97329e-10         5.02274e-13
             0.810996                3.00841e-10         5.06130e-13
             0.811198                3.01645e-10         5.09150e-13
             0.811400                3.07031e-10         5.16840e-13
             0.811602                3.04924e-10         5.14593e-13
             0.811805                2.85987e-10         4.84782e-13
             0.812007                2.86519e-10         4.92135e-13
             0.812209                2.98509e-10         5.06398e-13
             0.812411                3.08857e-10         5.28300e-13
             0.812614                3.19132e-10         5.42359e-13
             0.812816                3.06833e-10         5.23244e-13
             0.813018                3.02575e-10         5.17233e-13
             0.813220                3.08103e-10         5.31631e-13
             0.813423                2.99601e-10         5.32281e-13
             0.813625                3.06201e-10         5.35087e-13
             0.813654                3.07063e-10         4.30251e-13
             0.813887                3.11376e-10         4.47718e-13
             0.814121                3.09745e-10         4.74118e-13
             0.814354                3.04673e-10         4.55576e-13
             0.814588                3.03795e-10         4.33702e-13
             0.814821                3.07135e-10         4.30501e-13
             0.815055                3.05400e-10         4.26035e-13
             0.815288                3.04273e-10         4.34260e-13
             0.815522                3.07625e-10         4.59991e-13
             0.815755                3.10463e-10         4.75824e-13
             0.815988                3.21700e-10         4.68080e-13
             0.816222                3.10612e-10         4.41776e-13
             0.816455                2.86594e-10         4.11593e-13
             0.816689                3.04148e-10         4.28369e-13
             0.816922                3.12127e-10         4.54864e-13
             0.817155                3.11846e-10         4.75931e-13
             0.817389                3.16480e-10         4.76058e-13
             0.817622                3.12696e-10         4.44849e-13
             0.817856                3.13045e-10         4.42761e-13
             0.818089                3.18553e-10         4.42634e-13
             0.818322                3.09970e-10         4.38173e-13
             0.818556                3.00226e-10         4.42742e-13
             0.818789                2.97229e-10         4.52470e-13
             0.819022                2.99321e-10         4.36490e-13
             0.819256                3.20783e-10         4.46946e-13
             0.819489                3.18903e-10         4.34392e-13
             0.819722                2.90705e-10         4.13002e-13
             0.819956                2.99341e-10         4.31733e-13
             0.820189                3.08728e-10         4.62620e-13
             0.820422                3.04413e-10         4.40953e-13
             0.820656                3.01325e-10         4.17196e-13
             0.820889                3.00785e-10         4.10735e-13
             0.821122                3.06733e-10         4.14253e-13
             0.821355                3.13412e-10         4.33278e-13
             0.821589                3.05499e-10         4.40946e-13
             0.821822                3.12340e-10         4.61576e-13
             0.822055                3.22809e-10         4.53208e-13
             0.822288                3.08816e-10         4.20136e-13
             0.822521                3.10158e-10         4.21860e-13
             0.822755                3.28681e-10         4.64304e-13
             0.822988                3.27313e-10         4.84689e-13
             0.823221                3.24780e-10         4.86658e-13
             0.823454                3.21656e-10         4.60427e-13
             0.823687                3.19689e-10         4.36792e-13
