# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:44 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4167 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 165782'          /                                                
# SPTYPE  = 'K0 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806727 / Minimum wavelength (um)                        
# MAXWAVE =              2.42248 / Maximum wavelength (um)                        
# V       =        7.68000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.14000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.79100000000 / 2MASS J magnitude                              
# JERR    =       0.258000000000 / 2MASS J magnitude error                        
# H       =        3.09800000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        2.79800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.254000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.140284000000 / Relative error in the absolute flux calibration
# RV      =        16.2121810000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.18000000000 / Intrinsic Color                                
# E(B-V)  =       0.960000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806727                3.62536e-10         6.48966e-13
             0.806929                3.60482e-10         6.47271e-13
             0.807132                3.52939e-10         6.42164e-13
             0.807334                3.48189e-10         6.40586e-13
             0.807537                3.46965e-10         6.33394e-13
             0.807739                3.57259e-10         6.66357e-13
             0.807942                3.63403e-10         6.58663e-13
             0.808144                3.59914e-10         6.49663e-13
             0.808347                3.51352e-10         6.46937e-13
             0.808549                3.41769e-10         6.36099e-13
             0.808752                3.38976e-10         6.26409e-13
             0.808954                3.46249e-10         6.48041e-13
             0.809156                3.53161e-10         6.46256e-13
             0.809359                3.38651e-10         6.36711e-13
             0.809561                3.30425e-10         6.28519e-13
             0.809764                3.39940e-10         6.40156e-13
             0.809966                3.43189e-10         6.42285e-13
             0.810164                3.44466e-10         5.42460e-13
             0.810398                3.48524e-10         5.51799e-13
             0.810631                3.45126e-10         5.74259e-13
             0.810864                3.42190e-10         5.96773e-13
             0.811097                3.46735e-10         6.00582e-13
             0.811330                3.50243e-10         5.72682e-13
             0.811563                3.48640e-10         5.49026e-13
             0.811796                3.44965e-10         5.39842e-13
             0.812029                3.48376e-10         5.56183e-13
             0.812263                3.49407e-10         5.84377e-13
             0.812496                3.48923e-10         6.15291e-13
             0.812729                3.46702e-10         5.80719e-13
             0.812962                3.45353e-10         5.53695e-13
             0.813195                3.48635e-10         5.43849e-13
             0.813428                3.48246e-10         5.50775e-13
             0.813661                3.51983e-10         5.78430e-13
             0.813894                3.48817e-10         5.97578e-13
             0.814127                3.47615e-10         5.99296e-13
             0.814360                3.45630e-10         5.70295e-13
             0.814593                3.45343e-10         5.49261e-13
             0.814826                3.50377e-10         5.46644e-13
             0.815059                3.46832e-10         5.56563e-13
             0.815292                3.45257e-10         5.73811e-13
             0.815525                3.49030e-10         6.09816e-13
             0.815758                3.48404e-10         5.96718e-13
             0.815991                3.53666e-10         5.68254e-13
             0.816224                3.52455e-10         5.60399e-13
             0.816457                3.48514e-10         5.68539e-13
             0.816690                3.47190e-10         5.76439e-13
             0.816923                3.47677e-10         5.89311e-13
             0.817156                3.46817e-10         6.10917e-13
             0.817389                3.47274e-10         5.70766e-13
             0.817622                3.46930e-10         5.47115e-13
             0.817855                3.47704e-10         5.55516e-13
             0.818088                3.45431e-10         5.64259e-13
             0.818321                3.27827e-10         5.58054e-13
             0.818554                2.99938e-10         5.54414e-13
             0.818787                3.04416e-10         5.46127e-13
             0.819020                3.31794e-10         5.52827e-13
