# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:16 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7497 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 219134'          /                                                
# SPTYPE  = 'K3 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 06'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809712 / Minimum wavelength (um)                        
# MAXWAVE =              4.92595 / Maximum wavelength (um)                        
# V       =        5.56700000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.994000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        3.98100000000 / 2MASS J magnitude                              
# JERR    =       0.258000000000 / 2MASS J magnitude error                        
# H       =        3.46900000000 / 2MASS H magnitude                              
# HERR    =       0.226000000000 / 2MASS H magnitude error                        
# KS      =        3.26100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.304000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.148376000000 / Relative error in the absolute flux calibration
# RV      =       -47.9833690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.950000000000 / Intrinsic Color                                
# E(B-V)  =      0.0440000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809712                1.38332e-10         3.56504e-13
             0.809915                1.36955e-10         3.54878e-13
             0.810117                1.35913e-10         3.69255e-13
             0.810320                1.40275e-10         3.57864e-13
             0.810523                1.41415e-10         3.64929e-13
             0.810725                1.40621e-10         3.68015e-13
             0.810928                1.40684e-10         3.64577e-13
             0.811131                1.41506e-10         3.66073e-13
             0.811333                1.41418e-10         3.65995e-13
             0.811536                1.40388e-10         3.64528e-13
             0.811738                1.38722e-10         3.65170e-13
             0.811941                1.38432e-10         3.61414e-13
             0.812144                1.41087e-10         3.72277e-13
             0.812346                1.43010e-10         3.74216e-13
             0.812549                1.42999e-10         3.75107e-13
             0.812703                1.41332e-10         3.11488e-13
             0.812935                1.41227e-10         3.02096e-13
             0.813168                1.40968e-10         3.00798e-13
             0.813401                1.40749e-10         3.09087e-13
             0.813634                1.41252e-10         3.23574e-13
             0.813867                1.41527e-10         3.41710e-13
             0.814100                1.42104e-10         3.22997e-13
             0.814332                1.40558e-10         3.09526e-13
             0.814565                1.40308e-10         3.01890e-13
             0.814798                1.40072e-10         2.99901e-13
             0.815031                1.39748e-10         3.10819e-13
             0.815264                1.40038e-10         3.25233e-13
             0.815496                1.40770e-10         3.38695e-13
             0.815729                1.40679e-10         3.18363e-13
             0.815962                1.41392e-10         3.05478e-13
             0.816195                1.39898e-10         2.99221e-13
             0.816428                1.37821e-10         3.03425e-13
             0.816660                1.39906e-10         3.21556e-13
             0.816893                1.41004e-10         3.31342e-13
             0.817126                1.40166e-10         3.25767e-13
             0.817359                1.40631e-10         3.12781e-13
             0.817591                1.40737e-10         3.06864e-13
             0.817824                1.40519e-10         3.02195e-13
             0.818057                1.39302e-10         3.07674e-13
             0.818290                1.34561e-10         3.13635e-13
             0.818522                1.26378e-10         3.09475e-13
             0.818755                1.30848e-10         3.03343e-13
             0.818988                1.36911e-10         3.00202e-13
             0.819220                1.39590e-10         2.97756e-13
             0.819453                1.33244e-10         2.90486e-13
             0.819686                1.21463e-10         2.78889e-13
             0.819919                1.27524e-10         2.97613e-13
             0.820151                1.34035e-10         3.14870e-13
             0.820384                1.37982e-10         3.06108e-13
             0.820617                1.38947e-10         2.92710e-13
             0.820849                1.36949e-10         2.84109e-13
             0.821082                1.36853e-10         2.84982e-13
             0.821315                1.36051e-10         2.93654e-13
             0.821547                1.33640e-10         3.02324e-13
             0.821780                1.37914e-10         3.09932e-13
             0.822013                1.35853e-10         2.96561e-13
             0.822245                1.29416e-10         2.79361e-13
             0.822478                1.34739e-10         2.82885e-13
             0.822711                1.41277e-10         2.96160e-13
