# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:26 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7584 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 207991'          /                                                
# SPTYPE  = 'K4- III '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jul 13'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.812570 / Minimum wavelength (um)                        
# MAXWAVE =              5.01539 / Maximum wavelength (um)                        
# V       =        6.87000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.60000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.03900000000 / 2MASS J magnitude                              
# JERR    =       0.226000000000 / 2MASS J magnitude error                        
# H       =        3.22200000000 / 2MASS H magnitude                              
# HERR    =       0.210000000000 / 2MASS H magnitude error                        
# KS      =        2.92300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.270000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.133664000000 / Relative error in the absolute flux calibration
# RV      =        32.7741140000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.43000000000 / Intrinsic Color                                
# E(B-V)  =       0.170000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812570                9.93160e-11         1.92891e-13
             0.812772                9.81181e-11         1.84655e-13
             0.812975                9.83704e-11         1.85476e-13
             0.813177                9.76570e-11         1.86949e-13
             0.813379                9.63609e-11         1.87937e-13
             0.813581                9.81549e-11         1.92819e-13
             0.813783                9.88965e-11         1.89739e-13
             0.813985                9.93867e-11         1.91397e-13
             0.814187                9.84109e-11         1.92919e-13
             0.814389                9.72176e-11         1.91681e-13
             0.814591                9.60356e-11         1.89480e-13
             0.814793                9.73081e-11         1.93001e-13
             0.814995                9.74128e-11         1.95085e-13
             0.815197                9.74521e-11         1.94667e-13
             0.815229                9.73035e-11         1.57771e-13
             0.815462                9.82740e-11         1.66074e-13
             0.815696                9.85422e-11         1.75574e-13
             0.815929                9.98720e-11         1.69245e-13
             0.816163                9.51258e-11         1.61753e-13
             0.816396                9.28848e-11         1.61592e-13
             0.816630                9.79451e-11         1.60586e-13
             0.816863                9.91891e-11         1.62377e-13
             0.817096                9.91635e-11         1.72025e-13
             0.817330                9.91472e-11         1.68427e-13
             0.817563                9.85782e-11         1.60322e-13
             0.817796                9.86394e-11         1.63966e-13
             0.818030                9.85673e-11         1.60392e-13
             0.818263                9.70330e-11         1.57001e-13
             0.818496                9.41325e-11         1.58506e-13
             0.818730                9.37121e-11         1.64809e-13
             0.818963                9.54711e-11         1.64356e-13
             0.819196                1.00157e-10         1.60635e-13
             0.819430                9.78319e-11         1.53014e-13
             0.819663                9.22182e-11         1.48839e-13
             0.819896                9.48438e-11         1.56796e-13
             0.820130                9.66905e-11         1.66069e-13
             0.820363                9.59313e-11         1.60026e-13
             0.820596                9.42396e-11         1.49926e-13
             0.820829                9.47336e-11         1.45107e-13
             0.821063                9.73427e-11         1.47143e-13
             0.821296                9.74481e-11         1.50795e-13
             0.821529                9.57721e-11         1.54085e-13
             0.821762                9.87484e-11         1.64078e-13
             0.821995                9.89719e-11         1.58538e-13
             0.822229                9.61456e-11         1.49897e-13
             0.822462                9.83107e-11         1.51087e-13
             0.822695                1.01181e-10         1.61442e-13
             0.822928                1.00577e-10         1.75936e-13
             0.823161                9.93007e-11         1.77573e-13
             0.823394                9.82462e-11         1.66683e-13
             0.823628                9.95557e-11         1.55411e-13
             0.823861                9.90635e-11         1.49042e-13
             0.824094                9.83225e-11         1.46572e-13
             0.824327                9.79545e-11         1.51075e-13
             0.824560                9.92672e-11         1.56402e-13
             0.824793                9.99175e-11         1.59439e-13
             0.825026                9.90338e-11         1.51339e-13
             0.825259                9.90449e-11         1.48579e-13
             0.825492                9.64428e-11         1.44870e-13
