# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4137 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 185622'          /                                                
# SPTYPE  = 'K4 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810049 / Minimum wavelength (um)                        
# MAXWAVE =              2.41771 / Maximum wavelength (um)                        
# V       =        6.37600000000 / V magnitude                                    
# VERR    =      0.0120000000000 / V magnitude error                              
# (B-V)   =        2.02600000000 / B-V color                                      
# (B-V)ERR=      0.0300000000000 / B-V color error                                
# J       =        2.13800000000 / 2MASS J magnitude                              
# JERR    =       0.214000000000 / 2MASS J magnitude error                        
# H       =        1.31200000000 / 2MASS H magnitude                              
# HERR    =       0.140000000000 / 2MASS H magnitude error                        
# KS      =       0.986000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.166000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CBC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0957185000000 / Relative error in the absolute flux calibration
# RV      =        18.2966490000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =       0.526000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810049                3.61497e-10         1.16107e-12
             0.810252                3.68270e-10         1.17341e-12
             0.810454                3.60166e-10         1.15650e-12
             0.810656                3.53897e-10         1.16798e-12
             0.810859                3.61253e-10         1.17409e-12
             0.811061                3.60349e-10         1.17655e-12
             0.811264                3.69665e-10         1.18300e-12
             0.811466                3.63545e-10         1.18508e-12
             0.811669                3.37274e-10         1.16549e-12
             0.811871                3.39937e-10         1.17722e-12
             0.812073                3.59875e-10         1.18495e-12
             0.812276                3.70803e-10         1.21334e-12
             0.812478                3.83691e-10         1.22286e-12
             0.812681                3.67699e-10         1.20478e-12
             0.812883                3.70555e-10         1.19900e-12
             0.813069                3.70329e-10         1.03090e-12
             0.813302                3.56851e-10         1.02895e-12
             0.813535                3.68519e-10         1.07954e-12
             0.813768                3.75437e-10         1.12821e-12
             0.814002                3.76988e-10         1.17641e-12
             0.814235                3.67773e-10         1.10693e-12
             0.814468                3.62433e-10         1.05393e-12
             0.814701                3.68985e-10         1.03901e-12
             0.814934                3.69109e-10         1.06185e-12
             0.815168                3.69172e-10         1.10305e-12
             0.815401                3.75071e-10         1.16341e-12
             0.815634                3.81306e-10         1.15659e-12
             0.815867                3.96720e-10         1.09484e-12
             0.816100                3.71903e-10         1.05951e-12
             0.816333                3.49704e-10         1.07501e-12
             0.816567                3.69514e-10         1.10974e-12
             0.816800                3.80491e-10         1.13029e-12
             0.817033                3.82834e-10         1.19317e-12
             0.817266                3.85386e-10         1.11573e-12
             0.817499                3.79673e-10         1.05012e-12
             0.817732                3.83730e-10         1.05744e-12
             0.817965                3.89226e-10         1.09177e-12
             0.818198                3.73484e-10         1.09308e-12
             0.818431                3.53249e-10         1.11649e-12
             0.818665                3.50969e-10         1.11232e-12
             0.818898                3.58519e-10         1.08339e-12
             0.819131                4.00502e-10         1.06458e-12
             0.819364                3.95230e-10         1.04369e-12
             0.819597                3.49448e-10         1.04433e-12
             0.819830                3.62750e-10         1.07807e-12
             0.820063                3.72115e-10         1.15195e-12
             0.820296                3.60064e-10         1.11654e-12
             0.820529                3.44885e-10         1.01632e-12
             0.820762                3.51405e-10         9.96863e-13
             0.820995                3.73951e-10         9.92128e-13
             0.821228                3.85712e-10         1.02399e-12
             0.821461                3.73640e-10         1.06552e-12
             0.821694                3.86658e-10         1.08395e-12
             0.821927                3.97063e-10         1.05110e-12
             0.822160                3.73369e-10         1.00576e-12
             0.822393                3.79821e-10         1.00194e-12
