# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:42 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6753 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 120477'          /                                                
# SPTYPE  = 'K5.5 III'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 May 29'        / UT date of SXD observations                    
# LXDUT   = '2003 May 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810140 / Minimum wavelength (um)                        
# MAXWAVE =              4.12328 / Maximum wavelength (um)                        
# V       =        4.04600000000 / V magnitude                                    
# VERR    =      0.0170000000000 / V magnitude error                              
# (B-V)   =        1.52000000000 / B-V color                                      
# (B-V)ERR=      0.0120000000000 / B-V color error                                
# J       =        1.21800000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =       0.438000000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =       0.435000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.182000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.115162000000 / Relative error in the absolute flux calibration
# RV      =        15.4155280000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.51500000000 / Intrinsic Color                                
# E(B-V)  =     0.00500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810140                1.21430e-09         2.22145e-12
             0.810342                1.23611e-09         2.25053e-12
             0.810544                1.22802e-09         2.23077e-12
             0.810747                1.22301e-09         2.25001e-12
             0.810949                1.21393e-09         2.23501e-12
             0.811151                1.21503e-09         2.23669e-12
             0.811354                1.22509e-09         2.25202e-12
             0.811556                1.22126e-09         2.25579e-12
             0.811758                1.13926e-09         2.15404e-12
             0.811961                1.14224e-09         2.18100e-12
             0.812163                1.20474e-09         2.23328e-12
             0.812365                1.24633e-09         2.30577e-12
             0.812568                1.25786e-09         2.32350e-12
             0.812770                1.23441e-09         2.29173e-12
             0.812924                1.22622e-09         1.94201e-12
             0.813157                1.22543e-09         1.88787e-12
             0.813390                1.20978e-09         1.92630e-12
             0.813623                1.23323e-09         1.95895e-12
             0.813857                1.24610e-09         2.05586e-12
             0.814090                1.24162e-09         2.13485e-12
             0.814323                1.22570e-09         2.00189e-12
             0.814556                1.20699e-09         1.90196e-12
             0.814790                1.21304e-09         1.87311e-12
             0.815023                1.22390e-09         1.91470e-12
             0.815256                1.22519e-09         1.97948e-12
             0.815489                1.23612e-09         2.08860e-12
             0.815722                1.24503e-09         2.07956e-12
             0.815956                1.27014e-09         1.99807e-12
             0.816189                1.19926e-09         1.88035e-12
             0.816422                1.15607e-09         1.85411e-12
             0.816655                1.23154e-09         1.96135e-12
             0.816888                1.25065e-09         2.04225e-12
             0.817121                1.24773e-09         2.12998e-12
             0.817355                1.25566e-09         2.01847e-12
             0.817588                1.24539e-09         1.91527e-12
             0.817821                1.25038e-09         1.90899e-12
             0.818054                1.25859e-09         1.94618e-12
             0.818287                1.21955e-09         1.94750e-12
             0.818520                1.18404e-09         1.99787e-12
             0.818753                1.17907e-09         1.98789e-12
             0.818986                1.20877e-09         1.95071e-12
             0.819219                1.27646e-09         1.94399e-12
             0.819452                1.24339e-09         1.88055e-12
             0.819686                1.15237e-09         1.85662e-12
             0.819919                1.18278e-09         1.91905e-12
             0.820152                1.20305e-09         2.03619e-12
             0.820385                1.19966e-09         1.94446e-12
             0.820618                1.18577e-09         1.84010e-12
             0.820851                1.18576e-09         1.80867e-12
             0.821084                1.22017e-09         1.82085e-12
             0.821317                1.23189e-09         1.89078e-12
             0.821550                1.20871e-09         1.97955e-12
             0.821783                1.25245e-09         2.02272e-12
             0.822016                1.26139e-09         1.94132e-12
             0.822249                1.21733e-09         1.83115e-12
             0.822482                1.25041e-09         1.85916e-12
             0.822715                1.28738e-09         1.92838e-12
             0.822948                1.28441e-09         2.01908e-12
             0.823181                1.26732e-09         2.08745e-12
             0.823414                1.25012e-09         1.97707e-12
             0.823646                1.25460e-09         1.89006e-12
             0.823879                1.25548e-09         1.84765e-12
             0.824112                1.24880e-09         1.82690e-12
             0.824345                1.24130e-09         1.90576e-12
             0.824578                1.26331e-09         1.95938e-12
             0.824811                1.26864e-09         1.99638e-12
             0.825044                1.26455e-09         1.89399e-12
             0.825277                1.26191e-09         1.84792e-12
             0.825510                1.19838e-09         1.77362e-12
             0.825743                1.17550e-09         1.78063e-12
             0.825975                1.22458e-09         1.87047e-12
             0.826208                1.28976e-09         2.04188e-12
             0.826441                1.28912e-09         1.95100e-12
             0.826674                1.26759e-09         1.85758e-12
             0.826907                1.25877e-09         1.81105e-12
             0.827140                1.26908e-09         1.82595e-12
             0.827373                1.26399e-09         1.90333e-12
             0.827605                1.23842e-09         1.89970e-12
             0.827838                1.23780e-09         1.94032e-12
             0.828071                1.27676e-09         1.90747e-12
             0.828304                1.27245e-09         1.84669e-12
             0.828537                1.25264e-09         1.80661e-12
             0.828769                1.25299e-09         1.84604e-12
             0.829002                1.23894e-09         1.84903e-12
             0.829235                1.24378e-09         1.88983e-12
             0.829468                1.24797e-09         1.89703e-12
             0.829700                1.23038e-09         1.82700e-12
             0.829933                1.21978e-09         1.76940e-12
             0.830166                1.23350e-09         1.76807e-12
             0.830399                1.24684e-09         1.82742e-12
             0.830631                1.20370e-09         1.81331e-12
             0.830864                1.15474e-09         1.82229e-12
             0.831097                1.15888e-09         1.75885e-12
             0.831330                1.17873e-09         1.73465e-12
             0.831562                1.22268e-09         1.74467e-12
             0.831795                1.25676e-09         1.77726e-12
             0.832028                1.26111e-09         1.81378e-12
             0.832260                1.22737e-09         1.83654e-12
             0.832493                1.22841e-09         1.91616e-12
             0.832726                1.19407e-09         1.77979e-12
             0.832958                1.16636e-09         1.69041e-12
             0.833191                1.20044e-09         1.70512e-12
             0.833424                1.17463e-09         1.69553e-12
             0.833656                1.18303e-09         1.73552e-12
             0.833889                1.20792e-09         1.81621e-12
             0.834122                1.21607e-09         1.80653e-12
             0.834354                1.22399e-09         1.73815e-12
             0.834587                1.21648e-09         1.71221e-12
             0.834819                1.19162e-09         1.67676e-12
             0.835052                1.17012e-09         1.70510e-12
             0.835285                1.20641e-09         1.75181e-12
             0.835517                1.22099e-09         1.80578e-12
             0.835750                1.21882e-09         1.74910e-12
             0.835983                1.23195e-09         1.72457e-12
             0.836215                1.23278e-09         1.71074e-12
             0.836448                1.18883e-09         1.68207e-12
             0.836680                1.15070e-09         1.65704e-12
             0.836913                1.22644e-09         1.75573e-12
             0.837145                1.25261e-09         1.78724e-12
             0.837378                1.23537e-09         1.72306e-12
             0.837610                1.24956e-09         1.75456e-12
             0.837843                1.21852e-09         1.79072e-12
             0.838075                1.20160e-09         1.70545e-12
             0.838308                1.17679e-09         1.70010e-12
             0.838540                1.12506e-09         1.65506e-12
             0.838773                1.14354e-09         1.65413e-12
             0.839005                1.11376e-09         1.59443e-12
             0.839238                1.17744e-09         1.62977e-12
             0.839470                1.26520e-09         1.72475e-12
             0.839703                1.25394e-09         1.71687e-12
             0.839935                1.21480e-09         1.70481e-12
             0.840168                1.23638e-09         1.74792e-12
             0.840400                1.23914e-09         1.70306e-12
             0.840633                1.25246e-09         1.69062e-12
             0.840865                1.27236e-09         1.69531e-12
             0.841098                1.27675e-09         1.71163e-12
             0.841330                1.21094e-09         1.66963e-12
             0.841562                1.20380e-09         1.70965e-12
             0.841795                1.23226e-09         1.72299e-12
             0.842027                1.22688e-09         1.69954e-12
             0.842260                1.23315e-09         1.65523e-12
             0.842492                1.20350e-09         1.62219e-12
             0.842725                1.13108e-09         1.56834e-12
             0.842957                1.17184e-09         1.62448e-12
