# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:36 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7570 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 216946'          /                                                
# SPTYPE  = 'K5 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.813120 / Minimum wavelength (um)                        
# MAXWAVE =              4.99464 / Maximum wavelength (um)                        
# V       =        4.96900000000 / V magnitude                                    
# VERR    =      0.0330000000000 / V magnitude error                              
# (B-V)   =        1.77300000000 / B-V color                                      
# (B-V)ERR=      0.0180000000000 / B-V color error                                
# J       =        1.79200000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =       0.958000000000 / 2MASS H magnitude                              
# HERR    =       0.150000000000 / 2MASS H magnitude error                        
# KS      =       0.724000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.178000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DBC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.105202000000 / Relative error in the absolute flux calibration
# RV      =        3.70373200000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =       0.173000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813120                5.73031e-10         1.57033e-12
             0.813353                5.61125e-10         1.55212e-12
             0.813586                5.71022e-10         1.56647e-12
             0.813819                5.84201e-10         1.56689e-12
             0.814051                5.88555e-10         1.56770e-12
             0.814284                5.75142e-10         1.54790e-12
             0.814517                5.65982e-10         1.51686e-12
             0.814750                5.74345e-10         1.52679e-12
             0.814983                5.77474e-10         1.52443e-12
             0.815216                5.80235e-10         1.51890e-12
             0.815449                5.83295e-10         1.51530e-12
             0.815682                5.91512e-10         1.52795e-12
             0.815914                6.03314e-10         1.52135e-12
             0.816147                5.72485e-10         1.47509e-12
             0.816380                5.45811e-10         1.46046e-12
             0.816613                5.76761e-10         1.50032e-12
             0.816846                5.91305e-10         1.48089e-12
             0.817079                5.90629e-10         1.46891e-12
             0.817311                5.92172e-10         1.45416e-12
             0.817544                5.86523e-10         1.41050e-12
             0.817777                5.89431e-10         1.43217e-12
             0.818010                5.94981e-10         1.45915e-12
             0.818242                5.76662e-10         1.39963e-12
             0.818475                5.53207e-10         1.34295e-12
             0.818708                5.50770e-10         1.33529e-12
             0.818941                5.66275e-10         1.34713e-12
             0.819174                6.04997e-10         1.39516e-12
             0.819406                5.97767e-10         1.37850e-12
             0.819639                5.46376e-10         1.30424e-12
             0.819872                5.58635e-10         1.32618e-12
             0.820105                5.73477e-10         1.32762e-12
             0.820337                5.60882e-10         1.30328e-12
             0.820570                5.44371e-10         1.25328e-12
             0.820803                5.48972e-10         1.23256e-12
             0.821036                5.80599e-10         1.25968e-12
             0.821268                5.87542e-10         1.27891e-12
             0.821501                5.78693e-10         1.25861e-12
             0.821734                5.96527e-10         1.28899e-12
             0.821967                6.05154e-10         1.27964e-12
             0.822199                5.81277e-10         1.25473e-12
             0.822432                5.91978e-10         1.26368e-12
             0.822665                6.19990e-10         1.31118e-12
             0.822897                6.20354e-10         1.35888e-12
             0.823130                6.12536e-10         1.34776e-12
             0.823363                6.06307e-10         1.30092e-12
             0.823595                6.10137e-10         1.27228e-12
             0.823828                6.09163e-10         1.23065e-12
             0.824061                6.00829e-10         1.21352e-12
             0.824293                5.96488e-10         1.20967e-12
             0.824526                6.06313e-10         1.21657e-12
             0.824759                6.22362e-10         1.23049e-12
             0.824991                6.12643e-10         1.25214e-12
             0.825224                6.01382e-10         1.17804e-12
             0.825457                5.75676e-10         1.14812e-12
             0.825689                5.66193e-10         1.14125e-12
             0.825922                5.89896e-10         1.17381e-12
             0.826154                6.28994e-10         1.21404e-12
             0.826387                6.34712e-10         1.23175e-12
             0.826620                6.20090e-10         1.17904e-12
