# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7594 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 181596'          /                                                
# SPTYPE  = 'K5 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 24'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 12'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803574 / Minimum wavelength (um)                        
# MAXWAVE =              5.00258 / Maximum wavelength (um)                        
# V       =        7.51000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.60000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.92300000000 / 2MASS J magnitude                              
# JERR    =       0.216000000000 / 2MASS J magnitude error                        
# H       =        4.02600000000 / 2MASS H magnitude                              
# HERR    =       0.190000000000 / 2MASS H magnitude error                        
# KS      =        3.81700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.206000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.117283000000 / Relative error in the absolute flux calibration
# RV      =       -17.6437420000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.51000000000 / Intrinsic Color                                
# E(B-V)  =      0.0900000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803574                4.84373e-11         7.52879e-14
             0.803777                4.87886e-11         7.53770e-14
             0.803979                4.90953e-11         7.62602e-14
             0.804182                4.85577e-11         7.59507e-14
             0.804384                4.75525e-11         7.40291e-14
             0.804586                4.65749e-11         7.42044e-14
             0.804789                4.48025e-11         7.27038e-14
             0.804991                4.47354e-11         7.26928e-14
             0.805194                4.57974e-11         7.30784e-14
             0.805396                4.71254e-11         7.47413e-14
             0.805598                4.71339e-11         7.43240e-14
             0.805801                4.76312e-11         7.58273e-14
             0.806003                4.76631e-11         7.50994e-14
             0.806205                4.78500e-11         7.57682e-14
             0.806408                4.70340e-11         7.49829e-14
             0.806610                4.71909e-11         7.54220e-14
             0.806813                4.67880e-11         7.51521e-14
             0.807015                4.50424e-11         7.35198e-14
             0.807217                4.38517e-11         7.25602e-14
             0.807420                4.47768e-11         7.37271e-14
             0.807460                4.47519e-11         6.63934e-14
             0.807693                4.51557e-11         7.02213e-14
             0.807926                4.62666e-11         7.55488e-14
             0.808160                4.64186e-11         7.04523e-14
             0.808393                4.56518e-11         6.61361e-14
             0.808626                4.59941e-11         6.53123e-14
             0.808859                4.66082e-11         6.58594e-14
             0.809092                4.64858e-11         7.07505e-14
             0.809326                4.40504e-11         7.07656e-14
             0.809559                4.29266e-11         7.02067e-14
             0.809792                4.43252e-11         6.75536e-14
             0.810025                4.51527e-11         6.51900e-14
             0.810258                4.59290e-11         6.45226e-14
             0.810491                4.63101e-11         6.62259e-14
             0.810724                4.57601e-11         7.07220e-14
             0.810958                4.53937e-11         7.29623e-14
             0.811191                4.55672e-11         6.98520e-14
             0.811424                4.58000e-11         6.85432e-14
             0.811657                4.42274e-11         6.38567e-14
             0.811890                4.27085e-11         6.26790e-14
             0.812123                4.43866e-11         6.57375e-14
             0.812356                4.63566e-11         7.11708e-14
             0.812589                4.67131e-11         7.30023e-14
             0.812822                4.61477e-11         6.81938e-14
             0.813056                4.61621e-11         6.55942e-14
             0.813289                4.56398e-11         6.47699e-14
             0.813522                4.55093e-11         6.58832e-14
             0.813755                4.63060e-11         6.98890e-14
             0.813988                4.68602e-11         7.38705e-14
             0.814221                4.66321e-11         7.09821e-14
             0.814454                4.55911e-11         6.78054e-14
             0.814687                4.55552e-11         6.60735e-14
             0.814920                4.59494e-11         6.58129e-14
             0.815153                4.60266e-11         6.82870e-14
             0.815386                4.63729e-11         7.15702e-14
             0.815619                4.66820e-11         7.64722e-14
             0.815852                4.73163e-11         7.24313e-14
             0.816085                4.63376e-11         6.67311e-14
             0.816318                4.39400e-11         6.57735e-14
             0.816551                4.46789e-11         6.87022e-14
             0.816784                4.64054e-11         7.16850e-14
             0.817017                4.67609e-11         7.38777e-14
             0.817250                4.65301e-11         7.31988e-14
             0.817483                4.62865e-11         6.81440e-14
             0.817716                4.69802e-11         6.64708e-14
             0.817949                4.73096e-11         6.88653e-14
             0.818181                4.62644e-11         7.06030e-14
             0.818414                4.46672e-11         7.00099e-14
             0.818647                4.39087e-11         7.10878e-14
