# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:40 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8013 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 36003'           /                                                
# SPTYPE  = 'K5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 11'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807269 / Minimum wavelength (um)                        
# MAXWAVE =              5.44471 / Maximum wavelength (um)                        
# V       =        7.64000000000 / V magnitude                                    
# VERR    =      0.0130000000000 / V magnitude error                              
# (B-V)   =        1.11300000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        5.61500000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        5.11100000000 / 2MASS H magnitude                              
# HERR    =      0.0710000000000 / 2MASS H magnitude error                        
# KS      =        4.88000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0145794000000 / Relative error in the absolute flux calibration
# RV      =       -42.1032680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.15000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0369999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807269                3.30409e-11         5.87296e-14
             0.807471                3.31791e-11         5.91064e-14
             0.807674                3.32036e-11         5.89853e-14
             0.807876                3.35397e-11         5.95836e-14
             0.808079                3.36534e-11         5.95688e-14
             0.808281                3.34545e-11         5.95825e-14
             0.808484                3.29411e-11         5.88938e-14
             0.808686                3.26458e-11         5.86886e-14
             0.808889                3.30713e-11         5.95915e-14
             0.809091                3.34460e-11         6.01716e-14
             0.809294                3.31118e-11         5.94143e-14
             0.809496                3.26004e-11         5.90039e-14
             0.809699                3.28221e-11         5.93402e-14
             0.809901                3.25367e-11         5.91899e-14
             0.810104                3.24775e-11         5.91972e-14
             0.810306                3.32399e-11         6.01233e-14
             0.810357                3.32818e-11         5.02110e-14
             0.810591                3.34833e-11         5.30194e-14
             0.810824                3.34448e-11         5.37371e-14
             0.811057                3.34094e-11         5.08704e-14
             0.811290                3.34419e-11         4.91652e-14
             0.811524                3.32936e-11         4.87394e-14
             0.811757                3.25128e-11         4.83465e-14
             0.811990                3.27056e-11         5.02185e-14
             0.812223                3.34811e-11         5.37354e-14
             0.812457                3.36661e-11         5.23693e-14
             0.812690                3.34091e-11         4.98445e-14
             0.812923                3.33802e-11         4.82659e-14
             0.813156                3.33389e-11         4.82807e-14
             0.813389                3.32951e-11         4.94552e-14
             0.813623                3.32983e-11         5.17368e-14
             0.813856                3.35612e-11         5.36645e-14
             0.814089                3.34743e-11         5.07622e-14
             0.814322                3.33326e-11         4.88829e-14
             0.814555                3.31791e-11         4.79165e-14
             0.814789                3.31733e-11         4.81792e-14
             0.815022                3.32339e-11         4.99549e-14
             0.815255                3.32691e-11         5.21959e-14
             0.815488                3.33370e-11         5.19894e-14
             0.815721                3.34043e-11         4.98750e-14
             0.815954                3.32995e-11         4.81980e-14
             0.816187                3.27521e-11         4.77810e-14
             0.816420                3.26822e-11         4.85487e-14
             0.816653                3.32077e-11         5.09526e-14
             0.816887                3.33431e-11         5.33819e-14
             0.817120                3.33210e-11         5.10303e-14
             0.817353                3.32353e-11         4.94741e-14
             0.817586                3.32516e-11         4.75415e-14
             0.817819                3.32557e-11         4.76738e-14
             0.818052                3.28768e-11         4.91444e-14
             0.818285                3.11140e-11         4.93781e-14
             0.818518                2.95875e-11         4.75191e-14
             0.818751                3.09650e-11         4.72741e-14
             0.818984                3.24781e-11         4.70164e-14
             0.819217                3.29196e-11         4.72998e-14
             0.819450                3.04233e-11         4.54139e-14
             0.819683                2.83748e-11         4.42999e-14
             0.819916                3.02348e-11         4.79510e-14
             0.820149                3.20448e-11         4.93266e-14
             0.820382                3.26628e-11         4.85500e-14
             0.820615                3.27402e-11         4.65894e-14
             0.820848                3.25719e-11         4.69554e-14
             0.821081                3.25443e-11         4.76861e-14
             0.821314                3.19866e-11         4.85039e-14
             0.821547                3.17826e-11         4.94651e-14
             0.821780                3.25768e-11         4.84368e-14
             0.822013                3.18282e-11         4.64032e-14
             0.822246                3.09175e-11         4.49340e-14
             0.822479                3.24816e-11         4.89841e-14
             0.822712                3.33276e-11         5.00538e-14
             0.822945                3.33554e-11         5.20974e-14
             0.823178                3.28960e-11         5.06770e-14
             0.823411                3.26442e-11         4.82718e-14
             0.823644                3.27945e-11         4.72228e-14
             0.823877                3.28742e-11         4.69775e-14
             0.824109                3.28825e-11         4.70110e-14
             0.824342                3.28713e-11         4.82747e-14
             0.824575                3.31351e-11         5.04575e-14
             0.824808                3.29883e-11         4.85578e-14
             0.825041                3.28033e-11         4.67399e-14
             0.825274                3.29988e-11         4.69352e-14
             0.825507                3.28786e-11         4.62513e-14
             0.825740                3.26694e-11         4.71354e-14
             0.825972                3.29162e-11         4.91402e-14
             0.826205                3.32826e-11         4.97205e-14
             0.826438                3.32303e-11         4.85907e-14
             0.826671                3.30350e-11         4.74174e-14
             0.826904                3.29854e-11         4.58668e-14
             0.827137                3.30892e-11         4.62621e-14
             0.827369                3.30401e-11         4.74350e-14
             0.827602                3.28108e-11         4.89911e-14
             0.827835                3.28629e-11         4.83708e-14
             0.828068                3.31173e-11         4.79670e-14
             0.828301                3.31476e-11         4.61182e-14
             0.828533                3.30391e-11         4.59847e-14
             0.828766                3.29486e-11         4.65175e-14
             0.828999                3.28276e-11         4.76393e-14
             0.829232                3.27216e-11         4.90150e-14
             0.829464                3.25212e-11         4.70214e-14
             0.829697                3.25217e-11         4.55417e-14
             0.829930                3.27120e-11         4.51511e-14
             0.830163                3.27091e-11         4.52297e-14
             0.830395                3.27051e-11         4.61639e-14
             0.830628                3.20945e-11         4.70365e-14
             0.830861                3.17717e-11         4.67932e-14
             0.831094                3.17159e-11         4.51817e-14
             0.831326                3.20116e-11         4.46979e-14
             0.831559                3.24964e-11         4.51374e-14
             0.831792                3.27883e-11         4.55252e-14
             0.832024                3.27871e-11         4.69919e-14
             0.832257                3.26211e-11         4.84569e-14
             0.832490                3.22354e-11         4.63994e-14
