# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:44 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4143 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 3346 '           /                                                
# SPTYPE  = 'K6 IIIa '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.809134 / Minimum wavelength (um)                        
# MAXWAVE =              2.41840 / Maximum wavelength (um)                        
# V       =        5.10100000000 / V magnitude                                    
# VERR    =      0.0250000000000 / V magnitude error                              
# (B-V)   =        1.58200000000 / B-V color                                      
# (B-V)ERR=      0.0150000000000 / B-V color error                                
# J       =        2.25700000000 / 2MASS J magnitude                              
# JERR    =       0.282000000000 / 2MASS J magnitude error                        
# H       =        1.37500000000 / 2MASS H magnitude                              
# HERR    =       0.182000000000 / 2MASS H magnitude error                        
# KS      =        1.26300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.182000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.117078000000 / Relative error in the absolute flux calibration
# RV      =       -21.4491120000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.52000000000 / Intrinsic Color                                
# E(B-V)  =      0.0620000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809134                5.19367e-10         7.98707e-13
             0.809336                4.93633e-10         7.80766e-13
             0.809539                4.81773e-10         7.66339e-13
             0.809741                5.01969e-10         7.86940e-13
             0.809943                5.07168e-10         7.95344e-13
             0.810146                5.12332e-10         7.97623e-13
             0.810348                5.21716e-10         8.07161e-13
             0.810551                5.17465e-10         8.11228e-13
             0.810753                5.16016e-10         8.04821e-13
             0.810955                5.13659e-10         8.08170e-13
             0.811158                5.12119e-10         8.07551e-13
             0.811360                5.16636e-10         8.14534e-13
             0.811562                5.06507e-10         8.03720e-13
             0.811765                4.79654e-10         7.78538e-13
             0.811967                4.85727e-10         7.85399e-13
             0.812169                5.14885e-10         8.19230e-13
             0.812206                5.16532e-10         6.96059e-13
             0.812440                5.25531e-10         7.34698e-13
             0.812673                5.22725e-10         7.81681e-13
             0.812906                5.19895e-10         7.36695e-13
             0.813140                5.18029e-10         7.01154e-13
             0.813373                5.07708e-10         6.79303e-13
             0.813607                5.16607e-10         6.95776e-13
             0.813840                5.24501e-10         7.25182e-13
             0.814073                5.25296e-10         7.56833e-13
             0.814307                5.17151e-10         7.65200e-13
             0.814540                5.08914e-10         7.14818e-13
             0.814773                5.11949e-10         6.91494e-13
             0.815007                5.19288e-10         6.98850e-13
             0.815240                5.19077e-10         7.17327e-13
             0.815473                5.21970e-10         7.40225e-13
             0.815707                5.25427e-10         7.86113e-13
             0.815940                5.28472e-10         7.52166e-13
             0.816173                4.99764e-10         6.93880e-13
             0.816406                4.89395e-10         6.87140e-13
             0.816640                5.19573e-10         7.20388e-13
             0.816873                5.25790e-10         7.27813e-13
             0.817106                5.27437e-10         7.64441e-13
             0.817340                5.25814e-10         7.71329e-13
             0.817573                5.24553e-10         7.15297e-13
             0.817806                5.27001e-10         7.09951e-13
             0.818039                5.23552e-10         7.13455e-13
             0.818272                5.11653e-10         7.04004e-13
             0.818506                4.97493e-10         7.04678e-13
             0.818739                4.97277e-10         7.36132e-13
             0.818972                5.10915e-10         7.35846e-13
             0.819205                5.31839e-10         7.32392e-13
             0.819439                5.14924e-10         6.86133e-13
             0.819672                4.88136e-10         6.64469e-13
             0.819905                5.02750e-10         6.94172e-13
             0.820138                5.07204e-10         7.25941e-13
             0.820371                5.02958e-10         7.28022e-13
             0.820604                4.95726e-10         6.98041e-13
             0.820837                5.00782e-10         6.59718e-13
             0.821071                5.14742e-10         6.67291e-13
             0.821304                5.13023e-10         6.69480e-13
             0.821537                5.09270e-10         6.87303e-13
             0.821770                5.24892e-10         7.31032e-13
             0.822003                5.23542e-10         7.16322e-13
             0.822236                5.11194e-10         6.82577e-13
             0.822469                5.25779e-10         6.82073e-13
             0.822702                5.39957e-10         6.97532e-13
             0.822935                5.36459e-10         7.37685e-13
             0.823169                5.30231e-10         7.76575e-13
             0.823402                5.27099e-10         7.68810e-13
             0.823635                5.29370e-10         7.17362e-13
             0.823868                5.25978e-10         6.79019e-13
             0.824101                5.17499e-10         6.59369e-13
             0.824334                5.17303e-10         6.64785e-13
             0.824567                5.28138e-10         6.98629e-13
             0.824800                5.30424e-10         7.29172e-13
             0.825033                5.28777e-10         7.21950e-13
             0.825266                5.21856e-10         6.71704e-13
             0.825499                5.05715e-10         6.49938e-13
             0.825732                4.98677e-10         6.44901e-13
             0.825965                5.18710e-10         6.74963e-13
             0.826198                5.37600e-10         7.15295e-13
             0.826431                5.38757e-10         7.52274e-13
             0.826664                5.29988e-10         6.89932e-13
             0.826897                5.28288e-10         6.64680e-13
             0.827130                5.33886e-10         6.63643e-13
             0.827363                5.30868e-10         6.73825e-13
             0.827595                5.20636e-10         6.86137e-13
             0.827828                5.23748e-10         7.12217e-13
             0.828061                5.34548e-10         7.16346e-13
             0.828294                5.33424e-10         6.93971e-13
             0.828527                5.26231e-10         6.67043e-13
             0.828760                5.28447e-10         6.57878e-13
             0.828993                5.22612e-10         6.75658e-13
             0.829226                5.23949e-10         6.90606e-13
             0.829459                5.23096e-10         6.98561e-13
             0.829692                5.18888e-10         6.84937e-13
             0.829924                5.17787e-10         6.57946e-13
             0.830157                5.23342e-10         6.66482e-13
             0.830390                5.24437e-10         6.53230e-13
             0.830623                5.07372e-10         6.69361e-13
             0.830856                4.86834e-10         6.55655e-13
             0.831089                4.91838e-10         6.59412e-13
             0.831321                5.03970e-10         6.50012e-13
             0.831554                5.19062e-10         6.48948e-13
             0.831787                5.29570e-10         6.47585e-13
             0.832020                5.30077e-10         6.58307e-13
             0.832253                5.17971e-10         6.66250e-13
             0.832485                5.18553e-10         6.83968e-13
             0.832718                4.99441e-10         6.45898e-13
             0.832951                4.92745e-10         6.31480e-13
             0.833184                5.07343e-10         6.27409e-13
             0.833417                4.95881e-10         6.16502e-13
             0.833649                5.01189e-10         6.31360e-13
             0.833882                5.10933e-10         6.51525e-13
             0.834115                5.12441e-10         6.67078e-13
             0.834347                5.17018e-10         6.52553e-13
             0.834580                5.10946e-10         6.23054e-13
             0.834813                5.02467e-10         6.16055e-13
             0.835046                4.92571e-10         6.10397e-13
             0.835278                5.06598e-10         6.35946e-13
             0.835511                5.09032e-10         6.48207e-13
             0.835744                5.15639e-10         6.53037e-13
             0.835976                5.18667e-10         6.38576e-13
             0.836209                5.16111e-10         6.24763e-13
             0.836442                4.90814e-10         6.00968e-13
             0.836674                4.80812e-10         5.97829e-13
             0.836907                5.13098e-10         6.31118e-13
             0.837140                5.23448e-10         6.55246e-13
             0.837372                5.23053e-10         6.46343e-13
             0.837605                5.27138e-10         6.36944e-13
             0.837838                5.04811e-10         6.09121e-13
             0.838070                5.01123e-10         6.08118e-13
             0.838303                4.83365e-10         5.97572e-13
             0.838535                4.66823e-10         5.93094e-13
             0.838768                4.82110e-10         6.18188e-13
             0.839001                4.70960e-10         5.92618e-13
             0.839233                5.02990e-10         6.05634e-13
             0.839466                5.34411e-10         6.23798e-13
             0.839698                5.17967e-10         6.24484e-13
             0.839931                5.05476e-10         6.13056e-13
             0.840164                5.13373e-10         6.29160e-13
             0.840396                5.14564e-10         6.23382e-13
             0.840629                5.23488e-10         6.17695e-13
             0.840861                5.29677e-10         6.16170e-13
             0.841094                5.25661e-10         6.10814e-13
             0.841326                4.99717e-10         5.95817e-13
             0.841559                4.98431e-10         6.02980e-13
             0.841791                5.10160e-10         6.24605e-13
             0.842024                5.09913e-10         6.11350e-13
             0.842256                5.14673e-10         6.14353e-13
             0.842489                5.02120e-10         5.87615e-13
             0.842721                4.72041e-10         5.65924e-13
             0.842954                4.89736e-10         5.83907e-13
             0.843186                5.27642e-10         6.23701e-13
             0.843419                5.10485e-10         6.13286e-13
             0.843651                4.56791e-10         5.61492e-13
             0.843884                4.63092e-10         5.68377e-13
             0.844116                4.95896e-10         5.92000e-13
             0.844349                5.10057e-10         6.01512e-13
             0.844581                5.16641e-10         6.10501e-13
             0.844813                5.14248e-10         6.19535e-13
             0.845046                5.06543e-10         6.06950e-13
             0.845278                5.07967e-10         5.96812e-13
             0.845511                5.16188e-10         5.97507e-13
             0.845743                5.08921e-10         5.90419e-13
             0.845976                5.08659e-10         5.93808e-13
             0.846208                5.25457e-10         6.16849e-13
             0.846440                5.27577e-10         6.29937e-13
             0.846673                5.06139e-10         6.02344e-13
             0.846905                4.80174e-10         5.71471e-13
             0.847137                4.88583e-10         5.74294e-13
             0.847370                5.14248e-10         5.92287e-13
             0.847602                5.27293e-10         6.07031e-13
             0.847835                5.27704e-10         6.13970e-13
             0.848067                5.21751e-10         6.08465e-13
             0.848299                5.10948e-10         5.89556e-13
             0.848531                5.12241e-10         5.83551e-13
             0.848764                5.18296e-10         5.82846e-13
             0.848996                5.18699e-10         5.85523e-13
             0.849228                5.19723e-10         5.92054e-13
             0.849461                5.07876e-10         5.90262e-13
             0.849693                4.52778e-10         5.41188e-13
             0.849925                3.68529e-10         4.70528e-13
             0.850158                3.99907e-10         4.91649e-13
             0.850390                4.80353e-10         5.51197e-13
             0.850622                5.03308e-10         5.70914e-13
             0.850854                5.17064e-10         5.86525e-13
             0.851087                5.19296e-10         5.92805e-13
             0.851319                5.04287e-10         5.70402e-13
             0.851551                4.68223e-10         5.34285e-13
             0.851784                4.61073e-10         5.24272e-13
             0.852016                4.76552e-10         5.35777e-13
             0.852248                4.95677e-10         5.55255e-13
             0.852480                5.05748e-10         5.68896e-13
             0.852712                4.97863e-10         5.64278e-13
             0.852945                4.96841e-10         5.57621e-13
             0.853177                4.96215e-10         5.52358e-13
             0.853409                4.93284e-10         5.49821e-13
