# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:46 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4133 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 181475'          /                                                
# SPTYPE  = 'K7 IIa  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.811014 / Minimum wavelength (um)                        
# MAXWAVE =              2.41754 / Maximum wavelength (um)                        
# V       =        6.96000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.07000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.97800000000 / 2MASS J magnitude                              
# JERR    =       0.298000000000 / 2MASS J magnitude error                        
# H       =        2.12100000000 / 2MASS H magnitude                              
# HERR    =       0.252000000000 / 2MASS H magnitude error                        
# KS      =        1.81600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.282000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.158945000000 / Relative error in the absolute flux calibration
# RV      =        31.4723140000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.52000000000 / Intrinsic Color                                
# E(B-V)  =       0.550000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811014                1.60033e-10         4.24158e-13
             0.811216                1.60220e-10         4.25902e-13
             0.811418                1.62353e-10         4.31098e-13
             0.811621                1.56539e-10         4.22647e-13
             0.811823                1.48327e-10         4.16245e-13
             0.812026                1.53553e-10         4.18505e-13
             0.812228                1.61966e-10         4.35323e-13
             0.812430                1.65574e-10         4.39372e-13
             0.812633                1.65796e-10         4.38066e-13
             0.812835                1.63507e-10         4.35868e-13
             0.813038                1.64276e-10         4.39553e-13
             0.813240                1.61307e-10         4.38549e-13
             0.813442                1.58519e-10         4.42000e-13
             0.813645                1.63945e-10         4.45532e-13
             0.813847                1.67850e-10         4.52942e-13
             0.813950                1.67735e-10         4.25805e-13
             0.814183                1.65906e-10         3.95983e-13
             0.814416                1.61365e-10         3.72276e-13
             0.814649                1.60823e-10         3.64748e-13
             0.814882                1.62762e-10         3.71281e-13
             0.815115                1.62684e-10         3.84678e-13
             0.815349                1.64728e-10         4.05838e-13
             0.815582                1.65626e-10         4.10153e-13
             0.815815                1.70271e-10         3.91967e-13
             0.816048                1.70151e-10         3.80094e-13
             0.816281                1.55562e-10         3.71860e-13
             0.816514                1.57119e-10         3.80645e-13
             0.816747                1.67145e-10         3.97515e-13
             0.816980                1.68591e-10         4.18377e-13
             0.817213                1.68411e-10         3.98364e-13
             0.817446                1.68682e-10         3.75984e-13
             0.817679                1.67183e-10         3.73823e-13
             0.817912                1.69590e-10         3.84698e-13
             0.818145                1.68293e-10         3.88156e-13
             0.818378                1.60979e-10         3.92371e-13
             0.818611                1.55300e-10         3.89135e-13
             0.818844                1.55990e-10         3.77699e-13
             0.819077                1.66753e-10         3.76925e-13
             0.819310                1.75958e-10         3.75695e-13
             0.819543                1.61008e-10         3.71178e-13
             0.819776                1.54894e-10         3.70473e-13
             0.820009                1.62030e-10         3.99493e-13
             0.820242                1.61996e-10         3.85437e-13
             0.820475                1.55781e-10         3.57449e-13
             0.820708                1.52916e-10         3.46453e-13
             0.820941                1.59837e-10         3.49607e-13
             0.821174                1.67579e-10         3.63907e-13
             0.821407                1.64806e-10         3.76842e-13
             0.821640                1.64523e-10         3.86859e-13
             0.821873                1.72476e-10         3.81701e-13
             0.822106                1.68174e-10         3.63353e-13
             0.822339                1.64547e-10         3.55910e-13
             0.822572                1.72394e-10         3.70717e-13
             0.822804                1.76771e-10         4.00385e-13
             0.823037                1.75132e-10         4.20207e-13
             0.823270                1.71800e-10         4.01937e-13
             0.823503                1.71112e-10         3.75848e-13
             0.823736                1.72913e-10         3.63333e-13
             0.823969                1.71255e-10         3.56557e-13
