# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:49 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7621 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 194193'          /                                                
# SPTYPE  = 'K7 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809998 / Minimum wavelength (um)                        
# MAXWAVE =              5.03465 / Maximum wavelength (um)                        
# V       =        5.92600000000 / V magnitude                                    
# VERR    =     0.00400000000000 / V magnitude error                              
# (B-V)   =        1.61200000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        3.12900000000 / 2MASS J magnitude                              
# JERR    =       0.226000000000 / 2MASS J magnitude error                        
# H       =        2.24000000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =        1.96600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.264000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.124235000000 / Relative error in the absolute flux calibration
# RV      =        9.53479160000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.53000000000 / Intrinsic Color                                
# E(B-V)  =      0.0820000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809998                2.12199e-10         4.65406e-13
             0.810200                2.14632e-10         4.71481e-13
             0.810403                2.19308e-10         4.82134e-13
             0.810605                2.18081e-10         4.75435e-13
             0.810807                2.16235e-10         4.76191e-13
             0.811009                2.14967e-10         4.74894e-13
             0.811211                2.14758e-10         4.76352e-13
             0.811413                2.15983e-10         4.78455e-13
             0.811615                2.12822e-10         4.74787e-13
             0.811817                2.01813e-10         4.58239e-13
             0.812020                2.02386e-10         4.62607e-13
             0.812222                2.14425e-10         4.78786e-13
             0.812424                2.20377e-10         4.93768e-13
             0.812626                2.19507e-10         4.91765e-13
             0.812722                2.18094e-10         4.51615e-13
             0.812956                2.16853e-10         4.30214e-13
             0.813189                2.15697e-10         4.10322e-13
             0.813423                2.12170e-10         3.98429e-13
             0.813657                2.16668e-10         4.07494e-13
             0.813890                2.20636e-10         4.22266e-13
             0.814124                2.20884e-10         4.47712e-13
             0.814357                2.17756e-10         4.48363e-13
             0.814591                2.13447e-10         4.16857e-13
             0.814824                2.14488e-10         4.07082e-13
             0.815058                2.16515e-10         4.06972e-13
             0.815291                2.17165e-10         4.13819e-13
             0.815525                2.19122e-10         4.35251e-13
             0.815758                2.21325e-10         4.63988e-13
             0.815992                2.23222e-10         4.39289e-13
             0.816225                2.11600e-10         4.11099e-13
             0.816459                2.07451e-10         4.06717e-13
             0.816692                2.18599e-10         4.16479e-13
             0.816926                2.20444e-10         4.27737e-13
             0.817159                2.19915e-10         4.47788e-13
             0.817392                2.19754e-10         4.37725e-13
             0.817626                2.18404e-10         4.16944e-13
             0.817859                2.20969e-10         4.18158e-13
             0.818093                2.21610e-10         4.18092e-13
             0.818326                2.14940e-10         4.11689e-13
             0.818559                2.07140e-10         4.14518e-13
             0.818793                2.07048e-10         4.30065e-13
             0.819026                2.13354e-10         4.23678e-13
             0.819259                2.24007e-10         4.19328e-13
             0.819493                2.16038e-10         3.98866e-13
             0.819726                2.04111e-10         3.91726e-13
             0.819959                2.08017e-10         4.04978e-13
             0.820193                2.10025e-10         4.28466e-13
             0.820426                2.07162e-10         4.13202e-13
             0.820659                2.04790e-10         3.87663e-13
             0.820893                2.08119e-10         3.86602e-13
             0.821126                2.15808e-10         3.89164e-13
             0.821359                2.14384e-10         3.95791e-13
             0.821593                2.11141e-10         4.06656e-13
             0.821826                2.18691e-10         4.29078e-13
             0.822059                2.18773e-10         4.19349e-13
             0.822292                2.13426e-10         3.91526e-13
             0.822525                2.19613e-10         3.95852e-13
             0.822759                2.26228e-10         4.17400e-13
             0.822992                2.28193e-10         4.48834e-13
             0.823225                2.22866e-10         4.56793e-13
             0.823458                2.18787e-10         4.28020e-13
             0.823691                2.20607e-10         4.06431e-13
             0.823925                2.19977e-10         3.93424e-13
             0.824158                2.17809e-10         3.88695e-13
             0.824391                2.16660e-10         3.96040e-13
             0.824624                2.21137e-10         4.16301e-13
             0.824857                2.22960e-10         4.30898e-13
             0.825090                2.19461e-10         3.99949e-13
             0.825323                2.18374e-10         3.90013e-13
             0.825557                2.09251e-10         3.76227e-13
             0.825790                2.08621e-10         3.82272e-13
             0.826023                2.18851e-10         4.06136e-13
             0.826256                2.27316e-10         4.42673e-13
             0.826489                2.26945e-10         4.20644e-13
             0.826722                2.23704e-10         4.00280e-13
             0.826955                2.22014e-10         3.88770e-13
             0.827188                2.22932e-10         3.91684e-13
             0.827421                2.22216e-10         4.05380e-13
             0.827654                2.18809e-10         4.12258e-13
             0.827887                2.20550e-10         4.22687e-13
             0.828120                2.25715e-10         4.13226e-13
             0.828353                2.24561e-10         4.00906e-13
             0.828586                2.22842e-10         3.91925e-13
             0.828819                2.24254e-10         4.06940e-13
             0.829052                2.23572e-10         4.13314e-13
             0.829285                2.21725e-10         4.14660e-13
             0.829518                2.20923e-10         4.10788e-13
             0.829751                2.18822e-10         3.95441e-13
             0.829984                2.18286e-10         3.85969e-13
             0.830217                2.20786e-10         3.85981e-13
             0.830450                2.19668e-10         3.99563e-13
             0.830683                2.10609e-10         3.92249e-13
             0.830916                2.03369e-10         3.88141e-13
             0.831149                2.04787e-10         3.74782e-13
             0.831382                2.09804e-10         3.72395e-13
             0.831615                2.18926e-10         3.80069e-13
             0.831847                2.25454e-10         3.92566e-13
             0.832080                2.22535e-10         3.96337e-13
             0.832313                2.17925e-10         4.02246e-13
             0.832546                2.17511e-10         3.95630e-13
             0.832779                2.08110e-10         3.77114e-13
             0.833012                2.05208e-10         3.60092e-13
             0.833245                2.12463e-10         3.68443e-13
             0.833477                2.07034e-10         3.66816e-13
             0.833710                2.08113e-10         3.72614e-13
             0.833943                2.12743e-10         3.88968e-13
             0.834176                2.16285e-10         3.90110e-13
             0.834409                2.17625e-10         3.74789e-13
             0.834642                2.13645e-10         3.66016e-13
             0.834874                2.07027e-10         3.57042e-13
             0.835107                2.06993e-10         3.70537e-13
             0.835340                2.13346e-10         3.82454e-13
             0.835573                2.15270e-10         3.84120e-13
             0.835805                2.17979e-10         3.79326e-13
             0.836038                2.18530e-10         3.71583e-13
             0.836271                2.15470e-10         3.65399e-13
             0.836504                2.04484e-10         3.56532e-13
             0.836736                2.02610e-10         3.56992e-13
             0.836969                2.17118e-10         3.84157e-13
             0.837202                2.20464e-10         3.83382e-13
             0.837434                2.18355e-10         3.72291e-13
             0.837667                2.19644e-10         3.74152e-13
             0.837900                2.11208e-10         3.71712e-13
