# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:54 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4136 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 201092'          /                                                
# SPTYPE  = 'K7 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 20'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806136 / Minimum wavelength (um)                        
# MAXWAVE =              2.41236 / Maximum wavelength (um)                        
# V       =        6.05500000000 / V magnitude                                    
# VERR    =      0.0240000000000 / V magnitude error                              
# (B-V)   =        1.35400000000 / B-V color                                      
# (B-V)ERR=      0.0240000000000 / B-V color error                                
# J       =        3.54600000000 / 2MASS J magnitude                              
# JERR    =       0.278000000000 / 2MASS J magnitude error                        
# H       =        2.89500000000 / 2MASS H magnitude                              
# HERR    =       0.218000000000 / 2MASS H magnitude error                        
# KS      =        2.54400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.328000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.152011000000 / Relative error in the absolute flux calibration
# RV      =       -42.8169400000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.33000000000 / Intrinsic Color                                
# E(B-V)  =      0.0239999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806136                2.62142e-10         5.21584e-13
             0.806338                2.61184e-10         5.20386e-13
             0.806541                2.60463e-10         5.28721e-13
             0.806743                2.58756e-10         5.20935e-13
             0.806946                2.55687e-10         5.23919e-13
             0.807148                2.54532e-10         5.22036e-13
             0.807351                2.56250e-10         5.22095e-13
             0.807553                2.56264e-10         5.23899e-13
             0.807756                2.56566e-10         5.21922e-13
             0.807958                2.58397e-10         5.24679e-13
             0.808160                2.58449e-10         5.30138e-13
             0.808363                2.58607e-10         5.27160e-13
             0.808565                2.54876e-10         5.28439e-13
             0.808768                2.53395e-10         5.30404e-13
             0.808970                2.57588e-10         5.34738e-13
             0.809173                2.60029e-10         5.33684e-13
             0.809227                2.58454e-10         4.82460e-13
             0.809460                2.56258e-10         5.09183e-13
             0.809694                2.55540e-10         5.11742e-13
             0.809927                2.55777e-10         4.82212e-13
             0.810161                2.56501e-10         4.71976e-13
             0.810394                2.58426e-10         4.64368e-13
             0.810628                2.58993e-10         4.71574e-13
             0.810861                2.58047e-10         4.95688e-13
             0.811095                2.57820e-10         5.26236e-13
             0.811328                2.57744e-10         5.00278e-13
             0.811561                2.55370e-10         4.75710e-13
             0.811795                2.49770e-10         4.58234e-13
             0.812028                2.52173e-10         4.62857e-13
             0.812262                2.57937e-10         4.83574e-13
             0.812495                2.59295e-10         5.13380e-13
             0.812728                2.58251e-10         5.21678e-13
             0.812962                2.58051e-10         4.87813e-13
             0.813195                2.57897e-10         4.71077e-13
             0.813429                2.55527e-10         4.73650e-13
             0.813662                2.56564e-10         4.91846e-13
             0.813895                2.58552e-10         5.12002e-13
             0.814129                2.59213e-10         5.31707e-13
             0.814362                2.56726e-10         5.12834e-13
             0.814595                2.54804e-10         4.86758e-13
             0.814828                2.56662e-10         4.75758e-13
             0.815062                2.56944e-10         4.91334e-13
             0.815295                2.56826e-10         5.05772e-13
             0.815528                2.57623e-10         5.27557e-13
             0.815762                2.57251e-10         5.34604e-13
             0.815995                2.55949e-10         4.99512e-13
             0.816228                2.54080e-10         4.86061e-13
             0.816461                2.52841e-10         5.03040e-13
             0.816695                2.53349e-10         5.21499e-13
             0.816928                2.57811e-10         5.19777e-13
             0.817161                2.57424e-10         5.47665e-13
             0.817394                2.55010e-10         5.08536e-13
             0.817628                2.57663e-10         4.72467e-13
             0.817861                2.57917e-10         4.83533e-13
             0.818094                2.53137e-10         5.05319e-13
             0.818327                2.36539e-10         5.10447e-13
