# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:52 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7552 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 237903'          /                                                
# SPTYPE  = 'K7 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808746 / Minimum wavelength (um)                        
# MAXWAVE =              4.94458 / Maximum wavelength (um)                        
# V       =        8.69100000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =        1.35200000000 / B-V color                                      
# (B-V)ERR=      0.0160000000000 / B-V color error                                
# J       =        6.11900000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        5.49900000000 / 2MASS H magnitude                              
# HERR    =      0.0340000000000 / 2MASS H magnitude error                        
# KS      =        5.36100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0117272000000 / Relative error in the absolute flux calibration
# RV      =      -0.305768230000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.33000000000 / Intrinsic Color                                
# E(B-V)  =      0.0220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808746                1.78111e-11         4.45910e-14
             0.808948                1.81023e-11         4.48374e-14
             0.809151                1.83575e-11         4.53350e-14
             0.809353                1.82709e-11         4.48938e-14
             0.809555                1.80316e-11         4.49904e-14
             0.809758                1.80430e-11         4.49714e-14
             0.809960                1.80063e-11         4.50702e-14
             0.810163                1.80249e-11         4.50105e-14
             0.810365                1.83968e-11         4.56611e-14
             0.810568                1.83813e-11         4.56220e-14
             0.810770                1.83194e-11         4.57282e-14
             0.810972                1.82784e-11         4.54544e-14
             0.811175                1.82350e-11         4.60184e-14
             0.811377                1.82672e-11         4.59762e-14
             0.811578                1.82296e-11         3.69331e-14
             0.811811                1.78353e-11         3.68558e-14
             0.812045                1.78352e-11         3.80980e-14
             0.812278                1.81804e-11         4.06025e-14
             0.812511                1.84218e-11         4.07728e-14
             0.812744                1.83195e-11         3.86570e-14
             0.812977                1.82704e-11         3.70784e-14
             0.813210                1.82299e-11         3.71192e-14
             0.813443                1.80406e-11         3.80715e-14
             0.813676                1.81336e-11         3.97990e-14
             0.813909                1.82867e-11         4.15758e-14
             0.814142                1.83518e-11         3.94989e-14
             0.814375                1.82399e-11         3.80072e-14
             0.814609                1.81168e-11         3.69171e-14
             0.814842                1.81267e-11         3.72200e-14
             0.815075                1.81796e-11         3.88391e-14
             0.815308                1.81892e-11         4.04333e-14
             0.815541                1.83288e-11         4.09279e-14
             0.815774                1.83194e-11         3.88094e-14
             0.816007                1.82634e-11         3.74508e-14
             0.816240                1.79308e-11         3.70224e-14
             0.816473                1.78474e-11         3.82376e-14
             0.816706                1.82264e-11         3.99612e-14
             0.816939                1.83052e-11         4.12415e-14
             0.817172                1.82392e-11         3.99204e-14
             0.817405                1.81475e-11         3.74241e-14
             0.817638                1.81711e-11         3.64189e-14
             0.817871                1.81003e-11         3.73171e-14
             0.818104                1.79535e-11         3.86144e-14
             0.818337                1.69258e-11         3.84439e-14
             0.818570                1.58110e-11         3.69262e-14
             0.818802                1.66797e-11         3.67405e-14
             0.819035                1.77720e-11         3.69801e-14
             0.819268                1.78571e-11         3.69007e-14
             0.819501                1.64399e-11         3.50826e-14
             0.819734                1.49668e-11         3.43803e-14
             0.819967                1.59699e-11         3.64119e-14
             0.820200                1.73707e-11         3.83392e-14
             0.820433                1.78766e-11         3.67641e-14
             0.820666                1.78762e-11         3.54472e-14
             0.820899                1.77380e-11         3.49935e-14
             0.821132                1.79014e-11         3.59922e-14
             0.821364                1.77793e-11         3.73145e-14
             0.821597                1.77411e-11         3.85399e-14
             0.821830                1.81103e-11         3.75203e-14
             0.822063                1.76213e-11         3.57844e-14
